subject,session,task,unit,electrode,location,area,region,hemisphere,n_spikes,fr_hz,isolation_distance,mean_proj_dist,mean_snr,peak_snr,cluster_id_orig
10,1,screening,51,25,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,989,1.1235980726823418,356.57161848916513,11.151466507744267,0.7559422609412327,3.2096883093290907,583
10,1,screening,52,26,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,947,1.0758820776847096,391.0206811785119,11.2662513253076,0.7144078294517722,3.233202067197186,578
10,1,screening,53,26,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,998,1.133822928753263,456.5072433761735,11.2662513253076,0.7653533412321508,3.2206277212602092,385
10,1,screening,54,27,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1016,1.1542726408951056,399.1058672520016,10.98251921897587,0.7078355124208414,3.2210440401975635,580
10,1,screening,55,27,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1081,1.2281188236295364,459.9712834418108,10.98251921897587,0.803880814220052,3.1887432968623495,505
10,1,screening,56,28,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1256,1.4269354694530045,38.51510459427187,5.2557384884476654,0.8343418146770035,3.3501610474411683,561
10,1,screening,57,28,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1381,1.56894735932691,30.394943368370363,5.2557384884476654,0.7323491253907619,3.2018435689495783,489
10,1,screening,58,29,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1173,1.332639574576731,26.93592646868997,5.968210154348341,0.7291267005190274,3.1965179692517505,543
10,1,screening,59,29,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1311,1.4894207009975229,57.978429010330515,5.968210154348341,0.8991330347426401,3.432050116772716,586
10,1,screening,60,30,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1266,1.438296420642917,25.88762397184221,5.353740932476873,0.7045410149600742,3.2861724963032617,572
10,1,screening,61,30,dorsal_anterior_cingulate_cortex_left,dACC,MFC,L,1359,1.5439532667091027,45.89019070495004,5.353740932476873,0.9388229788951632,3.359928521797068,411
10,1,screening,62,31,amygdala_right,amygdala,MTL,R,1800,2.044971214184242,546.3492925914104,0.0,0.6939374230713957,3.4741037386081928,626
10,1,screening,63,32,amygdala_right,amygdala,MTL,R,1008,1.1451838799431755,275.764730446003,8.090975341178966,0.7617776186616589,3.2012633756335447,596
10,1,screening,64,32,amygdala_right,amygdala,MTL,R,1286,1.4610183230227418,337.6099577614611,9.874903696840445,0.8285325593706486,3.1243593841879114,581
10,1,screening,65,32,amygdala_right,amygdala,MTL,R,701,0.7964026784128632,33.387557798885226,7.05633429589313,1.0089555300500537,4.265594316734083,537
10,1,screening,66,33,amygdala_right,amygdala,MTL,R,1007,1.1440477848241843,,0.0,1.074737555347932,4.054001179382795,354
