subject,session,trial,loads,loadsEnc1_PicIDs,loadsEnc2_PicIDs,loadsEnc3_PicIDs,loadsProbe_PicIDs,probe_in_out,response_accuracy,start_time,stop_time,timestamps_Encoding1,timestamps_Encoding1_end,timestamps_Encoding2,timestamps_Encoding2_end,timestamps_Encoding3,timestamps_Encoding3_end,timestamps_FixationCross,timestamps_Maintenance,timestamps_Probe,timestamps_Response
5,2,21,3,2,3,4,5,0,1,244.91288575,253.15078874999998,245.87966674999998,246.89622874999998,246.94635375,247.96291574999998,248.14625974999998,249.16288475,244.91288575,249.16288475,251.74900875,253.15078874999998
5,2,22,1,5,0,0,3,0,1,253.17944475,259.86137974999997,254.14619474999998,255.16285075,0.0,0.0,0.0,0.0,253.17944475,255.16285075,257.89931874999996,259.86137974999997
5,2,23,2,5,3,0,5,1,1,259.87937975,266.71572075,260.91278575,261.92934775,261.96269175,262.97937874999997,0.0,0.0,259.87937975,262.97937874999997,265.74972175,266.71572075
5,2,24,1,2,0,0,2,1,1,266.74593975,272.51553075,267.72925175,268.74590775,0.0,0.0,0.0,0.0,266.74593975,268.74590775,271.34884375,272.51553075
5,2,25,3,4,2,1,2,1,0,272.54587475,280.64768375,273.54584374999996,274.56246775,274.59581175,275.61246775,275.77921775,276.79587275,272.54587475,276.79587275,279.58199675,280.64768375
5,2,26,1,4,0,0,3,0,1,280.67905874999997,289.08349375,281.74568375,282.76233974999997,0.0,0.0,0.0,0.0,280.67905874999997,282.76233974999997,285.43186975,289.08349375
5,2,27,2,2,5,0,5,1,1,289.11221175,296.17749075,290.16233675,291.17886775,291.31224275,292.32886675,0.0,0.0,289.11221175,292.32886675,295.04842874999997,296.17749075
5,2,28,1,1,0,0,1,1,1,296.19542774999996,302.50439374999996,297.24552174999997,298.26208375,0.0,0.0,0.0,0.0,296.19542774999996,298.26208375,300.99826974999996,302.50439374999996
5,2,29,2,1,4,0,5,0,1,302.52867575,309.34276675,303.61208074999996,304.62873675,304.71214375,305.72867375,0.0,0.0,302.52867575,305.72867375,308.46492274999997,309.34276675
5,2,30,3,1,4,3,5,0,1,309.36185975,317.33135675,310.39535975,311.41189075,311.51189074999996,312.52854675,312.71198375,313.72854574999997,309.36185975,313.72854574999997,316.49820074999997,317.33135675
5,2,31,2,4,5,0,4,1,1,317.36182575,324.29763575,318.29513775,319.31185575,319.47844975,320.49516775,0.0,0.0,317.36182575,320.49516775,323.28138574999997,324.29763575
5,2,32,2,1,3,0,3,1,0,324.32841675,332.65369475,325.34504075,326.36169674999996,326.39500975,327.41175875,0.0,0.0,324.32841675,327.41175875,330.11588274999997,332.65369475
5,2,33,1,1,0,0,4,0,1,332.67819475,338.43778575,333.79497575,334.81156875,0.0,0.0,0.0,0.0,332.67819475,334.81156875,337.53109875,338.43778575
5,2,34,3,4,2,1,4,1,1,338.46141074999997,346.42628275,339.64481674999996,340.66144175,340.69481675,341.71150374999996,341.79475375,342.81140875,338.46141074999997,342.81140875,345.48093975,346.42628275
5,2,35,1,3,0,0,2,0,1,346.44462675,351.89056174999996,347.51146975,348.52800075,0.0,0.0,0.0,0.0,346.44462675,348.52800075,351.11421874999996,351.89056174999996
5,2,36,2,5,3,0,3,1,0,351.91124974999997,359.28802774999997,352.92806175,353.94456075,354.06127975,355.07790474999996,0.0,0.0,351.91124974999997,355.07790474999996,357.73105975,359.28802774999997
5,2,37,1,5,0,0,5,1,1,359.31108975,364.84827574999997,360.39449575,361.41124575,0.0,0.0,0.0,0.0,359.31108975,361.41124575,363.99793174999996,364.84827574999997
5,2,38,3,2,5,1,4,0,1,364.87768174999997,372.50127275,365.86105575,366.87771175,366.96118075,367.97774275,368.01102375,369.02764874999997,364.87768174999997,369.02764874999997,371.66386675,372.50127275
5,2,39,2,5,1,0,5,1,1,372.52755375,379.48339475,373.69427175,374.71092775,374.81102175,375.82758375,0.0,0.0,372.52755375,375.82758375,378.58033274999997,379.48339475
5,2,40,3,3,2,1,1,1,1,379.51080075,387.61564074999995,380.51089375,381.52758074999997,381.72748774999997,382.74414275,382.79426774999996,383.81079875,379.51080075,383.81079875,386.48220375,387.61564074999995
5,2,41,2,4,3,0,5,0,1,387.64401575,394.32635775,388.71073475,389.72735875,389.79401574999997,390.81070274999996,0.0,0.0,387.64401575,390.81070274999996,393.41651375,394.32635775
5,2,42,3,5,1,4,1,1,1,394.34391975,402.10716675,395.42738775,396.44391874999997,396.46051274999996,397.47723075,397.54391875,398.56057475,394.34391975,398.56057475,401.31735475,402.10716675
5,2,43,2,3,4,0,3,1,0,402.12710375,410.17575675,403.07716675,404.09379075,404.11050975,405.12713375,0.0,0.0,402.12710375,405.12713375,407.81397675,410.17575675
5,2,44,1,2,0,0,1,0,1,410.19366375,416.16700475,411.17700675,412.19369374999997,0.0,0.0,0.0,0.0,410.19366375,412.19369374999997,414.86503675,416.16700475
5,2,45,1,4,0,0,4,1,1,416.19353574999997,421.72703375,417.14362975,418.16022275,0.0,0.0,0.0,0.0,416.19353574999997,418.16022275,420.74803375,421.72703375
5,2,46,2,5,4,0,1,0,1,421.76018975,428.42171874999997,422.74353375,423.76015774999996,423.82681375,424.84346975,0.0,0.0,421.76018975,424.84346975,427.62962475,428.42171874999997
5,2,47,1,3,0,0,3,1,1,428.44337475,433.77399775,429.42681174999996,430.44337375,0.0,0.0,0.0,0.0,428.44337475,430.44337375,433.09662275,433.77399775
5,2,48,2,2,3,0,5,0,1,433.79330975,440.46858875,434.82680975,435.84330975,435.89330974999996,436.90996475,0.0,0.0,433.79330975,436.90996475,439.66355775,440.46858875
5,2,49,1,2,0,0,4,0,1,440.49318274999996,452.41917774999996,441.50999475,442.52655675,0.0,0.0,0.0,0.0,440.49318274999996,442.52655675,445.14764974999997,452.41917774999996
5,2,50,2,5,3,0,2,0,1,452.44305275,459.40136275,453.54302075,454.55980174999996,454.69302074999996,455.70973875,0.0,0.0,452.44305275,455.70973875,458.32933175,459.40136275
5,2,51,2,5,3,0,5,1,1,459.42623775,466.47920374999995,460.59304975,461.60958074999996,461.69292375,462.70954874999995,0.0,0.0,459.42623775,462.70954874999995,465.41279775,466.47920374999995
5,2,52,3,4,5,3,1,0,1,466.50951575,474.61141875,467.62626574999996,468.64279575,468.72613974999996,469.74292075,469.80945175,470.82610775,466.50951575,470.82610775,473.49738775,474.61141875
5,2,53,1,3,0,0,4,0,1,474.64279374999995,480.36291674999995,475.75935575,476.77607374999997,0.0,0.0,0.0,0.0,474.64279374999995,476.77607374999997,479.44560475,480.36291674999995
5,2,54,2,3,5,0,1,0,1,480.39260375,486.94513274999997,481.35925975,482.37591575,482.44269675,483.45925875,0.0,0.0,480.39260375,483.45925875,486.22922674999995,486.94513274999997
5,2,55,2,1,2,0,2,1,1,486.97588275,493.89506774999995,487.97603875,488.99250674999996,489.15916274999995,490.17581874999996,0.0,0.0,486.97588275,490.17581874999996,492.94547374999996,493.89506774999995
5,2,56,2,3,4,0,1,0,1,493.92581774999996,501.22859574999995,494.99247275,496.00903474999996,496.10903475,497.12569075,0.0,0.0,493.92581774999996,497.12569075,499.71200274999995,501.22859574999995
5,2,57,1,3,0,0,2,0,1,501.25897075,506.94840574999995,502.22559474999997,503.24237574999995,0.0,0.0,0.0,0.0,501.25897075,503.24237574999995,506.01196875,506.94840574999995
5,2,58,3,1,4,2,2,1,1,506.97546875,515.01683975,507.99228074999996,509.00893575,509.20893574999997,510.22549775,510.34215474999996,511.35881075,506.97546875,511.35881075,514.02884075,515.01683975
5,2,59,1,5,0,0,4,0,1,515.04205875,520.59280675,516.05874575,517.07540175,0.0,0.0,0.0,0.0,515.04205875,517.07540175,519.74524475,520.59280675
5,2,60,3,4,3,5,4,1,1,520.62533775,528.24592875,521.65868075,522.67530575,522.72533675,523.74196175,523.8086177499999,524.82530475,520.62533775,524.82530475,527.46164775,528.24592875
5,2,61,3,5,1,2,4,0,1,528.27514775,536.58614375,529.3087097499999,530.32517775,530.52523975,531.54183375,531.70848975,532.72514575,528.27514775,532.72514575,535.42801975,536.58614375
5,2,62,1,4,0,0,4,1,1,536.60836275,542.14617275,537.64176875,538.65839275,0.0,0.0,0.0,0.0,536.60836275,538.65839275,541.29514175,542.14617275
