subject,session,task,ttl,time
1,1,screening,3,279.53135525
1,1,screening,1,279.82710525
1,1,screening,3,281.02776124999997
1,1,screening,1,281.32582325
1,1,screening,3,282.52641725
1,1,screening,1,282.74919825
1,1,screening,3,283.94985325
1,1,screening,1,284.20351024999997
1,1,screening,3,285.40413424999997
1,1,screening,1,285.64416525
1,1,screening,3,286.84475925
1,1,screening,1,287.14038325
1,1,screening,3,288.34097725
1,1,screening,1,288.59819525
1,1,screening,3,289.79891425
1,1,screening,4,292.59769424999996
1,1,screening,1,292.90706925
1,1,screening,3,294.10772425
1,1,screening,1,294.33834924999996
1,1,screening,3,295.53894325
1,1,screening,1,295.77950525
1,1,screening,3,296.98013025
1,1,screening,1,297.20541125
1,1,screening,3,298.40594125
1,1,screening,1,298.63525425
1,1,screening,3,299.83587825
1,1,screening,1,300.13375325
1,1,screening,3,301.33444025
1,1,screening,1,301.60509625
1,1,screening,3,302.80565824999996
1,1,screening,1,303.07390825
1,1,screening,3,304.27472025
1,1,screening,1,304.50828325
1,1,screening,3,305.70928225
1,1,screening,4,307.94121924999996
1,1,screening,1,308.25262525
1,1,screening,3,309.45328125
1,1,screening,1,309.73178125
1,1,screening,3,310.93240525
1,1,screening,1,311.18549924999996
1,1,screening,3,312.38615525
1,1,screening,1,312.64896725
1,1,screening,3,313.84959125
1,1,screening,1,314.10224825
1,1,screening,3,315.30281025
1,1,screening,1,315.52181025
1,1,screening,3,316.72243425
1,1,screening,1,316.96134025
1,1,screening,3,318.16193425
1,1,screening,1,318.38734024999997
1,1,screening,3,319.58808925
1,1,screening,1,319.82268325
1,1,screening,3,321.02365125
1,1,screening,1,321.25962025
1,1,screening,3,322.46021325
1,1,screening,1,322.71515024999997
1,1,screening,3,323.91577524999997
1,1,screening,1,324.13171224999996
1,1,screening,3,325.33236825
1,1,screening,4,327.21686725
1,1,screening,1,327.52711725
1,1,screening,3,328.72777325
1,1,screening,1,329.03783525
1,1,screening,3,330.23839725
1,1,screening,1,330.50174125
1,1,screening,3,331.70258425
1,1,screening,1,331.96402224999997
1,1,screening,3,333.16461525
1,1,screening,1,333.41230225
1,1,screening,3,334.61314625
1,1,screening,1,334.91839625
1,1,screening,3,336.11902025
1,1,screening,1,336.37305125
1,1,screening,3,337.57370725
1,1,screening,1,337.79626924999997
1,1,screening,3,338.99683124999996
1,1,screening,1,339.28686325
1,1,screening,3,340.48755024999997
1,1,screening,1,340.73708124999996
1,1,screening,3,341.93779925
1,1,screening,1,342.17373625
1,1,screening,3,343.37445525
1,1,screening,1,343.63008025
1,1,screening,3,344.83095425
1,1,screening,1,345.05151624999996
1,1,screening,3,346.25220325
1,1,screening,1,346.48076625
1,1,screening,3,347.68139025
1,1,screening,1,347.98929725
1,1,screening,3,349.18992125
1,1,screening,1,349.49964024999997
1,1,screening,3,350.70023325
1,1,screening,1,350.96960824999996
1,1,screening,3,352.17013925
1,1,screening,1,352.39013925
1,1,screening,3,353.59098224999997
1,1,screening,1,353.82795024999996
1,1,screening,3,355.02885625
1,1,screening,1,355.27710625
1,1,screening,3,356.47769925
1,1,screening,1,356.77151225
1,1,screening,3,357.97207425
1,1,screening,1,358.18482424999996
1,1,screening,3,359.38547925
1,1,screening,1,359.60163624999996
1,1,screening,3,360.80229125
1,1,screening,1,361.03376025
1,1,screening,3,362.23441625
1,1,screening,1,362.51285325
1,1,screening,3,363.71363425
1,1,screening,1,364.00150924999997
1,1,screening,3,365.20219625
1,1,screening,1,365.47891525
1,1,screening,3,366.67950824999997
1,1,screening,1,366.94044525
1,1,screening,3,368.14119525
1,1,screening,1,368.40663225
1,1,screening,3,369.60731925
1,1,screening,4,371.47344325
1,1,screening,1,371.78584924999996
1,1,screening,3,372.98659925
1,1,screening,1,373.27303624999996
1,1,screening,3,374.47363025
1,1,screening,1,374.70500525
1,1,screening,3,375.90566025
1,1,screening,1,376.18759825
1,1,screening,3,377.38828524999997
1,1,screening,1,377.62122224999996
1,1,screening,3,378.82203425
1,1,screening,1,379.07709725
1,1,screening,3,380.27787724999996
1,1,screening,1,380.55256525
1,1,screening,3,381.75318925
1,1,screening,1,382.04587725
1,1,screening,3,383.24656425
1,1,screening,1,383.46690724999996
1,1,screening,3,384.66753224999997
1,1,screening,1,384.97446924999997
1,1,screening,3,386.17512525
1,1,screening,1,386.46512524999997
1,1,screening,3,387.66571825
1,1,screening,1,387.92865624999996
1,1,screening,3,389.12928024999997
1,1,screening,1,389.38509224999996
1,1,screening,3,390.58584225
1,1,screening,1,390.84218625
1,1,screening,3,392.04296625
1,1,screening,1,392.29134124999996
1,1,screening,3,393.49209125
1,1,screening,1,393.75462224999995
1,1,screening,3,394.95518425
1,1,screening,1,395.21896525
1,1,screening,3,396.41949625
1,1,screening,1,396.71487125
1,1,screening,3,397.91565125
1,1,screening,1,398.20658925
1,1,screening,3,399.40721325
1,1,screening,1,399.68337025
1,1,screening,3,400.88399425
1,1,screening,1,401.13361925
1,1,screening,3,402.33421225
1,1,screening,1,402.62690025
1,1,screening,3,403.82752424999995
1,1,screening,1,404.09974324999996
1,1,screening,3,405.30033625
1,1,screening,1,405.54739824999996
1,1,screening,3,406.74805425
1,1,screening,1,407.05358524999997
1,1,screening,3,408.25417925
1,1,screening,1,408.55577224999996
1,1,screening,3,409.75639724999996
1,1,screening,1,410.02527225
1,1,screening,3,411.22599025
1,1,screening,1,411.50827125
1,1,screening,3,412.70883325
1,1,screening,1,412.97914525
1,1,screening,3,414.17973924999995
1,1,screening,1,414.41186425
1,1,screening,3,415.61242625
1,1,screening,1,415.85520725
1,1,screening,3,417.05576924999997
1,1,screening,1,417.31467525
1,1,screening,3,418.51523725
1,1,screening,1,418.75289325
1,1,screening,3,419.95351825
1,1,screening,1,420.24917424999995
1,1,screening,3,421.44973625
1,1,screening,4,423.52929724999996
1,1,screening,1,423.84086025
1,1,screening,3,425.04148425
1,1,screening,1,425.27904724999996
1,1,screening,3,426.47957825
1,1,screening,1,426.70901525
1,1,screening,3,427.90963925
1,1,screening,1,428.14645225
1,1,screening,3,429.34710824999996
1,1,screening,1,429.60376425
1,1,screening,3,430.80435724999995
1,1,screening,1,431.04807625
1,1,screening,3,432.24866925
1,1,screening,1,432.55529425
1,1,screening,3,433.75595024999996
1,1,screening,1,434.01173124999997
1,1,screening,3,435.21241825
1,1,screening,1,435.44185525
1,1,screening,3,436.64248025
1,1,screening,1,436.94873025
1,1,screening,3,438.14944825
1,1,screening,1,438.45832325
1,1,screening,3,439.65904125
1,1,screening,1,439.92035325
1,1,screening,3,441.12100925
1,1,screening,1,441.34813425
1,1,screening,3,442.54869625
1,1,screening,1,442.78582124999997
1,1,screening,3,443.98650825
1,1,screening,1,444.24222725
1,1,screening,3,445.44282024999995
1,1,screening,4,448.49400625
1,1,screening,1,448.80475624999997
1,1,screening,3,450.00550625
1,1,screening,1,450.24728725
1,1,screening,3,451.44797424999996
1,1,screening,1,451.72388025
1,1,screening,3,452.92444224999997
1,1,screening,1,453.20716124999996
1,1,screening,3,454.40781625
1,1,screening,1,454.64125425
1,1,screening,3,455.84187825
1,1,screening,1,456.06487825
1,1,screening,3,457.26547124999996
1,1,screening,1,457.50644024999997
1,1,screening,3,458.70703325
1,1,screening,1,458.95231425
1,1,screening,3,460.15306425
1,1,screening,1,460.41178325
1,1,screening,3,461.61250125
1,1,screening,1,461.87781325
1,1,screening,3,463.07846924999996
1,1,screening,1,463.29868825
1,1,screening,3,464.49940625
1,1,screening,1,464.73671824999997
1,1,screening,3,465.93731225
1,1,screening,1,466.22937425
1,1,screening,3,467.42996725
1,1,screening,4,470.02334125
