image_uid,luminance,rms_contrast,michelson_contrast,colorfulness,saturation,hue_entropy,gray_entropy,edge_density,spectral_slope,high_freq_energy,edge_com_x,edge_com_y,aspect
img_0040,0.6324295401573181,0.28256142139434814,0.7016811481388076,35.399532318115234,0.19544313848018646,3.099482774734497,5.545685115906768,0.031266666666666665,-2.8807588849205352,0.01718377321958542,0.5380299446459997,0.551276981442674,1.3333333333333333
img_0041,0.6364221572875977,0.23677733540534973,0.8624401478482977,65.43501281738281,0.31064778566360474,2.7301459312438965,5.72926267750111,0.08464166666666667,-2.3765302432476325,0.09642745554447174,0.5312192758552574,0.49293224105124706,1.3333333333333333
img_0042,0.39987051486968994,0.17038396000862122,0.8075464547435427,26.014245986938477,0.17640270292758942,3.525712013244629,5.359474061135281,0.041508333333333335,-2.39730259559235,0.1089232936501503,0.5080149150774436,0.4348491623126524,1.3333333333333333
img_0043,0.43634775280952454,0.2096341848373413,0.7692599586669575,82.5504379272461,0.44173678755760193,2.2591824531555176,5.4347077027230934,0.01265,-2.669922941282581,0.03952755406498909,0.474387105986634,0.47088975617293327,1.3333333333333333
img_0044,0.44094517827033997,0.2831600606441498,0.8878091726838924,45.182552337646484,0.2847643196582794,3.36771821975708,5.406496853206281,0.04765833333333333,-2.966531613697312,0.04037845507264137,0.49693272981403214,0.5774984509738676,1.3333333333333333
img_0045,0.3840240240097046,0.19594259560108185,0.975050666474412,39.01820755004883,0.43933138251304626,1.4707484245300293,5.306340937320437,0.025891666666666667,-2.6818670389973867,0.07712369412183762,0.4834685308173784,0.5282418555718283,1.3333333333333333
img_0046,0.6900177001953125,0.1608322262763977,0.4890629086260507,26.545846939086914,0.22636134922504425,1.409752368927002,5.21982233134282,0.016558333333333335,-2.846624391566203,0.039440613240003586,0.46794426915732573,0.4527384480115732,1.3333333333333333
img_0047,0.5681392550468445,0.25102728605270386,0.99999998835814,28.54108428955078,0.1953810602426529,3.4509871006011963,5.425952771187019,0.067175,-2.206023061865079,0.07640449702739716,0.5125787781216686,0.477786608323352,1.3333333333333333
img_0048,0.3530454933643341,0.2626519799232483,0.9940909207981371,11.021764755249023,0.16074655950069427,4.242408275604248,5.684535462201108,0.070625,-2.198688718304703,0.11037608981132507,0.4604683738941309,0.5911009227012549,1.3333333333333333
img_0049,0.4477289021015167,0.21696965396404266,0.8670665068883842,46.7738151550293,0.3432351052761078,2.6929538249969482,5.438082166256031,0.023875,-2.4765064098614027,0.038847729563713074,0.49487400256760816,0.6086922649741715,1.3333333333333333
