model,layer,view,metric,count,mean,sem,p
alexnet,fc7,gap,correlation,19,0.043248812719877225,0.017824392624408963,0.025978687572702695
alexnet,fc7,gap,euclidean,19,0.020615422298849745,0.009487659275519863,0.0433872784703646
alexnet,fc7,rp,correlation,19,0.04064052552325546,0.016564791536439513,0.024568809564747593
alexnet,fc7,rp,euclidean,19,0.02062454132575926,0.009453890226492775,0.042642117695422956
alexnet,logits,gap,correlation,19,0.04495407700453741,0.01647277410919555,0.01377558175753057
alexnet,logits,gap,euclidean,19,0.036425283542606976,0.013605319107376189,0.015375064191740704
alexnet,logits,rp,correlation,19,0.04495407700453741,0.01647277410919555,0.01377558175753057
alexnet,logits,rp,euclidean,19,0.036425283542606976,0.013605319107376189,0.015375064191740704
convnext_tiny,avgpool,gap,correlation,19,0.04037308463318654,0.010487640328244043,0.0011741930931419913
convnext_tiny,avgpool,gap,euclidean,19,0.022801166087809924,0.007810587482785526,0.009156134913195444
convnext_tiny,avgpool,rp,correlation,19,0.04037308463318654,0.010487640328244043,0.0011741930931419913
convnext_tiny,avgpool,rp,euclidean,19,0.022801166087809924,0.007810587482785526,0.009156134913195444
convnext_tiny,logits,gap,correlation,19,0.0438031086197171,0.016301972050578272,0.01506212035890581
convnext_tiny,logits,gap,euclidean,19,0.03279021872923682,0.012857558787205771,0.020088514537359783
convnext_tiny,logits,rp,correlation,19,0.0438031086197171,0.016301972050578272,0.01506212035890581
convnext_tiny,logits,rp,euclidean,19,0.03279021872923682,0.012857558787205771,0.020088514537359783
convnext_tiny,stage1,gap,correlation,19,0.016353358199303353,0.008819244974074145,0.08015818207625434
convnext_tiny,stage1,gap,euclidean,19,0.010792580746035946,0.008456233620553618,0.21807654426322173
convnext_tiny,stage1,rp,correlation,19,0.01581923423259327,0.008050956392041852,0.06505414844370801
convnext_tiny,stage1,rp,euclidean,19,0.013860325381021494,0.010063415812067876,0.18530706026919308
convnext_tiny,stage2,gap,correlation,19,0.01696922218152646,0.008454990168064431,0.0600070000420539
convnext_tiny,stage2,gap,euclidean,19,0.013945262538102287,0.0077812588186285765,0.08993280552986144
convnext_tiny,stage2,rp,correlation,19,0.011589150600189108,0.00898216000750335,0.21329646129828514
convnext_tiny,stage2,rp,euclidean,19,0.007377546767184688,0.008214896144752756,0.3810045820808192
convnext_tiny,stage3,gap,correlation,19,0.03487823517924612,0.013274677184238673,0.017083851690156308
convnext_tiny,stage3,gap,euclidean,19,0.013322334107866181,0.006245254348870076,0.04692782649593313
convnext_tiny,stage3,rp,correlation,19,0.019004795396327698,0.01249651990966734,0.14568050251696765
convnext_tiny,stage3,rp,euclidean,19,0.014036435539973737,0.010712609094078599,0.20657841302205224
convnext_tiny,stage4,gap,correlation,19,0.04037308463318654,0.010487640328244043,0.0011741930931419913
convnext_tiny,stage4,gap,euclidean,19,0.022801166087809924,0.007810587482785526,0.009156134913195444
convnext_tiny,stage4,rp,correlation,19,0.041100371599573034,0.011192083923062568,0.0017430315383325417
convnext_tiny,stage4,rp,euclidean,19,0.02036767960685273,0.007222001639257223,0.011334242396927242
resnet50,avgpool,gap,correlation,19,0.05371047669186539,0.019757457195655154,0.014086951288133089
resnet50,avgpool,gap,euclidean,19,0.03482449287182588,0.01126361149890056,0.00629154707714781
resnet50,avgpool,rp,correlation,19,0.05371047669186539,0.019757457195655154,0.014086951288133089
resnet50,avgpool,rp,euclidean,19,0.03482449287182588,0.01126361149890056,0.00629154707714781
resnet50,layer1,gap,correlation,19,0.018585887671481807,0.009257951848594414,0.05994318399188122
resnet50,layer1,gap,euclidean,19,0.019058214044520388,0.00900893926771836,0.04859230216970225
resnet50,layer1,rp,correlation,19,0.018702304724201802,0.010224326737026558,0.08398675285947453
resnet50,layer1,rp,euclidean,19,0.018209788258889043,0.009056862921978933,0.0595923756041557
resnet50,layer2,gap,correlation,19,0.02401382035585589,0.01299139923088083,0.08103570858667777
resnet50,layer2,gap,euclidean,19,0.02352216916783651,0.012048204191616443,0.06662993193201257
resnet50,layer2,rp,correlation,19,0.023007824809967353,0.0140752109025624,0.11949289150466981
resnet50,layer2,rp,euclidean,19,0.020105107402781274,0.01206595759170171,0.11296658829145184
resnet50,layer3,gap,correlation,19,0.03995955139705132,0.016412106749453356,0.02553406419415152
resnet50,layer3,gap,euclidean,19,0.03921002019601901,0.015474630140848815,0.02079044455069931
