group,model,layer,view,n,rho_mean,rho_sem,rho_null_mean,p_vs_zero,p_vs_null_anchor,frac_pos
MFC concept,vit_b_16,block5,cls,29.0,0.03361816085145028,0.04209359534377425,0.011066416397785779,0.522130947560072,0.608884047716856,0.5517241379310345
MFC concept,vit_b_16,block8,cls,29.0,0.0932063754265172,0.034431741194610836,0.0086527928956464,0.022908341139554977,0.027409173548221588,0.6206896551724138
MFC concept,vit_b_16,ln,cls,29.0,0.09639571606728675,0.028054215224052614,0.013514173070930485,0.0019781142473220825,0.007456466555595398,0.7931034482758621
MFC concept (strict),alexnet,conv1,gap,10.0,0.04572337879948875,0.07712683890308014,-0.025336480287970052,0.4921875,0.375,0.6
MFC concept (strict),alexnet,conv2,gap,10.0,0.09749790611446765,0.0757283982738608,-0.0018397662795103021,0.275390625,0.322265625,0.7
MFC concept (strict),alexnet,conv3,gap,10.0,0.1041677931733797,0.07741136024594301,-0.010500677255209135,0.322265625,0.193359375,0.7
MFC concept (strict),alexnet,conv4,gap,10.0,0.12644074335868755,0.07756716616892055,-0.019853207772281216,0.130859375,0.10546875,0.7
MFC concept (strict),alexnet,conv5,gap,10.0,0.127202869982587,0.07151364827938875,-0.01734184665749677,0.10546875,0.064453125,0.7
MFC concept (strict),alexnet,fc6,gap,10.0,0.1401304365210578,0.06759669587955833,-0.0037960043554434416,0.10546875,0.064453125,0.8
MFC concept (strict),alexnet,fc7,gap,10.0,0.13916254012239368,0.07121147152956506,-0.017698089598237494,0.130859375,0.130859375,0.7
MFC concept (strict),alexnet,logits,gap,10.0,0.12150567867085585,0.06506622907689728,-0.028436747155311616,0.083984375,0.064453125,0.8
MFC concept (strict),clip_vitb32,block11,cls,10.0,0.09846513384420034,0.06065793457651049,-0.029466922341466483,0.16015625,0.064453125,0.6
MFC concept (strict),clip_vitb32,block2,cls,10.0,0.0829380271843585,0.08128362396923815,-0.007164348490879135,0.431640625,0.375,0.7
MFC concept (strict),clip_vitb32,block5,cls,10.0,0.04219074547231176,0.06443271001512978,-0.016168875395079853,0.556640625,0.375,0.7
MFC concept (strict),clip_vitb32,block8,cls,10.0,0.10740873733289955,0.07509204958591685,-0.03219674409581673,0.232421875,0.232421875,0.7
MFC concept (strict),clip_vitb32,embed,gap,10.0,0.12230113171355346,0.06011575860987115,-0.004607690555026511,0.064453125,0.048828125,0.7
MFC concept (strict),clip_vitb32,ln_post,cls,10.0,0.1279982006073832,0.06099395595388276,0.006103857314319017,0.10546875,0.048828125,0.7
MFC concept (strict),convnext_tiny,avgpool,gap,10.0,0.11946957174667301,0.05318895585630347,0.0054532382353828495,0.064453125,0.064453125,0.8
MFC concept (strict),convnext_tiny,logits,gap,10.0,0.13033506023163627,0.06360861734896706,-0.007725016431384306,0.083984375,0.083984375,0.8
MFC concept (strict),convnext_tiny,stage1,gap,10.0,0.04881545584106004,0.07788829017314956,-0.0022124075076980403,0.556640625,0.556640625,0.5
MFC concept (strict),convnext_tiny,stage2,gap,10.0,0.07393141906766272,0.0587860730523746,-0.004574391260469794,0.431640625,0.275390625,0.6
MFC concept (strict),convnext_tiny,stage3,gap,10.0,0.08330414476202297,0.05294312870338282,-0.007510400793754643,0.10546875,0.10546875,0.8
MFC concept (strict),convnext_tiny,stage4,gap,10.0,0.11946957174667301,0.05318895585630347,-0.012061792679181583,0.064453125,0.02734375,0.8
MFC concept (strict),dinov2_small,block11,cls,10.0,0.08891184818958515,0.06644927238693478,-0.025053532932613493,0.232421875,0.16015625,0.7
MFC concept (strict),dinov2_small,block2,cls,10.0,0.08298220650372166,0.0708960489010609,-0.009475791991401163,0.375,0.193359375,0.7
MFC concept (strict),dinov2_small,block5,cls,10.0,0.06676289109622266,0.07107552913883541,-0.0016807885704135579,0.431640625,0.431640625,0.7
MFC concept (strict),dinov2_small,block8,cls,10.0,0.13121881241247363,0.06843057109540787,-0.011727668802103686,0.083984375,0.048828125,0.8
MFC concept (strict),dinov2_small,norm,cls,10.0,0.0951953128660109,0.07055972978247814,-0.03638845534847767,0.232421875,0.130859375,0.7
MFC concept (strict),resnet18,avgpool,gap,10.0,0.16091009243523618,0.06313744389188634,-0.022606163148959843,0.048828125,0.01953125,0.8
MFC concept (strict),resnet18,layer1,gap,10.0,0.06870826808652901,0.06358444112319887,-0.007979696586869863,0.322265625,0.275390625,0.7
MFC concept (strict),resnet18,layer2,gap,10.0,0.07520801041939686,0.07283140619965218,0.002373544956751622,0.375,0.322265625,0.7
MFC concept (strict),resnet18,layer3,gap,10.0,0.11075637852219458,0.07733884006931199,-0.003885113038319432,0.275390625,0.232421875,0.7
MFC concept (strict),resnet18,layer4,gap,10.0,0.16091009243523618,0.06313744389188634,-0.010074988284700943,0.048828125,0.013671875,0.8
MFC concept (strict),resnet18,logits,gap,10.0,0.1351167177653327,0.05770320013897111,-0.015589885159935082,0.10546875,0.02734375,0.8
MFC concept (strict),resnet18,stem,gap,10.0,0.06246391930506061,0.07372846720652225,-0.013227095761533017,0.556640625,0.431640625,0.6
MFC concept (strict),resnet50,avgpool,gap,10.0,0.1586428456348053,0.05713336215488774,-0.018988933349405435,0.02734375,0.013671875,0.8
MFC concept (strict),resnet50,layer1,gap,10.0,0.04899631449276638,0.07942497359244766,-0.014267818626773121,0.556640625,0.4921875,0.5
MFC concept (strict),resnet50,layer2,gap,10.0,0.08100821040324815,0.08547394848771413,0.01212160471153325,0.375,0.625,0.7
MFC concept (strict),resnet50,layer3,gap,10.0,0.11175128376286185,0.08306317342078466,-0.007118084837576257,0.232421875,0.130859375,0.7
MFC concept (strict),resnet50,layer4,gap,10.0,0.1586428456348053,0.05713336215488774,0.001865661091738974,0.02734375,0.037109375,0.8
MFC concept (strict),resnet50,logits,gap,10.0,0.1428467925197989,0.05784966484821973,-0.003078699080262991,0.048828125,0.048828125,0.8
MFC concept (strict),resnet50,stem,gap,10.0,0.06328538369769825,0.07035772264946207,0.0004398479722444087,0.375,0.375,0.6
MFC concept (strict),vgg16,conv1_2,gap,10.0,0.03980692246578423,0.07013553665334235,0.012775749011416954,0.556640625,0.6953125,0.6
MFC concept (strict),vgg16,conv2_2,gap,10.0,0.03639072599710269,0.0682186163693283,-0.008441916741404643,0.625,0.4921875,0.6
MFC concept (strict),vgg16,conv3_3,gap,10.0,0.0665520136862654,0.07386846884043975,-0.022264251452075234,0.4921875,0.232421875,0.7
MFC concept (strict),vgg16,conv4_3,gap,10.0,0.1059216689681739,0.07366644483492717,0.0015164335459375484,0.193359375,0.193359375,0.7
MFC concept (strict),vgg16,conv5_3,gap,10.0,0.15068337767772272,0.047344826329100864,-0.037563702230498014,0.009765625,0.009765625,0.9
MFC concept (strict),vgg16,fc6,gap,10.0,0.14070684137339787,0.06218825186300979,-0.0054843089307562405,0.10546875,0.048828125,0.8
MFC concept (strict),vgg16,fc7,gap,10.0,0.13693335555624525,0.06210875186125615,-0.011642419673053368,0.10546875,0.130859375,0.8
MFC concept (strict),vgg16,logits,gap,10.0,0.11751114942400179,0.05929280411458267,-0.015204035824579404,0.10546875,0.10546875,0.8
MFC concept (strict),vit_b_16,block11,cls,10.0,0.10965424815730085,0.049644895275103615,-0.019642818530401687,0.064453125,0.048828125,0.8
MFC concept (strict),vit_b_16,block2,cls,10.0,0.07654770094696675,0.07462571823706003,-0.01950424407181095,0.375,0.275390625,0.7
MFC concept (strict),vit_b_16,block5,cls,10.0,0.08936441553340252,0.0852020482610189,-0.021752737897266814,0.375,0.322265625,0.7
MFC concept (strict),vit_b_16,block8,cls,10.0,0.12632462703241681,0.06544950360188348,-0.014674125581564845,0.10546875,0.064453125,0.7
MFC concept (strict),vit_b_16,ln,cls,10.0,0.1004053381878434,0.0607301980200969,-0.029816960026681927,0.130859375,0.064453125,0.7
MTL concept,alexnet,conv1,gap,134.0,0.08901140418589429,0.0142793490709573,0.021495937933735054,5.977155919773095e-09,9.573736740299885e-07,0.7313432835820896
MTL concept,alexnet,conv2,gap,134.0,0.13274594231866627,0.018376763853314847,0.014827712084913026,2.6275535915437687e-10,8.881843256453709e-10,0.746268656716418
MTL concept,alexnet,conv3,gap,134.0,0.14874746381025877,0.019712131954961132,0.007783756204603368,1.9693349481392752e-10,3.780276777884852e-11,0.746268656716418
MTL concept,alexnet,conv4,gap,134.0,0.13425366643394737,0.021110590713331937,-0.0192121352271534,2.73569481548337e-08,5.232514957422498e-09,0.7388059701492538
MTL concept,alexnet,conv5,gap,134.0,0.1525503427267234,0.020845552548011455,0.0023238951825855763,4.5204729311542257e-10,7.405231600877304e-10,0.7238805970149254
MTL concept,alexnet,fc6,gap,134.0,0.1471694880536841,0.020592166323070097,-0.004866705303741716,2.238039051490555e-09,2.0865703805017312e-10,0.7014925373134329
