region,concept_cell,model,layer,view,n_units,r_mean,r_median,r_sem,r_norm_mean,frac_pos
MFC,False,resnet50,logits,gap,445,-0.14521730400953975,-0.13930416644337712,0.008509410698100845,-0.5727385119722138,0.21797752808988763
MFC,False,resnet50,stem,gap,445,-0.17551083261405476,-0.21074817492942743,0.00847010029298811,-0.6634722951759155,0.1707865168539326
MFC,False,vgg16,conv1_2,gap,445,-0.18907702472958504,-0.2329812735667288,0.008094497576254139,-0.715182792493185,0.14382022471910114
MFC,False,vgg16,conv2_2,gap,445,-0.18402867699929065,-0.22251701135952917,0.008551359599816103,-0.6976512929185438,0.15955056179775282
MFC,False,vgg16,conv3_3,gap,445,-0.17508399154339793,-0.1972586948849542,0.008514376451884206,-0.671250994858931,0.17303370786516853
MFC,False,vgg16,conv4_3,gap,445,-0.16264518473002249,-0.18860210967329433,0.008826084065242932,-0.6247852477110913,0.19775280898876405
MFC,False,vgg16,conv5_3,gap,445,-0.15182106440004564,-0.1637918531362177,0.008711988529542239,-0.5847096298908003,0.19550561797752808
MFC,False,vgg16,fc6,gap,445,-0.0760462146965416,-0.05781063871446296,0.007824873484162042,-0.2956693218252088,0.3146067415730337
MFC,False,vgg16,fc7,gap,445,-0.07851072836596154,-0.07534103906589767,0.008098988984904026,-0.31312700828994133,0.34606741573033706
MFC,False,vgg16,logits,gap,445,-0.1344277810381451,-0.14271475708673725,0.008482178249519667,-0.5250003430598479,0.23595505617977527
MFC,False,vit_b_16,block11,cls,445,-0.17649416270472432,-0.19719468759857672,0.00792129769878793,-0.6905074477460176,0.1348314606741573
MFC,False,vit_b_16,block11,gap,445,-0.15083243980161976,-0.16528903078058726,0.008920482423814468,-0.5889088338991268,0.20449438202247192
MFC,False,vit_b_16,block2,cls,445,-0.1510234680615207,-0.16856370499470583,0.008552759752811622,-0.5680023049798115,0.21123595505617979
MFC,False,vit_b_16,block2,gap,445,-0.16438399658770336,-0.18396528860876046,0.00866169386306256,-0.6270582832857466,0.19550561797752808
MFC,False,vit_b_16,block5,cls,445,-0.15638937411268822,-0.1812954830961875,0.008660746085270907,-0.5952668035691665,0.20449438202247192
MFC,False,vit_b_16,block5,gap,445,-0.16401209908617106,-0.18556673268138485,0.008823400496675588,-0.6281600207247166,0.20224719101123595
MFC,False,vit_b_16,block8,cls,445,-0.17321095287766777,-0.2061783944342201,0.008489979200284742,-0.6716529243289862,0.19550561797752808
MFC,False,vit_b_16,block8,gap,445,-0.16000528691466484,-0.1750230510924402,0.008743059691912221,-0.6211646860566526,0.20224719101123595
MFC,False,vit_b_16,ln,cls,445,-0.17025854881147756,-0.17910544650577787,0.008176288574015865,-0.671886676770505,0.1707865168539326
MFC,False,vit_b_16,ln,gap,445,-0.15744069919266798,-0.1749035401480879,0.008897014581261683,-0.6133698046186842,0.18876404494382024
MFC,False,vit_b_16,logits,gap,445,-0.14196521176139096,-0.14457683462986398,0.008635635547433455,-0.5698424041807927,0.21348314606741572
