subject,unit,area,region,concept_cell,mean_rate,reliability,model,layer,view,r,r_norm
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,baseline,lowlevel,-,-0.26456138298070114,-1.1831544731324075
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,baseline,lowlevel,-,-0.11031930712006313,-0.4933629399022754
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,baseline,lowlevel,-,-0.30265669450770755,-0.5976606758736686
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,baseline,lowlevel,-,-0.1811065670407279,-0.6692362077866887
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,baseline,lowlevel,-,-0.31195997777956397,-0.9400969635979769
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,baseline,lowlevel,-,-0.2226331465420744,-0.9623726206370848
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,conv1,gap,0.20991010253729614,0.9387465168746906
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,conv1,gap,-0.32080953881658436,-1.4347038732484803
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,conv1,gap,0.14027504961873824,0.6273290929893094
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,conv1,gap,-0.1684858374193089,-0.7534915714311049
17,4,preSMA,MFC,True,1.1375661375661377,0.2564432108587692,alexnet,conv1,gap,-0.18551218427469437,-0.3663336692973459
17,5,preSMA,MFC,False,0.4497354497354497,0.07323345733132325,alexnet,conv1,gap,-0.14244084026144732,-0.526356218485899
17,6,preSMA,MFC,False,0.46296296296296297,0.11011651583182704,alexnet,conv1,gap,-0.2550320287674699,-0.7685435727077305
17,7,amygdala,MTL,False,1.3558201058201056,0.05351716891258881,alexnet,conv1,gap,0.21186897567752838,0.9158425172594156
17,0,dACC,MFC,False,4.394841269841271,-0.9864767670682419,alexnet,conv2,gap,0.02583040925762356,0.11551710197337232
17,1,dACC,MFC,False,3.5251322751322753,-0.1628416929600158,alexnet,conv2,gap,-0.2910807210703895,-1.3017525585060927
17,2,dACC,MFC,False,2.1560846560846563,-0.054475098212150595,alexnet,conv2,gap,0.15920174009251206,0.7119718259662213
17,3,amygdala,MTL,False,3.9384920634920624,-0.6572892320569931,alexnet,conv2,gap,-0.20118013218628886,-0.8997049025818705
