subject,region,n_units,n_images,model,layer,view,rho,reliability,rho_norm
18,MTL_concept,15,63,baseline,category,-,0.055420256494694696,0.2067974753400995,0.12186974859551622
18,MTL_concept,15,63,baseline,lowlevel,-,-0.010517636868545148,0.2067974753400995,-0.023128398207814732
18,amygdala,19,63,alexnet,conv1,gap,0.014390740629193315,0.1126826303746734,0.04287011590065149
18,amygdala,19,63,alexnet,conv2,gap,0.006122404149921773,0.1126826303746734,0.018238684322148674
18,amygdala,19,63,alexnet,conv3,gap,0.02711213549883579,0.1126826303746734,0.08076723923377471
18,amygdala,19,63,alexnet,conv4,gap,0.07490376284932951,0.1126826303746734,0.22313882777037253
18,amygdala,19,63,alexnet,conv5,gap,0.05953680000233005,0.1126826303746734,0.17736053912861546
18,amygdala,19,63,alexnet,fc6,gap,0.07539483000090186,0.1126826303746734,0.22460172021248928
18,amygdala,19,63,alexnet,fc7,gap,0.06837160607961612,0.1126826303746734,0.2036794875588788
18,amygdala,19,63,alexnet,logits,gap,0.06200299176648523,0.1126826303746734,0.18470734145705764
18,amygdala,19,63,vgg16,conv1_2,gap,0.023765784043552955,0.1126826303746734,0.07079843509583711
18,amygdala,19,63,vgg16,conv2_2,gap,0.003602117610379826,0.1126826303746734,0.010730733283559795
18,amygdala,19,63,vgg16,conv3_3,gap,0.030290756099203647,0.1126826303746734,0.09023637199442867
18,amygdala,19,63,vgg16,conv4_3,gap,0.06819434500757224,0.1126826303746734,0.20315142559883073
18,amygdala,19,63,vgg16,conv5_3,gap,0.07670360138077446,0.1126826303746734,0.2285005592082234
18,amygdala,19,63,vgg16,fc6,gap,0.07903842725307543,0.1126826303746734,0.23545602163594093
18,amygdala,19,63,vgg16,fc7,gap,0.06786254975720564,0.1126826303746734,0.20216300525237224
18,amygdala,19,63,vgg16,logits,gap,0.0593322837335986,0.1126826303746734,0.1767512837490626
18,amygdala,19,63,resnet18,stem,gap,0.004004004095918497,0.1126826303746734,0.011927955904541335
18,amygdala,19,63,resnet18,layer1,gap,0.013047033174460296,0.1126826303746734,0.0388672020961934
18,amygdala,19,63,resnet18,layer2,gap,0.032670840837332224,0.1126826303746734,0.09732666089658253
18,amygdala,19,63,resnet18,layer3,gap,0.07368264659194411,0.1126826303746734,0.2195011139909938
18,amygdala,19,63,resnet18,layer4,gap,0.06966273302605182,0.1126826303746734,0.20752576366532652
18,amygdala,19,63,resnet18,avgpool,gap,0.06966273302605182,0.1126826303746734,0.20752576366532652
18,amygdala,19,63,resnet18,logits,gap,0.05734345983662361,0.1126826303746734,0.1708265635997507
18,amygdala,19,63,resnet50,stem,gap,0.005118024618864129,0.1126826303746734,0.015246630750052795
18,amygdala,19,63,resnet50,layer1,gap,0.010148004272011651,0.1126826303746734,0.030230974938072582
18,amygdala,19,63,resnet50,layer2,gap,0.022504484936934452,0.1126826303746734,0.06704101633057691
18,amygdala,19,63,resnet50,layer3,gap,0.05257784383161175,0.1126826303746734,0.15662976054859942
18,amygdala,19,63,resnet50,layer4,gap,0.056585222810032795,0.1126826303746734,0.1685677702514659
18,amygdala,19,63,resnet50,avgpool,gap,0.056585222810032795,0.1126826303746734,0.1685677702514659
18,amygdala,19,63,resnet50,logits,gap,0.06212424589821131,0.1126826303746734,0.1850685583543996
18,amygdala,19,63,convnext_tiny,stage1,gap,0.010841984824492064,0.1126826303746734,0.032298347805406455
18,amygdala,19,63,convnext_tiny,stage2,gap,0.027597392053183026,0.1126826303746734,0.08221282186655564
18,amygdala,19,63,convnext_tiny,stage3,gap,0.03601133497863931,0.1126826303746734,0.10727801605566091
18,amygdala,19,63,convnext_tiny,stage4,gap,0.043513722945620906,0.1126826303746734,0.1296276817166272
18,amygdala,19,63,convnext_tiny,avgpool,gap,0.043513722945620906,0.1126826303746734,0.1296276817166272
18,amygdala,19,63,convnext_tiny,logits,gap,0.04282416276430373,0.1126826303746734,0.12757347716557216
18,amygdala,19,63,vit_b_16,block2,cls,0.011470716574641758,0.1126826303746734,0.034171344039155394
18,amygdala,19,63,vit_b_16,block2,gap,0.012555088070160545,0.1126826303746734,0.037401694226827355
18,amygdala,19,63,vit_b_16,block5,cls,0.027135116918301772,0.1126826303746734,0.08083570104136711
18,amygdala,19,63,vit_b_16,block5,gap,0.045046881322467834,0.1126826303746734,0.13419497112883078
18,amygdala,19,63,vit_b_16,block8,cls,0.04887980706665021,0.1126826303746734,0.14561328343989774
18,amygdala,19,63,vit_b_16,block8,gap,0.05404583717409461,0.1126826303746734,0.1610029228725703
18,amygdala,19,63,vit_b_16,block11,cls,0.03312031719346279,0.1126826303746734,0.09866565407132089
18,amygdala,19,63,vit_b_16,block11,gap,0.050684007976050716,0.1126826303746734,0.1509880104318605
18,amygdala,19,63,vit_b_16,ln,cls,0.05634328642404526,0.1126826303746734,0.1678470400837058
18,amygdala,19,63,vit_b_16,ln,gap,0.05113331035255824,0.1126826303746734,0.1523264853200981
18,amygdala,19,63,vit_b_16,logits,gap,0.05813430193331055,0.1126826303746734,0.17318248767743896
18,amygdala,19,63,dinov2_small,block2,cls,-0.008369785930574606,0.1126826303746734,-0.02493365019584049
18,amygdala,19,63,dinov2_small,block2,gap,-0.0033179025650705058,0.1126826303746734,-0.009884054697163615
18,amygdala,19,63,dinov2_small,block5,cls,0.01419308044634769,0.1126826303746734,0.04228128484838821
18,amygdala,19,63,dinov2_small,block5,gap,0.02114116933431556,0.1126826303746734,0.06297968971790245
18,amygdala,19,63,dinov2_small,block8,cls,0.04918992896656852,0.1126826303746734,0.14653713872541776
18,amygdala,19,63,dinov2_small,block8,gap,0.04589485639425505,0.1126826303746734,0.13672109473463293
18,amygdala,19,63,dinov2_small,block11,cls,0.040862719715966285,0.1126826303746734,0.1217303247537934
18,amygdala,19,63,dinov2_small,block11,gap,0.05591145611227403,0.1126826303746734,0.1665606145972029
18,amygdala,19,63,dinov2_small,norm,cls,0.05236395038338279,0.1126826303746734,0.15599257048644488
18,amygdala,19,63,dinov2_small,norm,gap,0.07318602820165873,0.1126826303746734,0.21802168437034317
18,amygdala,19,63,clip_vitb32,block2,cls,0.0032476856779484592,0.1126826303746734,0.009674878104612254
