region,ref,t,mean,sem,count,p
MFC,alexnet conv4,0.4,0.015080899091293442,0.007228476549239078,19,0.05144951007921595
MFC,alexnet conv4,0.425,0.00925143716582927,0.006227592146657363,19,0.1547006923678069
MFC,alexnet conv4,0.45,0.014003811940824252,0.0070056895695505324,19,0.06094790261361372
MFC,alexnet conv4,0.475,0.010753009988595024,0.005479467348796666,19,0.06536160513180025
MFC,alexnet conv4,0.5,0.012768593415243756,0.005091908885437342,19,0.021957117709425357
MFC,alexnet conv4,0.525,0.0066287126693572625,0.005380175318835817,19,0.23377836063071455
MFC,alexnet conv4,0.55,0.009450886574357872,0.004573712219473576,19,0.053493154684049374
MFC,alexnet conv4,0.575,0.010915021994786665,0.004321816435112443,19,0.021151870776698254
MFC,alexnet conv4,0.6,0.010412201041905223,0.0057379199509447025,19,0.08628298730820183
MFC,alexnet conv4,0.625,0.00958975550386738,0.006671836711946469,19,0.1677759179621708
MFC,alexnet conv4,0.65,0.010476862464850585,0.007190896983838355,19,0.16235126232762517
MFC,alexnet conv4,0.675,0.015386244101158362,0.008511540489772191,19,0.08739583688469058
MFC,alexnet conv4,0.7,0.018943190269146988,0.00913115924827167,19,0.05264350310960969
MFC,alexnet conv4,0.725,0.01527385499394113,0.00897391753697547,19,0.10595789332506504
MFC,alexnet conv4,0.75,0.015125132653832675,0.010606006717247438,19,0.17095567137638598
MFC,alexnet conv4,0.775,0.015337458905594195,0.011032129717044706,19,0.1814051750501061
MFC,alexnet conv4,0.8,0.01530490693984724,0.00895889250239865,19,0.10475880181220307
MFC,alexnet conv4,0.825,0.010879117340660297,0.00936766098688996,19,0.2606699930937745
MFC,alexnet conv4,0.85,0.01171445917342465,0.008755130935377569,19,0.19755220443679428
MFC,alexnet conv4,0.875,0.008661395170933393,0.007702798020806602,19,0.2755951313377514
MFC,alexnet conv4,0.9,0.005437150413928226,0.006748933699769588,19,0.4309703731362009
MFC,alexnet conv4,0.925,0.010489219567078809,0.007488137425753512,19,0.17828434035879065
MFC,alexnet conv4,0.95,0.0023505141836163727,0.005404647329606621,19,0.6688000145623525
MFC,alexnet conv4,0.975,0.001940256818380961,0.004821765941916784,19,0.692131462401202
MFC,alexnet conv4,1.0,-0.0002316294998236034,0.005810942096950806,19,0.968642803603063
