subject,unit,area,region,model,layer,r_obs,null_mean,null_sd,r_debiased,p_cell
8,63,dACC,MFC,resnet50,layer4,-0.12536443346662124,-0.14160767676505964,0.17075442084157885,0.016243243298438403,0.4634146341463415
8,63,dACC,MFC,clip_vitb32,block2,-0.36664491512832953,-0.12341755281005187,0.20053162977077293,-0.24322736231827766,0.926829268292683
8,63,dACC,MFC,clip_vitb32,block5,-0.3423793410889045,-0.2213292794734242,0.18983646569308885,-0.12105006161548029,0.8048780487804879
8,63,dACC,MFC,clip_vitb32,block8,-0.35477049820847084,-0.17269849420973032,0.17214133835545808,-0.18207200399874052,0.8536585365853658
8,63,dACC,MFC,clip_vitb32,block11,-0.23390220489060148,-0.17711401488253775,0.1747160648142297,-0.05678819000806373,0.6341463414634146
8,63,dACC,MFC,baseline,lowlevel,-0.1432250246653336,-0.24033881325694656,0.15181649970023275,0.09711378859161296,0.21951219512195122
8,67,dACC,MFC,alexnet,conv1,-0.4000698708525512,-0.19199878406465762,0.1566973638880983,-0.20807108678789357,0.926829268292683
8,67,dACC,MFC,alexnet,conv3,-0.3945965131743177,-0.21339615584230964,0.1577742868549226,-0.18120035733200807,0.9512195121951219
8,67,dACC,MFC,alexnet,conv5,-0.41786425186538423,-0.191787550186339,0.1846711883988216,-0.22607670167904523,0.8780487804878049
8,67,dACC,MFC,resnet50,layer1,-0.4342303184076339,-0.22609829461185155,0.16637959248928744,-0.20813202379578233,0.9024390243902439
8,67,dACC,MFC,resnet50,layer2,-0.44196749397136914,-0.18598779382271538,0.15594410151482646,-0.2559797001486538,1.0
8,67,dACC,MFC,resnet50,layer3,-0.29949466762149113,-0.19569613421923412,0.15136155180997193,-0.103798533402257,0.7073170731707317
8,67,dACC,MFC,resnet50,layer4,0.04600987466129304,-0.18067395413948292,0.16381712988610997,0.22668382880077598,0.12195121951219512
8,67,dACC,MFC,clip_vitb32,block2,-0.41518608335448653,-0.19519171512509154,0.15859050757288853,-0.219994368229395,0.975609756097561
8,67,dACC,MFC,clip_vitb32,block5,-0.3650872157593246,-0.141289922952903,0.1765486911790867,-0.22379729280642163,0.926829268292683
8,67,dACC,MFC,clip_vitb32,block8,-0.4938654681604283,-0.20405478863557028,0.18436855571686597,-0.28981067952485806,0.975609756097561
8,67,dACC,MFC,clip_vitb32,block11,-0.254475392541354,-0.17418070976017605,0.16915335276326637,-0.08029468278117793,0.6829268292682927
8,67,dACC,MFC,baseline,lowlevel,-0.19189934973805717,-0.2249138084114905,0.16643333061557414,0.03301445867343333,0.3902439024390244
8,75,dACC,MFC,alexnet,conv1,-0.10950493814690387,-0.22589486972966205,0.14349857811073047,0.11638993158275818,0.1951219512195122
8,75,dACC,MFC,alexnet,conv3,-0.3795609671264585,-0.19896380927846063,0.17847967744269014,-0.18059715784799785,0.8048780487804879
8,75,dACC,MFC,alexnet,conv5,-0.2503187692752409,-0.19857185835304847,0.15281842959063735,-0.05174691092219241,0.5609756097560976
8,75,dACC,MFC,resnet50,layer1,-0.2732534757452163,-0.2240718214132862,0.155383557593027,-0.049181654331930114,0.5609756097560976
8,75,dACC,MFC,resnet50,layer2,-0.32061419779205047,-0.12316311687692101,0.1719005153021866,-0.19745108091512947,0.8780487804878049
8,75,dACC,MFC,resnet50,layer3,-0.019735153567767158,-0.19458053605260034,0.15295969484495572,0.17484538248483317,0.1951219512195122
8,75,dACC,MFC,resnet50,layer4,0.33929490191504325,-0.1896229936543921,0.14315213092535078,0.5289178955694354,0.024390243902439025
8,75,dACC,MFC,clip_vitb32,block2,-0.18992948001686383,-0.1617735987093732,0.14946840740450265,-0.028155881307490638,0.5853658536585366
8,75,dACC,MFC,clip_vitb32,block5,-0.24162710137622634,-0.18886019070555307,0.1456156871434115,-0.05276691067067327,0.6341463414634146
8,75,dACC,MFC,clip_vitb32,block8,-0.14325373358817403,-0.22651432623141515,0.11459930027517055,0.08326059264324112,0.3170731707317073
8,75,dACC,MFC,clip_vitb32,block11,0.05238466527125951,-0.18744446459096478,0.1722487461863691,0.2398291298622243,0.12195121951219512
8,75,dACC,MFC,baseline,lowlevel,-0.26113843297009254,-0.22106661896383456,0.13961306567815124,-0.04007181400625798,0.6097560975609756
8,76,dACC,MFC,alexnet,conv1,-0.09695262434241089,-0.2052607151388708,0.20170212407113988,0.1083080907964599,0.3170731707317073
8,76,dACC,MFC,alexnet,conv3,-0.21958626278559162,-0.2314734298203144,0.14275975793725001,0.011887167034722784,0.4878048780487805
8,76,dACC,MFC,alexnet,conv5,-0.29650257215976217,-0.19179116231018406,0.18613270519208974,-0.10471140984957811,0.6585365853658537
8,76,dACC,MFC,resnet50,layer1,-0.1750342705403316,-0.18789703751350756,0.190605798867208,0.012862766973175954,0.5121951219512195
8,76,dACC,MFC,resnet50,layer2,-0.2034817834003783,-0.22560608697745335,0.14595021382777051,0.02212430357707504,0.4146341463414634
8,76,dACC,MFC,resnet50,layer3,-0.2538285421450139,-0.20946523260584984,0.16413585748295276,-0.044363309539164036,0.6097560975609756
8,76,dACC,MFC,resnet50,layer4,-0.16691459456393956,-0.10174795421420575,0.1355877184620885,-0.06516664034973381,0.6341463414634146
8,76,dACC,MFC,clip_vitb32,block2,-0.3530147784026697,-0.2108349892790795,0.16414797536411008,-0.1421797891235902,0.7804878048780488
8,76,dACC,MFC,clip_vitb32,block5,-0.20616455401948952,-0.20559113745149693,0.14215345988593187,-0.0005734165679925907,0.5365853658536586
8,76,dACC,MFC,clip_vitb32,block8,-0.2970669642102631,-0.19579903129055845,0.17440900434249693,-0.10126793291970462,0.6341463414634146
8,76,dACC,MFC,clip_vitb32,block11,-0.17931917383793822,-0.21458906402792532,0.16831665023212175,0.03526989018998711,0.3902439024390244
8,76,dACC,MFC,baseline,lowlevel,0.0945567740811431,-0.24306458401685424,0.15964092941884367,0.3376213580979973,0.04878048780487805
9,2,dACC,MFC,alexnet,conv1,-0.21971519345122165,-0.23068083841512504,0.18815551944127726,0.010965644963903398,0.3902439024390244
9,2,dACC,MFC,alexnet,conv3,0.021602596882455027,-0.21329903311495882,0.1415558548884498,0.23490162999741385,0.0975609756097561
9,2,dACC,MFC,alexnet,conv5,0.07370379592140502,-0.24704222975102122,0.16068690058850096,0.32074602567242627,0.0975609756097561
9,2,dACC,MFC,resnet50,layer1,0.10319332720864725,-0.11938059846109539,0.1966972569536495,0.22257392566974266,0.17073170731707318
9,2,dACC,MFC,resnet50,layer2,0.08339993031617264,-0.17564375417417163,0.18673988837860994,0.25904368449034426,0.14634146341463414
9,2,dACC,MFC,resnet50,layer3,0.10235824928729433,-0.1840035409402066,0.1527185121486062,0.2863617902275009,0.024390243902439025
9,2,dACC,MFC,resnet50,layer4,0.2534051348704223,-0.16996191506746658,0.16362535567854172,0.4233670499378889,0.024390243902439025
9,2,dACC,MFC,clip_vitb32,block2,0.045175708119956096,-0.1877096747908039,0.17640026213620902,0.23288538291076,0.12195121951219512
9,2,dACC,MFC,clip_vitb32,block5,0.0036772698492069655,-0.18505047183403384,0.1635857994068531,0.1887277416832408,0.17073170731707318
9,2,dACC,MFC,clip_vitb32,block8,0.1270816130775998,-0.14532090377239495,0.17660504657581272,0.2724025168499947,0.0975609756097561
9,2,dACC,MFC,clip_vitb32,block11,-0.027641208374157126,-0.21497673071191087,0.1624582735400173,0.18733552233775375,0.0975609756097561
9,2,dACC,MFC,baseline,lowlevel,-0.2608569776373684,-0.18304940672479902,0.1940950719602911,-0.0778075709125694,0.6097560975609756
9,3,dACC,MFC,alexnet,conv1,-0.1561499162555051,-0.21577056340657802,0.14547595044676823,0.05962064715107293,0.34146341463414637
9,3,dACC,MFC,alexnet,conv3,-0.0005261080451200197,-0.22255489111168733,0.1330969473913126,0.22202878306656731,0.04878048780487805
9,3,dACC,MFC,alexnet,conv5,0.2382194143425433,-0.2116691190590049,0.1614959384446948,0.4498885334015482,0.04878048780487805
