region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MTL,convnext_tiny,stage3,gap,18.0,0.03577599559485658,0.014018260904377551,2.5156932875089644,0.022221835797053696,0.14077526076599592,0.7222222222222222
MTL,convnext_tiny,stage4,gap,18.0,0.04069647552796635,0.011085534385176957,3.644060600867168,0.002007424639272935,0.16013689792409538,0.7777777777777778
MTL,dinov2_small,block11,cls,18.0,0.030762263586369794,0.011184347057010168,2.7332939588110805,0.014154790205054963,0.12104668524573788,0.7222222222222222
MTL,dinov2_small,block11,gap,18.0,0.047378387517917404,0.017130822841295835,2.70812511327015,0.014919740055070754,0.1864296086414466,0.8888888888888888
MTL,dinov2_small,block2,cls,18.0,0.022274482481576218,0.012801220644452304,1.722282876376752,0.10316031332668363,0.08764804522231971,0.6111111111111112
MTL,dinov2_small,block2,gap,18.0,0.021411936930095098,0.010577638065257567,2.0093948842029485,0.06064460186999613,0.08425400760258786,0.6111111111111112
MTL,dinov2_small,block5,cls,18.0,0.031101989424750384,0.015256561012730053,2.00830086522846,0.06077109073790263,0.12238347525512198,0.6111111111111112
MTL,dinov2_small,block5,gap,18.0,0.03031280363545089,0.012670437005791107,2.365205992028423,0.0301726301355618,0.11927810156993998,0.8888888888888888
MTL,dinov2_small,block8,cls,18.0,0.04302224061757156,0.01520495867700129,2.7846328992400626,0.012709609618807648,0.16928857019835894,0.8333333333333334
MTL,dinov2_small,block8,gap,18.0,0.04040895564549454,0.01600154835617554,2.4806592018923803,0.023873377037184076,0.15900553356211533,0.7777777777777778
MTL,dinov2_small,norm,cls,18.0,0.03282000123581996,0.011865058968831345,2.7473424240665567,0.01374434563347504,0.1291436941304047,0.6111111111111112
MTL,dinov2_small,norm,gap,18.0,0.052051237075294264,0.01834507053943826,2.769138159724382,0.01313011404211532,0.20481684298733213,0.8333333333333334
MTL,resnet18,avgpool,gap,18.0,0.05369228133406606,0.02065756261456328,2.533575716409793,0.02142111108944872,0.2112742016049174,0.7222222222222222
MTL,resnet18,layer1,gap,18.0,0.028147048046540248,0.010744208310859786,2.599429918536615,0.018702096800241666,0.11075605200248809,0.8888888888888888
MTL,resnet18,layer2,gap,18.0,0.036913583409180994,0.015067119548563478,2.418124481558418,0.027112914678056148,0.1452515644591002,0.8333333333333334
