subject,unit,area,region,n_match,n_lure,probe_pref_match_hz,probe_pref_lure_hz,probe_nonpref_hz,baseline_hz,p_match_vs_lure,rho_sim_nonpref_probe
4,63,vmPFC,MFC,12,11,8.229166666666666,8.522727272727273,7.560096153846154,7.748031496062992,0.5323190092641752,0.39999999999999997
4,64,vmPFC,MFC,14,13,2.857142857142857,2.6923076923076925,1.7875,1.4173228346456692,0.8048439082680439,0.7999999999999999
4,65,vmPFC,MFC,12,11,2.3958333333333335,3.409090909090909,2.96875,3.338582677165354,0.5277703952163898,0.7999999999999999
4,67,vmPFC,MFC,14,13,0.8928571428571429,0.09615384615384616,0.65,0.5511811023622047,0.037193524432658456,-0.19999999999999998
4,70,vmPFC,MFC,11,14,2.272727272727273,1.4285714285714286,1.7156862745098038,1.0078740157480315,0.27766947642232187,0.19999999999999998
4,74,vmPFC,MFC,12,11,3.6458333333333335,4.886363636363637,4.711538461538462,5.228346456692913,0.2086518294284183,0.39999999999999997
5,46,hippocampus,MTL,13,13,0.9615384615384616,1.5384615384615385,1.0972222222222223,1.0517241379310345,0.24402962023452202,-0.39999999999999997
5,47,vmPFC,MFC,9,11,7.638888888888889,3.977272727272727,1.8229166666666667,1.7413793103448276,0.08535261893359393,-0.39999999999999997
5,48,vmPFC,MFC,11,14,8.295454545454545,9.375,7.362637362637362,8.96551724137931,0.7830312153955881,0.7999999999999999
5,49,vmPFC,MFC,11,14,3.8636363636363638,3.125,3.8873626373626373,2.689655172413793,0.4543539795753786,-0.6000000000000001
6,33,preSMA,MFC,6,10,1.6666666666666667,1.0,1.7884615384615385,0.3950617283950617,0.5649969106821366,1.0
7,2,amygdala,MTL,15,10,2.1666666666666665,2.0,1.2179487179487178,1.5145631067961165,1.0,-0.19999999999999998
7,3,amygdala,MTL,15,10,3.0833333333333335,3.625,0.7532051282051282,0.7572815533980582,0.8211639052485854,-0.39999999999999997
7,5,amygdala,MTL,15,10,2.5833333333333335,3.375,0.8974358974358975,1.0485436893203883,0.36242130901845204,1.0
