subject,region,scope,model,layer,n_images,rho
2,MTL,within-category pairs (all cats),clip_vitb32,ln_post,63,0.005826867650223639
2,MTL,within face_person,clip_vitb32,ln_post,38,0.01014373547268284
2,MFC,all,alexnet,conv1,63,-0.020034244924698658
2,MFC,between-category pairs,alexnet,conv1,63,-0.019247685679296214
2,MFC,within-category pairs (all cats),alexnet,conv1,63,-0.06285602410604357
2,MFC,within face_person,alexnet,conv1,38,-0.05638160243423401
2,MFC,all,alexnet,conv4,63,0.010471342179591461
2,MFC,between-category pairs,alexnet,conv4,63,-0.03029634241133911
2,MFC,within-category pairs (all cats),alexnet,conv4,63,-0.03874167182840793
2,MFC,within face_person,alexnet,conv4,38,-0.03433651953388796
2,MFC,all,resnet50,layer2,63,0.012552199686233551
2,MFC,between-category pairs,resnet50,layer2,63,0.0214908885463019
2,MFC,within-category pairs (all cats),resnet50,layer2,63,-0.07796317202448194
2,MFC,within face_person,resnet50,layer2,38,-0.07043369049947996
2,MFC,all,resnet50,avgpool,63,0.04071277344474009
2,MFC,between-category pairs,resnet50,avgpool,63,0.03340207332206383
2,MFC,within-category pairs (all cats),resnet50,avgpool,63,-0.031736546286629884
2,MFC,within face_person,resnet50,avgpool,38,-0.03285746871273187
2,MFC,all,vit_b_16,ln,63,0.009484080310334285
2,MFC,between-category pairs,vit_b_16,ln,63,0.016543743070619142
2,MFC,within-category pairs (all cats),vit_b_16,ln,63,-0.05829325157868536
2,MFC,within face_person,vit_b_16,ln,38,-0.054864419995998934
2,MFC,all,dinov2_small,norm,63,0.028907598764945724
2,MFC,between-category pairs,dinov2_small,norm,63,0.026086987445114684
2,MFC,within-category pairs (all cats),dinov2_small,norm,63,-0.0560774573642903
2,MFC,within face_person,dinov2_small,norm,38,-0.055036426746953054
2,MFC,all,clip_vitb32,ln_post,63,0.03338285727740139
2,MFC,between-category pairs,clip_vitb32,ln_post,63,0.03516000890943681
2,MFC,within-category pairs (all cats),clip_vitb32,ln_post,63,-0.024418351824518042
2,MFC,within face_person,clip_vitb32,ln_post,38,-0.036142245023823974
3,MTL,all,alexnet,conv1,63,0.011901029397478667
3,MTL,between-category pairs,alexnet,conv1,63,-0.008768977056162705
3,MTL,within-category pairs (all cats),alexnet,conv1,63,0.0046835705609460316
3,MTL,within face_person,alexnet,conv1,37,0.017078374041997496
3,MTL,within animal,alexnet,conv1,9,-0.01904761904761905
3,MTL,all,alexnet,conv4,63,0.02580948884606327
3,MTL,between-category pairs,alexnet,conv4,63,0.014844154446610512
3,MTL,within-category pairs (all cats),alexnet,conv4,63,0.005306159210930021
3,MTL,within face_person,alexnet,conv4,37,0.024484384509635044
3,MTL,within animal,alexnet,conv4,9,-0.24092664092664096
3,MTL,all,resnet50,layer2,63,0.018396371756771748
3,MTL,between-category pairs,resnet50,layer2,63,0.010882473646370202
3,MTL,within-category pairs (all cats),resnet50,layer2,63,0.013193360950542878
3,MTL,within face_person,resnet50,layer2,37,0.03298117249036527
3,MTL,within animal,resnet50,layer2,9,-0.027541827541827543
3,MTL,all,resnet50,avgpool,63,0.038556492549664166
3,MTL,between-category pairs,resnet50,avgpool,63,0.015656327698048252
3,MTL,within-category pairs (all cats),resnet50,avgpool,63,0.06245890805391518
3,MTL,within face_person,resnet50,avgpool,37,0.08164194675675779
3,MTL,within animal,resnet50,avgpool,9,-0.049678249678249686
3,MTL,all,vit_b_16,ln,63,0.03929241991144463
3,MTL,between-category pairs,vit_b_16,ln,63,0.018780488908923077
3,MTL,within-category pairs (all cats),vit_b_16,ln,63,0.04382904442744092
3,MTL,within face_person,vit_b_16,ln,37,0.05483287618535785
3,MTL,within animal,vit_b_16,ln,9,-0.033204633204633204
3,MTL,all,dinov2_small,norm,63,0.024338858423553367
3,MTL,between-category pairs,dinov2_small,norm,63,-0.007963302052943062
3,MTL,within-category pairs (all cats),dinov2_small,norm,63,0.051829426271351425
3,MTL,within face_person,dinov2_small,norm,37,0.07142592085383848
3,MTL,within animal,dinov2_small,norm,9,-0.15160875160875162
3,MTL,all,clip_vitb32,ln_post,63,0.04743140576282887
3,MTL,between-category pairs,clip_vitb32,ln_post,63,0.04342849655426109
3,MTL,within-category pairs (all cats),clip_vitb32,ln_post,63,0.02626196878785645
3,MTL,within face_person,clip_vitb32,ln_post,37,0.0321836440040496
3,MTL,within animal,clip_vitb32,ln_post,9,-0.07104247104247104
3,MFC,all,alexnet,conv1,63,-0.017572133627072797
3,MFC,between-category pairs,alexnet,conv1,63,-0.021132081313841564
3,MFC,within-category pairs (all cats),alexnet,conv1,63,-0.02638060847546367
