subject,unit,area,region,t,mean_rate,r_clip ln_post,r_resnet50 avgpool,r_alexnet conv1,r_category one-hot,base_clip ln_post,base_resnet50 avgpool,base_alexnet conv1,base_category one-hot,rdeb_clip ln_post,rdeb_resnet50 avgpool,rdeb_alexnet conv1,rdeb_category one-hot
11,50,preSMA,MFC,-0.05,2.6984126984126986,-0.17729996092779648,-0.21667077542590205,-0.2723322203770035,-0.10875169389565009,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.00907467032760162,-0.19509371022352806,-0.21823944077102486,0.12516267739161785
11,50,preSMA,MFC,-0.0,2.9629629629629624,0.1120322587810629,-0.027231880547605294,-0.017524191420097923,0.09744349604722007,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.29840689003646104,-0.0056548153452312955,0.0365685881858807,0.331357867334488
11,50,preSMA,MFC,0.05,2.751322751322751,-0.05415137575330486,-0.16048447864510196,0.047018790596020626,-0.31436113222158196,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.13222325550209324,-0.13890741344272794,0.10111157020199925,-0.08044676093431402
11,50,preSMA,MFC,0.1,2.433862433862434,-0.31121613734651865,-0.1951489552179206,0.0020134348603089852,-0.3261098866641066,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,-0.12484150609112055,-0.17357189001554663,0.05610621446628761,-0.09219551537683868
11,50,preSMA,MFC,0.15,2.7513227513227507,-0.4910449800352038,-0.4225815807841241,-0.5167092340217722,-0.47864665734040857,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,-0.3046703487798057,-0.4010045155817501,-0.4626164544157935,-0.24473228605314062
11,50,preSMA,MFC,0.2,2.619047619047618,-0.1642862633902502,-0.23265440755416594,-0.18470105239200593,-0.211499446153378,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.022088367865147895,-0.21107734235179193,-0.13060827278602732,0.02241492513388993
11,50,preSMA,MFC,0.25,2.5661375661375656,-0.08387102823144407,0.06205569822696551,-0.18695563567946732,0.0666597450754762,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.10250360302395403,0.08363276342933951,-0.1328628560734887,0.3005741163627441
11,50,preSMA,MFC,0.3,2.3544973544973535,-0.04982877282786807,0.016754764882004915,-0.1460571936825177,-0.1694163344064319,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.13654585842753003,0.03833183008437892,-0.09196441407653909,0.06449803688083605
11,50,preSMA,MFC,0.35,2.2222222222222214,0.0003563040154006894,0.02952737331649853,0.2839185946389905,-0.0006627005000158469,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.1867309352707988,0.05110443851887253,0.33801137424496913,0.2332516707872521
11,50,preSMA,MFC,0.4,2.857142857142857,0.4353068107287801,0.1968998088360352,0.3230466385076945,0.23098225495435987,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.6216814419841782,0.2184768740384092,0.37713941811367313,0.4648966262416278
11,50,preSMA,MFC,0.45,3.7830687830687824,0.44583873319700734,0.2722845373478463,0.15971871061013063,0.3381869609637357,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.6322133644524055,0.2938616025502203,0.21381149021610923,0.5721013322510036
11,50,preSMA,MFC,0.5,3.9682539682539684,0.11153685286920606,0.02583098125749645,-0.019310563547119203,0.269018799111044,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.29791148412460416,0.04740804645987045,0.03478221605885942,0.502933170398312
11,50,preSMA,MFC,0.55,3.8888888888888884,-0.024437390402928943,0.0232441310208372,-0.031761669810307425,-0.06990472419742588,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.16193724085246916,0.0448211962232112,0.022331109795671197,0.16400964708984206
11,50,preSMA,MFC,0.6,4.100529100529101,0.1254616916192173,-0.19350831708837984,-0.247700776871332,-0.11032386363350041,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.3118363228746154,-0.17193125188600583,-0.19360799726535338,0.12359050765376753
11,50,preSMA,MFC,0.65,3.835978835978835,0.15611411567668557,-0.14438010433785575,0.15827468144331658,0.19232163360971397,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.34248874693208364,-0.12280303913548175,0.21236746104929521,0.4262360048969819
11,50,preSMA,MFC,0.7,3.8624338624338628,0.15421561812323897,-0.08484895377469323,0.0037861890236413065,0.08934043974532933,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.3405902493786371,-0.06327188857231923,0.05787896862961993,0.3232548110325973
11,50,preSMA,MFC,0.75,3.835978835978836,0.21071100477768107,-0.08546169952509775,-0.10537972982241908,-0.003485083694818175,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.39708563603307917,-0.06388463432272375,-0.05128695021644046,0.23042928759244977
11,50,preSMA,MFC,0.8,3.6243386243386233,0.40190302517449533,0.07658162703351726,0.028372746301172654,0.19753146856018272,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.5882776564298935,0.09815869223589126,0.08246552590715128,0.43144583984745066
11,50,preSMA,MFC,0.85,3.4656084656084647,0.08328843224193354,0.09764009390236046,0.10821871306378811,0.17378404016342797,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.26966306349733166,0.11921715910473446,0.16231149266976674,0.4076984114506959
11,50,preSMA,MFC,0.9,3.2010582010582005,0.31472029192002604,0.12406294112928272,0.23726671301914512,0.22485553267007913,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.5010949231754241,0.14564000633165672,0.29135949262512373,0.45876990395734707
11,50,preSMA,MFC,0.95,3.095238095238095,0.3182408584451245,0.14857482358973423,0.1904194678491202,0.292862471044679,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.5046154897005226,0.17015188879210824,0.2445122474550988,0.526776842331947
11,50,preSMA,MFC,1.0,3.015873015873015,0.35863880537238557,0.06381270023750116,0.07089561462420273,0.14297709919556176,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.5450134366277837,0.08538976543987516,0.12498839423018135,0.37689147048282967
11,50,preSMA,MFC,1.05,3.201058201058201,-0.07964532191576623,-0.10170972708525068,-0.16210149189874545,-0.20862748349845991,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.10672930933963187,-0.08013266188287668,-0.10800871229276683,0.025286887788808027
11,50,preSMA,MFC,1.1,2.962962962962963,0.10638870345299095,0.10330148228024941,-0.0948008498581933,0.13123993737222867,-0.1863746312553981,-0.021577065202374,-0.05409277960597862,-0.23391437128726794,0.29276333470838906,0.1248785474826234,-0.04070807025221468,0.3651543086594966
11,53,preSMA,MFC,-0.3,2.2486772486772484,-0.48078712877289764,-0.17912992954832058,-0.5019579161231926,-0.14297714314197213,-0.33588046589992154,-0.14686337925399723,-0.11439390697207188,-0.18954496973558013,-0.1449066628729761,-0.03226655029432335,-0.38756400915112077,0.046567826593608
