image_uid,drive,drive_max,n_subj,attr_famous,attr_face_visible,attr_single_object,attr_indoor,attr_natural,attr_text_present,attr_colorful,attr_emotional,attr_child,attr_smiling,luminance,rms_contrast,michelson_contrast,colorfulness,saturation,hue_entropy,gray_entropy,edge_density,spectral_slope,high_freq_energy,edge_com_x,edge_com_y,clip_centroid_dist,clip_nn1_dist,clip_nn5_dist,clip_mean_dist,clip_cat_typicality,resnet50_centroid_dist,resnet50_nn1_dist,resnet50_nn5_dist,resnet50_mean_dist,resnet50_cat_typicality,dinov2_centroid_dist,dinov2_nn1_dist,dinov2_nn5_dist,dinov2_mean_dist,dinov2_cat_typicality,alexnet_fc7_centroid_dist,alexnet_fc7_nn1_dist,alexnet_fc7_nn5_dist,alexnet_fc7_mean_dist,alexnet_fc7_cat_typicality,category
img_0010,0.31409900960079745,0.44021913154014436,16,0.19344419,0.93269473,0.6737713,0.54524744,0.117085606,0.7569529,0.5042209,0.46466953,0.060434867,0.027268974,0.3997928500175476,0.1746062040328979,0.876621681169588,68.88909912109375,0.4848782420158386,1.9530816078186035,5.2995088080238855,0.0203,-2.7277048855005885,0.0506740845739841,0.4932433026190292,0.5157618222618875,0.2708096819478051,0.2208414826396922,0.2475190419698117,0.4860056260179048,0.7441544674536515,0.4416809172669438,0.2668773929774463,0.308673722533152,0.7962148913703474,0.6100856739102158,0.4325617084572266,0.3938582125756436,0.4274556349496151,0.8885539526346496,0.613409854508702,0.428040360326704,0.2366285614407213,0.2567480889453276,0.8155575873983527,0.7003660588406397,face_person
img_0011,-0.38661708651450843,-0.11693317829026177,16,0.46993405,0.9458858,0.847136,0.57829237,0.19293316,0.752062,0.20106398,0.5643048,0.12526588,0.08784036,0.532099187374115,0.330104649066925,0.9822071335840892,61.82617950439453,0.3635497391223907,2.764451503753662,5.771491483520631,0.0263166666666666,-3.7587829210178265,0.0113040693104267,0.566211156833206,0.5230517968378833,0.3047698356726438,0.1359349771201177,0.2019267973515745,0.5100801610373052,0.7481132938920501,0.4404755925533865,0.287416923655414,0.301355002970609,0.79576861985291,0.6762391066444573,0.5053549536926469,0.266890903990168,0.346147213824591,0.90322689506355,0.5547428171433905,0.3938123481451756,0.2722332103310433,0.3175623922187621,0.804344431604222,0.7279313256539938,face_person
img_0013,-0.11735508579033806,-0.19366180953272868,11,0.29919675,0.9824326,0.9748198,0.31633586,0.11072142,0.9099217,0.49085194,0.53288335,0.2477961,0.7919075,0.4660344123840332,0.3310039043426513,0.9678347783409086,57.1550407409668,0.457589328289032,2.7334542274475098,5.6660327710716025,0.022575,-2.8894461077314144,0.0171237960457801,0.5381388614962672,0.5069769043803926,0.3040442079651835,0.0947075295596781,0.2432579141183536,0.5095657596657495,0.7392588643699881,0.4008337080088299,0.16556906899729,0.2051840699073519,0.7810912107109605,0.7583811012663693,0.4586590065183191,0.3929368090699413,0.4350469856936536,0.8938143878681916,0.6319470128644546,0.368893481622818,0.1869664510609053,0.201404489978435,0.7961809679754712,0.810230837359402,face_person
img_0014,-0.544161114891193,-0.4631996257278065,11,0.42255536,0.9322625,0.93805087,0.6563968,0.2973157,0.24372645,0.013271464,0.4101415,0.10123782,0.03826416,0.4880395531654358,0.226673811674118,0.8008658034185522,0.0,0.0,-0.0,5.122712082016498,0.0238416666666666,-2.7043625745320607,0.0283213406801223,0.5278163557904952,0.5083874709850765,0.3830374985485524,0.330092777178628,0.3645982391869909,0.5655645268048994,0.646164241458379,0.5505768008908074,0.367921558497807,0.423906324476664,0.8365335960985525,0.5192539514111083,0.6369104070512268,0.4024501378329962,0.487726092010894,0.9297445422311624,0.4169388062895979,0.461317302198645,0.3482240136784472,0.391189027239117,0.8264591709195738,0.6229974815234227,face_person
img_0015,-0.07990663544218429,-0.31950119005967337,13,0.95882034,0.98460126,0.9485796,0.5526161,0.43129504,0.37468162,0.8069885,0.7477498,0.15472765,0.08937477,0.4830287098884582,0.2863964736461639,0.9819681566247422,52.50926208496094,0.4036652743816376,2.322542905807495,5.077707189672037,0.0326666666666666,-3.4189724306776386,0.0301638469099998,0.40847394133086,0.4363770657823375,0.3139064689545774,0.2912661732279908,0.3269084741278928,0.5165571693479138,0.742375087380662,0.3972894105578516,0.2567212083533596,0.3013499250518666,0.7797789344555187,0.7561762254972502,0.4968327484130452,0.3814435288572088,0.4202319138633095,0.9015090732102936,0.5447074869384693,0.3977565223307786,0.275918939185326,0.2901350896305515,0.8056365498665329,0.7548012262340775,face_person
img_0016,-0.22375453657993605,0.3082563386633319,11,0.8411785,0.9429703,0.96519643,0.5996472,0.36510777,0.3520212,0.10086512,0.72776914,0.37666792,0.9741943,0.1862109005451202,0.2997519373893738,0.9999999894942612,26.113115310668945,0.1944645345211029,2.1210739612579346,3.35749632574796,0.02935,-2.859126105160419,0.0198346301913261,0.3801245919922065,0.5561611319772649,0.3024824214273985,0.3129929509463637,0.3518693655210024,0.5084586008171361,0.735978305002023,0.4196331520060644,0.2996414077148452,0.3576358759496812,0.7880517055097997,0.699943853691539,0.5911565139717299,0.4862389707160254,0.5454393838829169,0.9205219249830602,0.4450212911240627,0.423374681980184,0.3518579628347378,0.3710930266345947,0.8140291031291709,0.6980542550901373,face_person
img_0017,0.20791144103765988,0.2819029365275019,13,0.85887843,0.3867702,0.63866276,0.5662945,0.6244873,0.6195486,0.11556827,0.19866012,0.064352624,0.14005458,0.4755632877349853,0.3906786739826202,0.9830931478591828,29.40414810180664,0.2003196328878402,2.3348894119262695,5.1444145062015885,0.0956416666666666,-2.841428283046275,0.056315641850233,0.5260536279875629,0.504129242309792,0.2702005926554978,0.2385375018738352,0.304896706480349,0.4855738393535569,0.7123964632227142,0.36792043226716,0.3801732109324808,0.4147587784688618,0.7689050692140968,0.5228048463999064,0.6480407943044401,0.4465145691804777,0.4922174133206479,0.9319880956110068,0.2350940082018259,0.5133445654927485,0.3514280919054231,0.4323017299573385,0.843503392061165,0.4572431117029699,scene_with_people
img_0018,-0.05722451930975729,-0.02839720000089514,15,0.21913639,0.9922691,0.9801471,0.12750676,0.07313807,0.9527001,0.21397805,0.3847067,0.05865764,0.10910919,0.2780926823616028,0.3088119924068451,0.9749514573172284,33.26030349731445,0.2926817238330841,3.2453103065490723,4.966165587777367,0.0475833333333333,-2.6082232154614933,0.0280282665044069,0.5552907271967268,0.4851601399801167,0.3093485102652176,0.2399764727174894,0.3007648469040662,0.5133260080000276,0.6829973206411123,0.5486323379964972,0.5195944901566971,0.5536353343043359,0.8358136586437868,0.4192854099698442,0.7035744856719384,0.6815463033870599,0.7073464936958509,0.9431820278730508,0.1203764415188172,0.5782788495175911,0.5371817163527384,0.5753528330420101,0.8647759754437264,0.2804490534584829,object
img_0019,0.15102199678508335,0.0018475694287611553,16,0.53181016,0.62805593,0.9931931,0.7622285,0.20784897,0.5467755,0.04369712,0.80564594,0.48268625,0.45278782,0.3742955029010772,0.2358995974063873,0.9920948512006372,0.0,0.0,-0.0,5.710700222940327,0.0558416666666666,-2.8401301588582784,0.0661084204912185,0.5260432753683585,0.4690475426181844,0.3263075559204299,0.3243573926610792,0.3331546590938235,0.5253483663742006,0.6736431294346794,0.604602554770185,0.4624751279441319,0.5347323647754709,0.8565366333658307,0.3753280602380179,0.7510849205633395,0.6695493693777206,0.703934559185947,0.9527587114469044,0.2475088638748785,0.7253228549608668,0.5725017488186792,0.6668690801001135,0.9129478451066182,0.1783850018401502,face_person
img_0020,0.3039118347281428,0.31510169869891347,13,0.18954101,0.98812675,0.99150014,0.15984525,0.12856358,0.8818047,0.35226226,0.508372,0.2466765,0.44278896,0.3855177164077759,0.1686268597841262,0.7377854423669531,93.56800079345705,0.4946645498275757,1.8157087564468384,5.163232026362483,0.0126416666666666,-2.774234963383234,0.0368664227426052,0.5000724784465816,0.5482703506497036,0.2917461177053262,0.315655596869278,0.3307725875804523,0.5008475775564577,0.736178893369918,0.4127367894022569,0.3424427434729972,0.3546864088609959,0.7854983270140439,0.6866378274469669,0.604777311408204,0.3608134915178024,0.449002052931616,0.9232674706167896,0.4561623464293926,0.4250539194927605,0.3931566941112477,0.4191770215414975,0.8145792242330203,0.6723362573823464,face_person
img_0021,0.2544323174066064,-0.15378295790603083,13,0.88929474,0.94761336,0.62931424,0.8750671,0.5370376,0.5825991,0.9102001,0.37810647,0.027952947,0.09510739,0.2468967735767364,0.2350320070981979,0.9903200279396644,80.29191589355469,0.518007755279541,2.800865888595581,5.2437832298050315,0.09385,-1.7899110744434656,0.1371916681528091,0.4978048308889869,0.6133419640134233,0.3437068854042054,0.2639849892491155,0.3123387720081483,0.5376828443145897,0.7024254562271611,0.6434754319119398,0.2156678112028957,0.3641871203395443,0.8709293174899414,0.4001176057861179,0.800578514321801,0.1788103464932143,0.4131617277333315,0.9627351405711816,0.2131563921580844,0.6352686889796804,0.3723651685322691,0.4426561454418281,0.8834459450926145,0.3277249861344515,face_person
img_0022,0.1361369122117605,0.11046696335456709,13,0.7209362,0.9504919,0.8365762,0.43184063,0.18912295,0.7717195,0.7204697,0.38946304,0.053367082,0.4754407,0.2584624290466308,0.1609820127487182,0.99999998695072,72.67211151123047,0.4928794205188751,2.7159018516540527,5.038690507771241,0.0189,-2.7228823233974753,0.0387329831719398,0.4990339247792299,0.4977514528684919,0.2861822450517255,0.3508861560764484,0.3594264535910417,0.496903318407106,0.7342851134294164,0.5071847358585273,0.5291505477995129,0.5555072371878927,0.8204676824995911,0.4418243838991287,0.750970458123756,0.6631591869554349,0.7130841060819593,0.9527356392403988,0.2299177932519967,0.5266305830170817,0.4652861271880567,0.501301200140927,0.8478559143050448,0.4877080950181248,face_person
img_0023,0.5489946399493075,0.04530796882500375,13,0.8336177,0.99621636,0.9490557,0.37502757,0.82760406,0.7744968,0.22364683,0.0756896,0.06072361,0.9193889,0.3192873299121856,0.3007694780826568,0.9999999876930538,59.567420959472656,0.4791195392608642,2.136500358581543,5.120099183835263,0.044575,-2.846898817497637,0.0397759489715099,0.5108824429689774,0.4788618704868241,0.3778142234029829,0.2230140260105226,0.3100172925791787,0.5618617190547683,0.6699989965299711,0.5155865897027243,0.2809223922132426,0.3334639071603372,0.8235784691798644,0.6099974544224624,0.5397001099394354,0.3988085923867414,0.4689195511682581,0.9101498519765292,0.4969673401638482,0.4765148921133239,0.3123616298435172,0.3806239709102726,0.8314379275737674,0.6303337786939217,face_person
