subject,unit,area,t,pref_minus_nonpref,rho_alexnet conv1,rho_resnet50 avgpool,rho_clip ln_post
1,38,amygdala,1.05,-0.40322580645161277,0.07034998337318923,0.07413704789869924,-0.07087596455728784
1,38,amygdala,1.075,-0.4569892473118278,0.08112495248026795,0.09866264447276599,-0.07169975573579668
1,38,amygdala,1.1,-2.096774193548387,0.1360985338027235,0.06111456025701184,-0.020109338359986306
1,38,amygdala,1.125,-0.3225806451612905,0.12373208533939317,0.07940266601809737,0.02850690201446804
1,38,amygdala,1.15,-0.3225806451612907,-0.014908700495610085,0.1307337898839036,0.22744313807235844
2,0,amygdala,-0.15,-0.32258064516129037,0.09889448718978451,0.05527061851680425,0.22836683704374294
2,0,amygdala,-0.125,-0.40322580645161293,0.25355598817350644,-0.01509392676311005,0.18171329307045106
2,0,amygdala,-0.1,-0.456989247311828,0.3109956996851247,-0.063868129451635,0.14285232621761113
2,0,amygdala,-0.075,-0.4301075268817205,0.3127709824687982,-0.044692035442953124,0.09282755558396985
2,0,amygdala,-0.05,-0.2956989247311828,0.3603620470049798,-0.08524162236319373,-0.04373265842981243
2,0,amygdala,-0.025,-0.21505376344086022,0.33809776890515775,-0.053970812573973875,-0.07563256728053482
2,0,amygdala,-0.0,-0.2150537634408602,0.072282338268715,0.038871835246731185,-0.003120761271284204
2,0,amygdala,0.025,-0.2688172043010753,0.04051546265629133,0.014370869232787097,-0.0036360030588979395
2,0,amygdala,0.05,-0.34946236559139787,0.08279506086125592,-0.049138223563394326,0.05600619149001546
2,0,amygdala,0.075,-0.40322580645161293,0.061601096572970776,-0.06319226880917297,0.029967077115141377
2,0,amygdala,0.1,-0.456989247311828,0.17316048539494336,-0.11482946725171862,-0.0422528181215297
2,0,amygdala,0.125,-0.456989247311828,0.02849126197392838,0.00020746064544122604,-0.05248754329663019
2,0,amygdala,0.15,-0.43010752688172044,-0.1276410216675982,0.09377425031900592,-0.00041554320673119313
2,0,amygdala,0.175,-0.43010752688172044,-0.08400898496082287,0.10208511445362979,0.14502457914918643
2,0,amygdala,0.2,-0.3225806451612903,-0.19478700120956957,0.10748048106531546,0.12233550690361109
2,0,amygdala,0.225,-0.24193548387096775,-0.12153177779120511,0.07803619416066855,0.09594614036147772
2,0,amygdala,0.25,-0.24193548387096775,-0.06828959958339552,0.16370228609809934,0.1120261509294815
2,0,amygdala,0.275,-0.24193548387096775,-0.0962846639287391,0.28408106278307677,-0.05034522227351135
2,0,amygdala,0.3,-0.24193548387096775,-0.11594967279305339,0.24398050590253675,-0.027649159585975885
2,0,amygdala,0.325,-0.2956989247311828,-0.16662676804856677,0.2913789863508243,0.05251518013091356
2,0,amygdala,0.35,-0.29569892473118276,-0.08797793172135027,0.00991300639113806,-0.10706964773391243
2,0,amygdala,0.375,-0.2688172043010753,-0.08476456384617118,-0.11305215873342184,-0.08289836835013728
2,0,amygdala,0.4,-0.37634408602150543,-0.01544180826608941,-0.1424821951490954,-0.09903241321670607
2,0,amygdala,0.425,-0.4301075268817205,0.06581846865879,-0.17095230736181827,-0.1855216903018619
