subject,unit,area,hemisphere,pref_image,pref_category,pref_is_face,n_same,n_diff,space,scope,rho,rho_null,n_null
4,44,amygdala,R,img_0154,face_person,True,28,34,alexnet conv1,diff,0.10552884315200058,-0.03045442411185643,20
4,44,amygdala,R,img_0154,face_person,True,28,34,alexnet conv1,partial,-0.11212920511406926,-0.007632755257511364,20
4,44,amygdala,R,img_0154,face_person,True,28,34,alexnet conv1,category,0.45563509238930394,0.13700705935716415,20
4,45,amygdala,R,img_0139,animal,False,19,43,clip ln_post,all,0.08668352169977073,-0.012763106458271898,20
4,45,amygdala,R,img_0139,animal,False,19,43,clip ln_post,same,0.13879071170995794,0.08771979059311999,20
4,45,amygdala,R,img_0139,animal,False,19,43,clip ln_post,diff,-0.17357271926256074,-0.09410402720923985,20
4,45,amygdala,R,img_0139,animal,False,19,43,clip ln_post,partial,-0.09607792300504409,-0.03188422917531452,20
4,45,amygdala,R,img_0139,animal,False,19,43,clip ln_post,category,0.17976850554381757,-0.0051505138259940525,20
4,45,amygdala,R,img_0139,animal,False,19,43,resnet50 avgpool,all,0.004317169055376447,0.022447391758118638,20
4,45,amygdala,R,img_0139,animal,False,19,43,resnet50 avgpool,same,-0.03537802455351868,-0.00858731962496785,20
4,45,amygdala,R,img_0139,animal,False,19,43,resnet50 avgpool,diff,-0.2632480001218774,0.05464794612329382,20
4,45,amygdala,R,img_0139,animal,False,19,43,resnet50 avgpool,partial,-0.21589032427441984,0.04698594015622383,20
4,45,amygdala,R,img_0139,animal,False,19,43,resnet50 avgpool,category,0.17976850554381757,-0.0051505138259940525,20
4,45,amygdala,R,img_0139,animal,False,19,43,alexnet conv1,all,0.1283638265798597,0.028939285112851165,20
4,45,amygdala,R,img_0139,animal,False,19,43,alexnet conv1,same,0.34380182835342515,0.012786463038882659,20
4,45,amygdala,R,img_0139,animal,False,19,43,alexnet conv1,diff,-0.01796671558258153,0.06441647722644649,20
4,45,amygdala,R,img_0139,animal,False,19,43,alexnet conv1,partial,0.12606146543791322,0.04784030245478745,20
4,45,amygdala,R,img_0139,animal,False,19,43,alexnet conv1,category,0.17976850554381757,-0.0051505138259940525,20
4,46,amygdala,R,img_0147,face_person,True,28,34,clip ln_post,all,0.0401943736565793,0.03828948410135545,20
