subject,session,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region
13,2,1,135,5,0.9259259259259259,1.7075790045333472,0.08491508491508491,img_0056,1.3171137311580328,0.016983016983016984,False,0.7791960398092473,0.5841917968170287,2.4537037037037037,0.5417874949124949,0.48148148148148145,dACC,MFC
13,2,2,135,5,0.9907407407407407,1.1450940567641852,0.3256743256743257,img_0056,1.6833330749039672,0.03196803196803197,False,0.4142556662087912,0.9317718133336332,1.4814814814814814,0.8677693833943834,0.8888888888888888,dACC,MFC
13,2,3,135,5,4.435185185185185,1.112421364396196,0.3926073926073926,img_0004,0.7361117178398711,0.22977022977022976,False,0.1409556878306879,0.9797099760064938,5.0,4.295221560846561,3.925925925925926,dACC,MFC
13,2,4,135,5,0.5462962962962963,0.1380046765393608,0.968031968031968,img_0004,0.4635210035964608,0.3126873126873127,False,0.15476190476190466,0.9863808359110856,0.625,0.5282738095238095,0.8148148148148148,dACC,MFC
13,2,5,135,5,0.5740740740740741,0.20993255987008072,0.9310689310689311,img_0004,0.5540649952219091,0.25874125874125875,False,0.18074452003023422,0.9809117150276775,0.6730769230769231,0.5514219576719577,0.6666666666666666,dACC,MFC
13,2,6,135,5,8.157407407407407,13.92034809190574,0.000999000999000999,img_0020,4.970619247305217,0.000999000999000999,True,0.41076103068723,0.8949478089617594,12.098214285714286,7.128739316239315,8.407407407407407,amygdala,MTL
13,2,7,135,5,3.509259259259259,13.992216854196482,0.000999000999000999,img_0269,5.771567494245858,0.000999000999000999,True,0.5835542098746324,0.8358719682081992,6.574074074074074,2.7377454721204724,3.740740740740741,amygdala,MTL
13,2,8,135,5,1.8240740740740742,0.7504431732927674,0.5714285714285714,img_0260,1.4149989053208465,0.07292707292707293,False,0.17801899187768755,0.9867032696021072,2.1296296296296298,1.75051510989011,1.8888888888888888,amygdala,MTL
13,2,9,135,5,1.4814814814814814,1.149755703317293,0.3166833166833167,img_0260,1.1874103639902962,0.11388611388611389,False,0.198254048582996,0.9822039449208845,1.7592592592592593,1.4104789886039886,1.4074074074074074,amygdala,MTL
13,2,10,135,5,0.8148148148148148,0.5637121146336167,0.7122877122877123,img_0020,1.0750926482666936,0.13086913086913088,False,0.2608076303728477,0.9757215823698538,1.0267857142857142,0.7589921652421653,0.7037037037037037,amygdala,MTL
13,2,11,135,5,0.8148148148148148,1.5211867232125755,0.16883116883116883,img_0020,1.4479930741223128,0.06793206793206794,False,0.337891737891738,0.927495639571994,1.1160714285714286,0.7389601139601139,0.7037037037037037,amygdala,MTL
13,2,12,135,5,0.19444444444444445,8.933216168717088,0.000999000999000999,img_0056,3.0177571527953138,0.000999000999000999,True,0.9875,0.2199501246882793,0.9259259259259259,0.011574074074074073,0.0,amygdala,MTL
13,2,13,135,5,2.4074074074074074,3.5280509590667295,0.01098901098901099,img_0004,1.619346141363833,0.026973026973026972,True,0.32544545596016183,0.8823551072182817,3.269230769230769,2.2052744708994707,1.6296296296296295,amygdala,MTL
13,2,14,135,5,0.5462962962962963,9.969901236448568,0.000999000999000999,img_0269,3.4350874387221335,0.000999000999000999,True,0.7241463893249608,0.48650762443031537,1.2962962962962963,0.35758801383801386,0.25925925925925924,amygdala,MTL
13,2,15,135,5,1.25,0.9399958604141269,0.46853146853146854,img_0020,1.665728440836682,0.03296703296703297,False,0.28066635011079455,0.965317253157765,1.6071428571428572,1.1560719373219372,1.4074074074074074,amygdala,MTL
13,2,16,135,5,7.944444444444445,0.7559426275641055,0.5474525474525475,img_0020,0.8148524613391441,0.1998001998001998,False,0.09186550332383647,0.9943615165899848,8.571428571428571,7.784009971509972,8.11111111111111,amygdala,MTL
13,2,17,135,5,2.0555555555555554,3.5784492610983993,0.01098901098901099,img_0056,2.128982854831723,0.005994005994005994,True,0.38348858173076916,0.9201597358528603,2.962962962962963,1.8267004985754989,1.5185185185185186,amygdala,MTL
13,2,18,135,5,0.19444444444444445,0.850415830550459,0.5514485514485514,img_0260,1.3148546223318693,0.07492507492507493,False,0.592290521978022,0.8231762195709914,0.37037037037037035,0.1510035103785104,0.1111111111111111,amygdala,MTL
