subject,region,n_units,n_images,text_variant,text_centering,image_space,rho_text,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
5,MTL,14,63,fine-only,raw,clip_ln_post,0.002184087745824462,0.03121828013178222,-0.0013344246584123009,0.031170408460360118,0.11241514973059875
5,MTL,14,63,fine-only,raw,resnet50_avgpool,0.002184087745824462,-0.027947194194534536,0.01608709846688081,-0.032169441512610475,0.4388742585841232
5,MTL,14,63,fine-only,centred,clip_embed,-0.0014627748776199678,0.02441904047686191,-0.015316018097711909,0.02878527632210851,0.4875522539317487
5,MTL,14,63,fine-only,centred,clip_ln_post,-0.0014627748776199678,0.03121828013178222,-0.02161470938807575,0.03793658821495577,0.5369534444139226
5,MTL,14,63,fine-only,centred,resnet50_avgpool,-0.0014627748776199678,-0.027947194194534536,0.01569010683984072,-0.03201398633777539,0.5286944710361762
5,MTL_concept,2,63,identity+fine,raw,clip_embed,-0.012106313998865456,-0.010184888421136972,-0.008694341216829276,-0.005723429260379973,0.41014950751512724
5,MTL_concept,2,63,identity+fine,raw,clip_ln_post,-0.012106313998865456,-0.01246929578174243,-0.008117441218209176,-0.008649512720756439,0.36480725611561027
5,MTL_concept,2,63,identity+fine,raw,resnet50_avgpool,-0.012106313998865456,-0.009940836390914204,-0.011585918695606372,-0.009300016817859882,0.05411449654926551
5,MTL_concept,2,63,identity+fine,centred,clip_embed,-0.017521295069300162,-0.010184888421136972,-0.014330348216481412,-0.0014402728218341427,0.5106199339989919
5,MTL_concept,2,63,identity+fine,centred,clip_ln_post,-0.017521295069300162,-0.01246929578174243,-0.012790443350055088,-0.0034729330356400292,0.5455768876031878
5,MTL_concept,2,63,identity+fine,centred,resnet50_avgpool,-0.017521295069300162,-0.009940836390914204,-0.014541676342180327,-0.001806904490491374,0.4767175607065488
5,MTL_concept,2,63,fine-only,raw,clip_embed,0.0028811094035194346,-0.010184888421136972,0.003481128221681015,-0.010370585814883527,0.05831333745076963
5,MTL_concept,2,63,fine-only,raw,clip_ln_post,0.0028811094035194346,-0.01246929578174243,0.004310503016565926,-0.012874838607007649,0.11241514973059875
5,MTL_concept,2,63,fine-only,raw,resnet50_avgpool,0.0028811094035194346,-0.009940836390914204,0.008062163199239613,-0.012470476330999599,0.4388742585841232
5,MTL_concept,2,63,fine-only,centred,clip_embed,-0.0052239665169260645,-0.010184888421136972,-0.0002958612310823822,-0.008748242069519218,0.4875522539317487
5,MTL_concept,2,63,fine-only,centred,clip_ln_post,-0.0052239665169260645,-0.01246929578174243,0.001744379436311511,-0.01145598005973497,0.5369534444139226
5,MTL_concept,2,63,fine-only,centred,resnet50_avgpool,-0.0052239665169260645,-0.009940836390914204,3.734664353267164e-05,-0.008457762633136478,0.5286944710361762
5,MFC,22,63,identity+fine,raw,clip_embed,-0.010716962073590798,0.007405387883445613,-0.015081556375632448,0.012940115711612075,0.41014950751512724
5,MFC,22,63,identity+fine,raw,clip_ln_post,-0.010716962073590798,0.01661488485371291,-0.018022569266825023,0.022044960330230606,0.36480725611561027
5,MFC,22,63,identity+fine,raw,resnet50_avgpool,-0.010716962073590798,-0.002645532537063395,-0.010589353601225565,-0.0020687394070272214,0.05411449654926551
5,MFC,22,63,identity+fine,centred,clip_embed,-0.021675584543953727,0.007405387883445613,-0.029608545808874186,0.021490549123040884,0.5106199339989919
5,MFC,22,63,identity+fine,centred,clip_ln_post,-0.021675584543953727,0.01661488485371291,-0.03668531753802426,0.033944156798087766,0.5455768876031878
5,MFC,22,63,identity+fine,centred,resnet50_avgpool,-0.021675584543953727,-0.002645532537063395,-0.023223175842249158,0.008747339495953542,0.4767175607065488
5,MFC,22,63,fine-only,raw,clip_embed,0.001966858567273124,0.007405387883445613,0.001537684408833007,0.007303135428420743,0.05831333745076963
5,MFC,22,63,fine-only,raw,clip_ln_post,0.001966858567273124,0.01661488485371291,9.973969641195197e-05,0.016498389749965956,0.11241514973059875
