subject,region,t,ref,rho
1,MTL,0.425,category,-0.0021826340671150385
1,MTL,0.425,low-level,0.0042955826676808525
1,MTL,0.45,alexnet conv1,0.011039437198343499
1,MTL,0.45,alexnet conv4,0.0241563908501977
1,MTL,0.45,resnet50 avgpool,0.02247833483303769
1,MTL,0.45,clip ln_post,0.026840240788313787
1,MTL,0.45,category,0.008510623516105993
1,MTL,0.45,low-level,-0.010298503089633246
1,MTL,0.475,alexnet conv1,-0.016010650401041077
1,MTL,0.475,alexnet conv4,-0.0004695822790490362
1,MTL,0.475,resnet50 avgpool,0.0012804320323858817
1,MTL,0.475,clip ln_post,0.01103271320809739
1,MTL,0.475,category,-0.004733621994423294
1,MTL,0.475,low-level,-0.017578864061008653
1,MTL,0.5,alexnet conv1,-0.021959126477438185
1,MTL,0.5,alexnet conv4,-0.008877961078412823
1,MTL,0.5,resnet50 avgpool,0.0018776895799892195
1,MTL,0.5,clip ln_post,0.005273950634171192
1,MTL,0.5,category,-0.011089100537458518
1,MTL,0.5,low-level,-0.018121150491420268
1,MTL,0.525,alexnet conv1,-0.017461791883925337
1,MTL,0.525,alexnet conv4,-0.01910908250441064
1,MTL,0.525,resnet50 avgpool,-0.003759166438624487
1,MTL,0.525,clip ln_post,-0.006813915158308441
1,MTL,0.525,category,-0.00486556964583579
1,MTL,0.525,low-level,-0.005172721879241801
1,MTL,0.55,alexnet conv1,-0.02007956017281151
1,MTL,0.55,alexnet conv4,-0.008407494402946653
1,MTL,0.55,resnet50 avgpool,0.018744968928141443
1,MTL,0.55,clip ln_post,-0.0035688842805338176
1,MTL,0.55,category,-0.010971813736202967
1,MTL,0.55,low-level,-0.013054646393890847
1,MTL,0.575,alexnet conv1,-0.01797330647397251
1,MTL,0.575,alexnet conv4,-0.004768259528728638
1,MTL,0.575,resnet50 avgpool,0.02675738138191731
1,MTL,0.575,clip ln_post,0.018832388855953047
1,MTL,0.575,category,0.005345712488475706
1,MTL,0.575,low-level,-0.007565418529118531
1,MTL,0.6,alexnet conv1,-0.016683337780767995
1,MTL,0.6,alexnet conv4,-0.0016685306327984273
1,MTL,0.6,resnet50 avgpool,0.014293756654881676
1,MTL,0.6,clip ln_post,0.0046595560936981565
1,MTL,0.6,category,-0.013137954346891445
1,MTL,0.6,low-level,0.00791059732307993
1,MTL,0.625,alexnet conv1,-0.017828376615210712
1,MTL,0.625,alexnet conv4,-0.0011118345012005497
1,MTL,0.625,resnet50 avgpool,0.018089249394428485
1,MTL,0.625,clip ln_post,-0.009142898214935562
1,MTL,0.625,category,-0.009786117479760121
1,MTL,0.625,low-level,0.0020545930272524004
1,MTL,0.65,alexnet conv1,0.020811766303765796
1,MTL,0.65,alexnet conv4,-0.015866658099136788
1,MTL,0.65,resnet50 avgpool,0.009085418891511644
1,MTL,0.65,clip ln_post,-0.012833449023338968
1,MTL,0.65,category,-0.015335249264163424
1,MTL,0.65,low-level,0.014374318885885013
1,MTL,0.675,alexnet conv1,0.032911269399920055
1,MTL,0.675,alexnet conv4,-0.010261778890869336
1,MTL,0.675,resnet50 avgpool,0.01409085614135311
1,MTL,0.675,clip ln_post,-0.026786787160056388
1,MTL,0.675,category,-0.009844760880387896
1,MTL,0.675,low-level,0.023285361867434903
1,MTL,0.7,alexnet conv1,0.048203232531086236
