region,t,predictor,n_cells,r_mean,r_sem,r_debiased_mean,r_debiased_sem,p_debiased_vs0
MFC,0.8,alexnet conv1,29,-0.15683350644994268,0.030318426967069313,0.03128229688307072,0.0384961765906695,0.423298560281704
MFC,0.85,alexnet conv1,29,-0.1701764835987716,0.03169872090689485,0.017939319734241798,0.03574313723751692,0.6196650023253206
MFC,0.9,alexnet conv1,29,-0.21194103231416273,0.02876421670152575,-0.023825228981149346,0.03284605925867881,0.47425019544349534
MFC,0.95,alexnet conv1,29,-0.19799675391938992,0.03094820370767121,-0.009880950586376521,0.03342033128368303,0.7696736842269924
MFC,1.0,alexnet conv1,29,-0.16363432041866374,0.030029020517818566,0.024481482914349702,0.034354789351787665,0.48198530266222084
MFC,1.05,alexnet conv1,29,-0.1608208081258168,0.026610377577725313,0.027294995207196623,0.03443156088050271,0.43459997430664354
MFC,1.1,alexnet conv1,29,-0.15657621747712697,0.025820499026809635,0.03153958585588638,0.034992699077898155,0.3751065456357535
MFC,-0.3,category one-hot,29,-0.24666556745381538,0.021431940477924342,-0.05018065433331281,0.021381456541923412,0.02623228062804243
MFC,-0.25,category one-hot,29,-0.18802250142199622,0.03838855330562203,0.008462411698506365,0.031778628571972695,0.791965134557957
MFC,-0.2,category one-hot,29,-0.13847610511883077,0.03648223308069856,0.05800880800167179,0.024152129112639472,0.023194602474203033
MFC,-0.15,category one-hot,29,-0.17856119635603182,0.03224797199767394,0.01792371676447073,0.02988501113876272,0.5534918156817867
MFC,-0.1,category one-hot,29,-0.2306991952518386,0.021376897283768688,-0.034214282131336045,0.022059196791091158,0.13212730395639752
MFC,-0.05,category one-hot,29,-0.22710814032283463,0.025562222625028847,-0.030623227202332102,0.03164987568704887,0.34154671660014413
MFC,-0.0,category one-hot,29,-0.17011692909390133,0.037125627859654134,0.026367984026601166,0.043638865884752485,0.5505546272698977
MFC,0.05,category one-hot,29,-0.23938653799690024,0.030335676147642668,-0.04290162487639772,0.031678237689446574,0.18647218372765684
MFC,0.1,category one-hot,29,-0.2216986243227512,0.02763327216916002,-0.025213711202248662,0.035033466203726514,0.47767236303000593
MFC,0.15,category one-hot,28,-0.19627048887888693,0.03823172326635944,-0.0010178969994216708,0.04631102465424643,0.9826258760152026
MFC,0.2,category one-hot,28,-0.2040912698150588,0.028107108875126775,-0.008838677935593519,0.037192237867193445,0.8139479105514094
MFC,0.25,category one-hot,29,-0.20342057716957407,0.03648626169436704,-0.006935664049071517,0.03804119627475042,0.856645353499073
MFC,0.3,category one-hot,29,-0.16574911060293918,0.027774997957754503,0.03073580251756338,0.032787468767025395,0.35655591905659745
MFC,0.35,category one-hot,29,-0.121619642474815,0.04070149560184039,0.07486527064568754,0.04360780274454264,0.09706276495954255
MFC,0.4,category one-hot,29,-0.17857609643831276,0.03724978944531695,0.0179088166821898,0.0393654425517225,0.6526620468487434
MFC,0.45,category one-hot,29,-0.13315919945605825,0.04150856731723224,0.06332571366444432,0.04720787649319025,0.19056281269389944
MFC,0.5,category one-hot,29,-0.16765407747433028,0.035801313044907,0.028830835646172306,0.03913633200160794,0.4674467728034295
MFC,0.55,category one-hot,29,-0.1798491628725888,0.03071118149997816,0.016635750247913705,0.03549917748502811,0.6429667504433793
MFC,0.6,category one-hot,29,-0.14249183362115694,0.033384940377380094,0.053993079499345585,0.03358569322035557,0.11913770514588957
MFC,0.65,category one-hot,29,-0.1582306064852728,0.030449824200458702,0.03825430663522974,0.034635140675854645,0.27878022021298443
MFC,0.7,category one-hot,29,-0.21280936510312926,0.026197339658078744,-0.016324451982626744,0.031888779877638836,0.6127223165053511
MFC,0.75,category one-hot,29,-0.1702676635790891,0.039729877369644645,0.02621724954141344,0.04500841874783927,0.5648939612104396
MFC,0.8,category one-hot,29,-0.1519983135095905,0.03985985366851138,0.044486599610912086,0.04428327096977422,0.32369677381160844
