region,model,layer,view,n_pairs,rho,p_perm,null_sd
MTL,clip_vitb32,block2,cls,6886,0.03611627273345998,0.009950248756218905,0.012170796170753343
MFC,clip_vitb32,block2,cls,6886,0.010169573066193852,0.19402985074626866,0.009993469626113723
amygdala,clip_vitb32,block2,cls,5987,0.025850514434347282,0.024875621890547265,0.011772501654940946
hippocampus,clip_vitb32,block2,cls,6200,0.017185466507477182,0.03482587064676617,0.010058060968809181
MTL_concept,clip_vitb32,block2,cls,5681,0.05394816322847933,0.004975124378109453,0.01169453254069427
MTL,clip_vitb32,block2,gap,6886,0.026114261593540532,0.03980099502487562,0.013643152532738479
MFC,clip_vitb32,block2,gap,6886,0.005965790461599381,0.2736318407960199,0.010244570975163531
amygdala,clip_vitb32,block2,gap,5987,0.009641849979481922,0.21393034825870647,0.011656619653496323
hippocampus,clip_vitb32,block2,gap,6200,0.017478378995045372,0.07462686567164178,0.011133243618192918
MTL_concept,clip_vitb32,block2,gap,5681,0.03184166457519886,0.009950248756218905,0.011003555299372518
MTL,clip_vitb32,block5,cls,6886,0.04686215547131934,0.004975124378109453,0.011942294636192436
MFC,clip_vitb32,block5,cls,6886,0.011084594070969326,0.12437810945273632,0.009772585436504075
amygdala,clip_vitb32,block5,cls,5987,0.04124439994699593,0.004975124378109453,0.011368400712551022
hippocampus,clip_vitb32,block5,cls,6200,0.026675856995057402,0.014925373134328358,0.011163146478712907
MTL_concept,clip_vitb32,block5,cls,5681,0.06027567342425568,0.004975124378109453,0.011103140446307279
MTL,clip_vitb32,block5,gap,6886,0.08251903150235183,0.004975124378109453,0.012927107901155662
MFC,clip_vitb32,block5,gap,6886,0.017692238494789615,0.04975124378109453,0.010506667088566438
amygdala,clip_vitb32,block5,gap,5987,0.07234435274535429,0.004975124378109453,0.012044876808834187
hippocampus,clip_vitb32,block5,gap,6200,0.022591324273198952,0.024875621890547265,0.010820795325514374
MTL_concept,clip_vitb32,block5,gap,5681,0.08997580364880292,0.004975124378109453,0.011722456507989514
MTL,clip_vitb32,block8,cls,6886,0.08898630737152645,0.004975124378109453,0.012642410439910202
MFC,clip_vitb32,block8,cls,6886,0.024216149901497973,0.014925373134328358,0.009853040611581107
amygdala,clip_vitb32,block8,cls,5987,0.09845017326571817,0.004975124378109453,0.01112535468549434
hippocampus,clip_vitb32,block8,cls,6200,0.027089053189829085,0.009950248756218905,0.010091593069370911
MTL_concept,clip_vitb32,block8,cls,5681,0.12013751494609533,0.004975124378109453,0.011679271768462814
MTL,clip_vitb32,block8,gap,6886,0.09291613667137366,0.004975124378109453,0.012348990768151295
MFC,clip_vitb32,block8,gap,6886,0.019903539158325184,0.024875621890547265,0.008747439706808446
amygdala,clip_vitb32,block8,gap,5987,0.0731843125379855,0.004975124378109453,0.010812921255685275
hippocampus,clip_vitb32,block8,gap,6200,0.030995524156339202,0.004975124378109453,0.010399830400479352
MTL_concept,clip_vitb32,block8,gap,5681,0.08784190765744553,0.004975124378109453,0.010817321502156156
MTL,clip_vitb32,block11,cls,6886,0.12926358778401986,0.004975124378109453,0.012346348827386694
MFC,clip_vitb32,block11,cls,6886,0.017271989364090492,0.05472636815920398,0.010438590194685937
amygdala,clip_vitb32,block11,cls,5987,0.1282904895784824,0.004975124378109453,0.012222806889544984
hippocampus,clip_vitb32,block11,cls,6200,0.04045077236772705,0.004975124378109453,0.012185942228020724
MTL_concept,clip_vitb32,block11,cls,5681,0.14052273509338042,0.004975124378109453,0.014029234178210706
MTL,clip_vitb32,block11,gap,6886,0.05619316590403762,0.004975124378109453,0.012118114874213302
MFC,clip_vitb32,block11,gap,6886,0.01184587945408591,0.0945273631840796,0.007878810497113222
amygdala,clip_vitb32,block11,gap,5987,0.04901841606173458,0.004975124378109453,0.009508076698642468
hippocampus,clip_vitb32,block11,gap,6200,0.03086216316845955,0.004975124378109453,0.008897446168900399
MTL_concept,clip_vitb32,block11,gap,5681,0.05245864680886215,0.004975124378109453,0.010761939631417323
MTL,clip_vitb32,ln_post,cls,6886,0.1260881991299767,0.004975124378109453,0.012219126927261627
MFC,clip_vitb32,ln_post,cls,6886,0.01604131345243174,0.05970149253731343,0.010110862418200667
amygdala,clip_vitb32,ln_post,cls,5987,0.13093768640531894,0.004975124378109453,0.011656978904256824
hippocampus,clip_vitb32,ln_post,cls,6200,0.035394354701285144,0.009950248756218905,0.01241024609288294
MTL_concept,clip_vitb32,ln_post,cls,5681,0.13992278328914273,0.004975124378109453,0.011954336342245112
MTL,clip_vitb32,ln_post,gap,6886,0.06528534914492932,0.004975124378109453,0.013155428680612013
MFC,clip_vitb32,ln_post,gap,6886,0.01571804021861917,0.03482587064676617,0.008703324402908691
amygdala,clip_vitb32,ln_post,gap,5987,0.05955141129606544,0.004975124378109453,0.009902347026008246
hippocampus,clip_vitb32,ln_post,gap,6200,0.030411166629495584,0.004975124378109453,0.009429898250285791
MTL_concept,clip_vitb32,ln_post,gap,5681,0.061866147890756916,0.004975124378109453,0.011539271714800946
MTL,clip_vitb32,embed,gap,6886,0.10784563572078006,0.004975124378109453,0.013080252355857552
MFC,clip_vitb32,embed,gap,6886,0.00798793986907825,0.263681592039801,0.010349111185275785
amygdala,clip_vitb32,embed,gap,5987,0.11371180938558087,0.004975124378109453,0.011517161489802223
hippocampus,clip_vitb32,embed,gap,6200,0.03145380720835667,0.014925373134328358,0.011903399132477564
MTL_concept,clip_vitb32,embed,gap,5681,0.12396416955760922,0.004975124378109453,0.010560598528631993
MTL,clip_vitb32,embed,gap,6886,0.10784563572078006,0.004975124378109453,0.01208354089506261
MFC,clip_vitb32,embed,gap,6886,0.00798793986907825,0.19900497512437812,0.010840343387864751
amygdala,clip_vitb32,embed,gap,5987,0.11371180938558087,0.004975124378109453,0.010588940522330467
hippocampus,clip_vitb32,embed,gap,6200,0.03145380720835667,0.004975124378109453,0.010767595636057508
MTL_concept,clip_vitb32,embed,gap,5681,0.12396416955760922,0.004975124378109453,0.010762265220058399
MTL,baseline,category,-,6886,0.11670413024870865,0.004975124378109453,0.01201191457003278
MFC,baseline,category,-,6886,0.01101251099759218,0.20398009950248755,0.010471576831066214
amygdala,baseline,category,-,5987,0.11709414956405613,0.004975124378109453,0.011470952270153628
hippocampus,baseline,category,-,6200,0.017657222822733503,0.1044776119402985,0.012037918397373419
MTL_concept,baseline,category,-,5681,0.12896890468164665,0.004975124378109453,0.013062229454505952
MTL,baseline,lowlevel,-,6886,0.014495120326072673,0.11442786069651742,0.01250762806260538
MFC,baseline,lowlevel,-,6886,0.002256102962578894,0.32338308457711445,0.009002919649128818
amygdala,baseline,lowlevel,-,5987,0.012843222543795227,0.09950248756218906,0.010998715280687459
hippocampus,baseline,lowlevel,-,6200,0.004575207235932565,0.2835820895522388,0.009512317418680761
MTL_concept,baseline,lowlevel,-,5681,0.009304623365951049,0.22388059701492538,0.011185699954089906
