region,model,layer,view,n_pairs,rho,p_perm,null_sd
MFC,resnet50,logits,gap,6886,0.0214863261504175,0.03482587064676617,0.011203000514833824
amygdala,resnet50,logits,gap,5987,0.08783202842550654,0.004975124378109453,0.013026386539198813
hippocampus,resnet50,logits,gap,6200,0.03980703319593809,0.004975124378109453,0.010802368383667792
MTL_concept,resnet50,logits,gap,5681,0.10517930322991796,0.004975124378109453,0.01341961935031187
MTL,convnext_tiny,stage1,gap,6886,0.020943537178866822,0.04477611940298507,0.012214518133217186
MFC,convnext_tiny,stage1,gap,6886,-0.000826495075973587,0.6169154228855721,0.009144201091411062
amygdala,convnext_tiny,stage1,gap,5987,0.009843285850757623,0.1890547263681592,0.010418684296889883
hippocampus,convnext_tiny,stage1,gap,6200,0.013068984957264555,0.06467661691542288,0.008868553281675472
MTL_concept,convnext_tiny,stage1,gap,5681,0.03126750700882302,0.004975124378109453,0.011372404582102166
MTL,convnext_tiny,stage2,gap,6886,0.025290452240730846,0.04477611940298507,0.012787251145912747
MFC,convnext_tiny,stage2,gap,6886,0.006002465309161396,0.24875621890547264,0.01001944365730405
amygdala,convnext_tiny,stage2,gap,5987,0.017777782052222652,0.04975124378109453,0.010095711761888101
hippocampus,convnext_tiny,stage2,gap,6200,0.012015925769936571,0.13930348258706468,0.010653728119171514
MTL_concept,convnext_tiny,stage2,gap,5681,0.042476356833892365,0.004975124378109453,0.012259402667268476
MTL,convnext_tiny,stage3,gap,6886,0.0668485321734043,0.004975124378109453,0.012174123541093226
MFC,convnext_tiny,stage3,gap,6886,0.01985490526794903,0.01990049751243781,0.008128138967853213
amygdala,convnext_tiny,stage3,gap,5987,0.06132444804335381,0.004975124378109453,0.00998730983072923
hippocampus,convnext_tiny,stage3,gap,6200,0.019155655727570352,0.024875621890547265,0.009233000157048777
MTL_concept,convnext_tiny,stage3,gap,5681,0.06459763318539866,0.004975124378109453,0.010454154282189392
MTL,convnext_tiny,stage4,gap,6886,0.0806808778859297,0.004975124378109453,0.013568009537930038
MFC,convnext_tiny,stage4,gap,6886,-0.0037493642997403873,0.6417910447761194,0.00832607030026333
amygdala,convnext_tiny,stage4,gap,5987,0.06159432511315531,0.004975124378109453,0.009551280473245086
hippocampus,convnext_tiny,stage4,gap,6200,0.03992621278607359,0.004975124378109453,0.009195975117573465
MTL_concept,convnext_tiny,stage4,gap,5681,0.07648679640071356,0.004975124378109453,0.012055144677588907
MTL,convnext_tiny,avgpool,gap,6886,0.0806808778859297,0.004975124378109453,0.013393924903895578
MFC,convnext_tiny,avgpool,gap,6886,-0.0037493642997403873,0.6766169154228856,0.009542277104581477
amygdala,convnext_tiny,avgpool,gap,5987,0.06159432511315531,0.004975124378109453,0.009668324266125421
