subject,unit,area,region,model,layer,r_obs,null_mean,null_sd,r_debiased,p_cell
4,41,amygdala,MTL,alexnet,fc7,0.280824972421551,-0.019490559507621928,0.13206084830422493,0.30031553192917293,0.06451612903225806
4,41,amygdala,MTL,alexnet,logits,0.44691720645515554,-0.10077520280199256,0.15992515808906904,0.5476924092571481,0.03225806451612903
4,41,amygdala,MTL,vgg16,conv3_3,0.46190805947400626,-0.1990747460396661,0.17804247261196035,0.6609828055136724,0.03225806451612903
4,41,amygdala,MTL,vgg16,conv5_3,0.5051936952708519,-0.15189438469587419,0.1643985709991402,0.657088079966726,0.03225806451612903
4,41,amygdala,MTL,vgg16,fc6,0.41075575584579815,-0.1560659983272256,0.14555905964914467,0.5668217541730237,0.03225806451612903
4,41,amygdala,MTL,resnet18,layer2,0.45044850811033676,-0.1669081670221918,0.19054128533478545,0.6173566751325286,0.03225806451612903
4,41,amygdala,MTL,resnet18,layer4,0.35379703420564296,-0.18195948162497105,0.19005651949663505,0.535756515830614,0.06451612903225806
4,41,amygdala,MTL,resnet18,logits,0.4583395642275728,-0.15722819466170668,0.16445336104314137,0.6155677588892795,0.03225806451612903
4,41,amygdala,MTL,convnext_tiny,stage2,0.4023409288889695,-0.22894691900380876,0.12530056002931558,0.6312878478927783,0.03225806451612903
4,41,amygdala,MTL,convnext_tiny,stage4,0.4729221922412221,-0.1479931767659152,0.1908434554074695,0.6209153690071373,0.03225806451612903
4,41,amygdala,MTL,convnext_tiny,logits,0.4712580451714775,-0.18099198084452872,0.1701543419431908,0.6522500260160062,0.03225806451612903
4,41,amygdala,MTL,vit_b_16,block2,0.3646215936680193,-0.14940004891490927,0.15397945761950485,0.5140216425829285,0.03225806451612903
4,41,amygdala,MTL,vit_b_16,block8,0.46320490564717065,-0.22441993283327252,0.15117936565579626,0.6876248384804432,0.03225806451612903
4,41,amygdala,MTL,vit_b_16,ln,0.5378974930120581,-0.18764456871311627,0.16759233840985915,0.7255420617251744,0.03225806451612903
4,41,amygdala,MTL,dinov2_small,block2,0.506688395072307,-0.150626902828372,0.18427240978433482,0.657315297900679,0.03225806451612903
4,41,amygdala,MTL,dinov2_small,block5,0.4667863672099427,-0.23884759988229107,0.1719731090319957,0.7056339670922338,0.03225806451612903
4,41,amygdala,MTL,dinov2_small,norm,0.4107973357361556,-0.21094199045576975,0.14374237582621557,0.6217393261919254,0.03225806451612903
4,41,amygdala,MTL,clip_vitb32,embed,0.47939159124024405,-0.2580962240693709,0.10663102883645147,0.7374878153096149,0.03225806451612903
4,41,amygdala,MTL,clip_rn50,layer2,0.4899055225404069,-0.19102809428724124,0.1444120202368916,0.6809336168276482,0.03225806451612903
4,41,amygdala,MTL,clip_rn50,layer4,0.5723251111085204,-0.13173662284339363,0.13557758590274246,0.704061733951914,0.03225806451612903
4,41,amygdala,MTL,clip_rn50,attnpool,0.43724793071526113,-0.13428317291265715,0.13115511939897243,0.5715311036279183,0.03225806451612903
4,41,amygdala,MTL,facenet_vggface2,embed,0.4166803912085707,-0.15536137393482327,0.17181057965742016,0.572041765143394,0.03225806451612903
4,43,amygdala,MTL,alexnet,conv2,-0.024820192566671707,-0.18925380976668574,0.17360224688301198,0.16443361720001404,0.12903225806451613
