task,area,attribute,n_cells,mean_pref,mean_shown,auc,p,q
sternberg,MTL,child,111,0.11111988875585584,0.11758643551,0.48598598598598597,0.7335738644068799,0.8711028505530629
sternberg,MTL,smiling,111,0.28834650778378373,0.33605639580333335,0.4645645645645646,0.3883968846926702,0.803916964375848
sternberg,MTL,emotional,111,0.47496469060360347,0.4099753586111112,0.5751751751751751,0.06707142912974305,0.33535714564871527
sternberg,MTL,single_object,111,0.8724058011261262,0.8765049060555554,0.5071071071071072,0.8634236451583914,0.8711028505530629
sternberg,MTL,natural,111,0.4003134804234235,0.39720683091111114,0.5133133133133133,0.7464713841123167,0.8711028505530629
sternberg,MTL,indoor,111,0.4451314817927928,0.4176418318888889,0.5344344344344344,0.40195848218792407,0.803916964375848
sternberg,MTL,text_present,111,0.5111522301261261,0.5804667688777777,0.4339339339339339,0.10758177315837786,0.35860591052792623
sternberg,MTL,colorful,111,0.47882337670270264,0.48044056557777787,0.4932932932932933,0.8711028505530629,0.8711028505530629
sternberg,MFC,famous,30,0.5188800513333334,0.48792113710000007,0.5222222222222223,0.7351462057094831,0.9189327571368539
sternberg,MFC,face_visible,30,0.7904692976666666,0.7581991340833334,0.49333333333333335,0.9215440888097595,0.9215440888097595
sternberg,MFC,child,30,0.1562222162333333,0.13107972019999997,0.4577777777777778,0.5178902023728902,0.891099979786624
sternberg,MFC,smiling,30,0.1861333707333333,0.34041413275000004,0.32055555555555554,0.0057453543748809885,0.057453543748809885
sternberg,MFC,emotional,30,0.5498422136,0.44126108345,0.6266666666666667,0.05137103079268984,0.2568551539634492
sternberg,MFC,single_object,30,0.7725816393333335,0.86487695925,0.47,0.6468177592443342,0.9189327571368539
sternberg,MFC,natural,30,0.2391434370666667,0.33185809855,0.4033333333333333,0.1373061842841614,0.4576872809472046
sternberg,MFC,indoor,30,0.44845343680000005,0.41083204836666665,0.5405555555555556,0.5346599878719744,0.891099979786624
sternberg,MFC,text_present,30,0.579936691,0.5700013574833332,0.5072222222222222,0.9147468161149941,0.9215440888097595
sternberg,MFC,colorful,30,0.5025020080666666,0.4448711572,0.5505555555555556,0.4383013758625124,0.891099979786624
sternberg,amygdala,famous,78,0.6374048416666667,0.5726409115000001,0.5646367521367521,0.19416325256143518,0.6472108418714506
sternberg,amygdala,face_visible,78,0.8298678864102563,0.8177619069999998,0.5013888888888889,0.9794206463834052,0.9862795856786072
sternberg,amygdala,child,78,0.11376719070512817,0.11933880703333336,0.4877136752136752,0.8064139039319126,0.9862795856786072
sternberg,amygdala,smiling,78,0.25880629982051284,0.31894063205500006,0.4550213675213675,0.36661403911859947,0.9165350977964987
sternberg,amygdala,emotional,78,0.4779493606666665,0.40457290776666677,0.5855769230769231,0.0854899558176185,0.5161415398170381
sternberg,amygdala,single_object,78,0.8917385722435899,0.8724868829166665,0.5298076923076923,0.5501134855511415,0.9168558092519025
sternberg,amygdala,natural,78,0.4146908377948718,0.40661095048333334,0.5178418803418804,0.721215808978258,0.9862795856786072
sternberg,amygdala,indoor,78,0.44764176344871803,0.4473309875,0.49903846153846154,0.9862795856786072,0.9862795856786072
sternberg,amygdala,text_present,78,0.474878707102564,0.5650397798166666,0.4189102564102564,0.10322830796340762,0.5161415398170381
sternberg,amygdala,colorful,78,0.43004082915384617,0.4630200728666667,0.4635683760683761,0.4648612714084662,0.9168558092519025
sternberg,hippocampus,famous,33,0.5562860553333333,0.5080586076666667,0.5376262626262627,0.5521977191395351,0.9203295318992252
sternberg,hippocampus,face_visible,33,0.7724139912121212,0.7604957404166666,0.49267676767676766,0.9104528796468743,0.929584845372246
sternberg,hippocampus,child,33,0.1048626296030303,0.10946281489833336,0.42803030303030304,0.25397814946764385,0.7537468093356983
sternberg,hippocampus,smiling,33,0.35816881751515156,0.37004763468333335,0.49318181818181817,0.9168249892155322,0.929584845372246
sternberg,hippocampus,emotional,33,0.4679100159090909,0.4092656446500001,0.5613636363636364,0.33103115397324157,0.7537468093356983
sternberg,hippocampus,single_object,33,0.8267101603030304,0.8598741230833332,0.41994949494949496,0.2043433392188867,0.7537468093356983
sternberg,hippocampus,natural,33,0.36633063572727276,0.39754513739999997,0.472979797979798,0.6702760740368382,0.929584845372246
sternberg,hippocampus,indoor,33,0.43919808878787875,0.3952669091166666,0.5558080808080809,0.37687340466784913,0.7537468093356983
sternberg,hippocampus,text_present,33,0.5968896481818182,0.5867168244,0.5058080808080808,0.929584845372246,0.929584845372246
sternberg,hippocampus,colorful,33,0.59412758,0.5052789241666666,0.5845959595959596,0.17973400928918015,0.7537468093356983
