criterion,unit_of_inference,layer,supervised,clip
similarity tuning (MTL concept cells),14-17,layer1,-0.014769104980199278,-0.06125505290243886
similarity tuning (MTL concept cells),14-18,layer1,0.020157210063193858,0.0010861654545330022
similarity tuning (MTL concept cells),14-19,layer1,-0.11675024950040255,-0.026702563083370687
similarity tuning (MTL concept cells),14-45,layer1,-0.09248951928489182,-0.06013606237325242
similarity tuning (MTL concept cells),14-46,layer1,0.04311614540947376,0.051079167563674754
similarity tuning (MTL concept cells),14-47,layer1,0.18896702954022154,0.09491892267227718
similarity tuning (MTL concept cells),14-48,layer1,-0.02157013924455984,-0.013708125875047375
similarity tuning (MTL concept cells),14-49,layer1,0.1846581903745696,0.3414310778334819
similarity tuning (MTL concept cells),14-50,layer1,0.20806409827863015,0.29367064600332893
similarity tuning (MTL concept cells),14-51,layer1,0.007594599908197171,-0.054070523598892146
similarity tuning (MTL concept cells),14-52,layer1,-0.0511388651956962,-0.12019687090675184
similarity tuning (MTL concept cells),14-53,layer1,0.4689315045690101,0.4638678303228314
similarity tuning (MTL concept cells),14-55,layer1,0.40239672843050706,0.39342853491350455
similarity tuning (MTL concept cells),14-56,layer1,0.3337159089141458,0.37608164040145686
similarity tuning (MTL concept cells),14-59,layer1,0.3135863972056588,0.2668536005173778
similarity tuning (MTL concept cells),14-60,layer1,0.5609488522996221,0.5645533021401825
similarity tuning (MTL concept cells),14-61,layer1,-0.22140235141631356,-0.06384090492269028
similarity tuning (MTL concept cells),14-62,layer1,0.10754037722818277,0.09120416825216349
similarity tuning (MTL concept cells),14-63,layer1,0.08707907998392383,0.0460318734728102
similarity tuning (MTL concept cells),14-68,layer1,-0.13193326976186615,-0.1524870844195042
similarity tuning (MTL concept cells),14-69,layer1,0.22452521804471906,0.19966481770871763
similarity tuning (MTL concept cells),15-2,layer1,0.09405992030848538,0.11447034130578243
similarity tuning (MTL concept cells),15-8,layer1,0.060884909733371365,-0.07618249783945673
similarity tuning (MTL concept cells),16-7,layer1,0.17132212806186342,0.1332137243343696
similarity tuning (MTL concept cells),16-9,layer1,0.2115801282825914,0.1106739244087878
similarity tuning (MTL concept cells),16-13,layer1,0.20771903403926265,0.08113422364824985
similarity tuning (MTL concept cells),16-20,layer1,0.009691183272122733,0.017800960068878158
similarity tuning (MTL concept cells),16-21,layer1,0.11338916148265643,0.22726306466028678
similarity tuning (MTL concept cells),16-24,layer1,0.3327280817817361,0.3957050057782792
similarity tuning (MTL concept cells),16-30,layer1,0.10303767401624876,0.03786225640438347
similarity tuning (MTL concept cells),18-5,layer1,0.13658954225836586,0.1537861580642004
similarity tuning (MTL concept cells),18-13,layer1,-0.012839609609180864,-0.07060493573821187
similarity tuning (MTL concept cells),18-14,layer1,0.1283916800757589,-0.0492778043679526
similarity tuning (MTL concept cells),18-16,layer1,-0.01798866840172309,-0.08476711548846151
similarity tuning (MTL concept cells),18-17,layer1,0.12986113490168338,0.09741490730053887
similarity tuning (MTL concept cells),18-18,layer1,-0.04177347133983542,-0.08150547798377174
similarity tuning (MTL concept cells),18-19,layer1,-0.16361349107995524,-0.13395492354551702
similarity tuning (MTL concept cells),18-20,layer1,-0.03236763367821107,-0.06555730249745607
similarity tuning (MTL concept cells),18-22,layer1,-0.17587794199679424,-0.11591311592293481
similarity tuning (MTL concept cells),18-23,layer1,-0.007933412159777801,-0.07101559234286536
similarity tuning (MTL concept cells),18-24,layer1,-0.09298131431016944,-0.11754725449470954
similarity tuning (MTL concept cells),18-28,layer1,-0.012456440339650182,-0.039262086080827575
similarity tuning (MTL concept cells),18-29,layer1,0.001111143614535389,-0.09346232994080624
similarity tuning (MTL concept cells),18-30,layer1,0.017053207667692204,-0.06122717933701538
similarity tuning (MTL concept cells),18-37,layer1,0.0536928360054032,0.2232972385857978
similarity tuning (MTL concept cells),21-0,layer1,-0.19564779155565282,-0.12814000873461473
similarity tuning (MTL concept cells),21-2,layer1,0.2642702608976209,0.28502864997115007
similarity tuning (MTL concept cells),21-4,layer1,-0.27129684217856276,-0.27382264836214487
similarity tuning (MTL concept cells),21-14,layer1,0.04281739549571628,-0.025382616304472937
similarity tuning (MTL concept cells),1-34,layer2,-0.1532566435012641,-0.15774490979662856
similarity tuning (MTL concept cells),1-36,layer2,0.31910741962267364,0.2540092032372464
similarity tuning (MTL concept cells),1-38,layer2,0.050325416889996345,-0.002756517809552563
similarity tuning (MTL concept cells),2-0,layer2,-0.0073181336285706436,-0.08704996714824242
similarity tuning (MTL concept cells),3-39,layer2,-0.05446937991788777,-0.1335182571803377
similarity tuning (MTL concept cells),4-8,layer2,0.1354409974116519,0.22382177202116782
similarity tuning (MTL concept cells),4-13,layer2,-0.25673123250313645,-0.31492567731016974
similarity tuning (MTL concept cells),4-15,layer2,0.18906464123765973,0.1021430272085039
similarity tuning (MTL concept cells),4-25,layer2,0.18136243916517722,0.1865773335820673
similarity tuning (MTL concept cells),4-33,layer2,0.17861514777901724,0.1438347182693455
similarity tuning (MTL concept cells),4-39,layer2,0.2083342438437377,0.2284399168730623
similarity tuning (MTL concept cells),4-40,layer2,-0.09650893422536967,-0.05207735511584088
similarity tuning (MTL concept cells),4-41,layer2,0.481990740208675,0.5665859610238403
similarity tuning (MTL concept cells),4-43,layer2,0.3113190426836773,0.283516375049242
similarity tuning (MTL concept cells),4-44,layer2,0.11496801462838314,0.21273113136211563
similarity tuning (MTL concept cells),4-45,layer2,0.1214301914303157,0.11263886535391278
similarity tuning (MTL concept cells),4-46,layer2,0.04740481473237788,0.11357723141382012
similarity tuning (MTL concept cells),5-5,layer2,0.08994570439004833,0.08224833069785845
similarity tuning (MTL concept cells),5-6,layer2,0.003228146176546499,-0.08869715923177761
similarity tuning (MTL concept cells),7-17,layer2,0.2227736913689746,0.186765361982244
