subject,region,n_face_images,space,rho
18,MTL,40,dinov2 norm,0.021123688186914787
18,MTL,40,alexnet conv1,-0.027754028321747864
18,MTL_concept,40,vggface2 identity,-0.021492600946216092
18,MTL_concept,40,clip ln_post,-0.01575651201571034
18,MTL_concept,40,resnet50 avgpool,-0.03942835085325457
18,MTL_concept,40,dinov2 norm,-0.018196838688982826
18,MTL_concept,40,alexnet conv1,-0.05049257275115635
20,MTL,20,vggface2 identity,0.02561020445637071
20,MTL,20,clip ln_post,0.06258220194241156
20,MTL,20,resnet50 avgpool,0.032135292433890995
20,MTL,20,dinov2 norm,-0.03196636661502294
20,MTL,20,alexnet conv1,-0.10453182187354401
21,MTL,25,vggface2 identity,-0.04279469771886354
21,MTL,25,clip ln_post,-0.02499805553395038
21,MTL,25,resnet50 avgpool,-0.05679307547861643
21,MTL,25,dinov2 norm,-0.05307392304358937
21,MTL,25,alexnet conv1,0.06454560606228958
21,MTL_concept,25,vggface2 identity,0.043990711007900085
21,MTL_concept,25,clip ln_post,-0.007351637240413782
21,MTL_concept,25,resnet50 avgpool,-0.029961221791353236
21,MTL_concept,25,dinov2 norm,0.021945132723696928
21,MTL_concept,25,alexnet conv1,0.009884109823442483
