analysis,group,text_variant,text_centering,image_space,n,rho_text_mean,rho_text_sem,rho_text_frac_pos,rho_text_p_wilcoxon,rho_text_p_t,rho_img_mean,rho_img_sem,rho_img_frac_pos,rho_img_p_wilcoxon,rho_img_p_t,rho_text_given_img_mean,rho_text_given_img_sem,rho_text_given_img_frac_pos,rho_text_given_img_p_wilcoxon,rho_text_given_img_p_t,rho_img_given_text_mean,rho_img_given_text_sem,rho_img_given_text_frac_pos,rho_img_given_text_p_wilcoxon,rho_img_given_text_p_t,text_minus_img_mean,text_minus_img_p_wilcoxon,rho_text_img_mean,rho_text_null_mean,text_vs_null_p_wilcoxon,region,pref_desc_type
cell,MTL non-concept,identity+fine,centred,clip_ln_post,256,0.01393896603395084,0.00871957873449942,0.53515625,0.1872174987999099,0.11115170762468309,0.018652131420008936,0.009312457886112374,0.55078125,0.05072150923627185,0.0462440528074554,0.0071001909822055705,0.008543831639413219,0.51171875,0.3119847631057536,0.4067334222026162,0.006060003048973708,0.009192997036477914,0.54296875,0.27371440407482606,0.5103636244176837,-0.004713165386058095,0.7633816646123993,0.6426388973486215,-0.00680304432393918,0.34193362834917085,,
cell,MTL non-concept,identity+fine,centred,resnet50_avgpool,256,0.01393896603395084,0.00871957873449942,0.53515625,0.1872174987999099,0.11115170762468309,0.024154942201435943,0.009130298139528932,0.54296875,0.020627011711542086,0.008661761936081404,-0.0017271829672455357,0.008417468170063709,0.5078125,0.8813511283254982,0.8375871323039046,0.0175206904101067,0.008891596566254616,0.5546875,0.05062183224772866,0.049865424135170124,-0.0102159761674851,0.23744217005994628,0.604794571654934,-0.00680304432393918,0.34193362834917085,,
cell,MTL non-concept,identity+fine,raw,clip_embed,256,-0.0030481882270155525,0.009365390367888755,0.47265625,0.6247782963457957,0.7450894870305713,0.020980692643686447,0.009384566132896677,0.5625,0.02804282900420367,0.026239922048931698,-0.008105701864038292,0.00903409816708062,0.484375,0.30596989288108034,0.37044026227545024,0.023254809311178383,0.009033256300013075,0.56640625,0.008641894510818473,0.010607835659291133,-0.024028880870701996,0.037573817627071834,0.35348040105881706,-0.019184214438870337,0.27334495923833735,,
cell,MTL non-concept,identity+fine,raw,clip_ln_post,256,-0.0030481882270155525,0.009365390367888755,0.47265625,0.6247782963457957,0.7450894870305713,0.018652131420008936,0.009312457886112374,0.55078125,0.05072150923627185,0.0462440528074554,-0.0064083129551279995,0.009088173312947543,0.47265625,0.417242756209783,0.4813750105628093,0.021252772175951874,0.009009073891674097,0.578125,0.011974042089465961,0.019076902063051758,-0.02170031964702449,0.07247237738146994,0.34589038347191486,-0.019184214438870337,0.27334495923833735,,
cell,MTL non-concept,identity+fine,raw,resnet50_avgpool,256,-0.0030481882270155525,0.009365390367888755,0.47265625,0.6247782963457957,0.7450894870305713,0.024154942201435943,0.009130298139528932,0.54296875,0.020627011711542086,0.008661761936081404,-0.011229439671864475,0.008917279254874273,0.46484375,0.17112200012580825,0.20907711146400598,0.025904335037435236,0.008684396999734783,0.58203125,0.004001556020424942,0.003132463745985309,-0.027203130428451492,0.014501105869633633,0.3058541793700855,-0.019184214438870337,0.27334495923833735,,
rsa,,fine-only,centred,clip_embed,19,0.012954048355314161,0.00804591114841051,0.47368421052631576,0.4653167724609375,0.12479125246040391,0.013788026246126522,0.00822665042976566,0.5789473684210527,0.24125289916992188,0.1110169308044252,0.00676023186604434,0.006477458889346464,0.42105263157894735,0.6794281005859375,0.31045977623536253,0.008358347377436513,0.006699366990020603,0.5789473684210527,0.3320655822753906,0.22815378031658443,-0.0008339778908123607,0.70855712890625,0.46280437896558174,,,MFC,
rsa,,fine-only,centred,clip_ln_post,19,0.012954048355314161,0.00804591114841051,0.47368421052631576,0.4653167724609375,0.12479125246040391,0.016139278372440724,0.008102201566988546,0.631578947368421,0.14468765258789062,0.06176801537088591,0.004341966269939335,0.006154998529442004,0.3684210526315789,0.9843215942382812,0.4895674954494278,0.009862355100252239,0.006299483408948173,0.5789473684210527,0.312408447265625,0.13485751109141403,-0.0031852300171265656,0.4180412292480469,0.5307186961563011,,,MFC,
rsa,,fine-only,centred,resnet50_avgpool,19,0.012954048355314161,0.00804591114841051,0.47368421052631576,0.4653167724609375,0.12479125246040391,0.01298729061770928,0.007370474890175259,0.5789473684210527,0.104156494140625,0.09503110440531148,0.006631716459511234,0.006522815844132376,0.47368421052631576,0.6507492065429688,0.3227702594220426,0.005930560014533446,0.005716373248328761,0.47368421052631576,0.48996734619140625,0.31325432578813184,-3.324226239512001e-05,0.9843215942382812,0.5074384442366986,,,MFC,
rsa,,fine-only,raw,clip_embed,19,0.00708502047766113,0.00448921480229285,0.631578947368421,0.24125289916992188,0.13192462245069927,0.013788026246126522,0.00822665042976566,0.5789473684210527,0.24125289916992188,0.1110169308044252,0.003495330678659928,0.0034257140097391833,0.5789473684210527,0.4653167724609375,0.32109447081001996,0.012363558728090111,0.007698383879172591,0.5263157894736842,0.25792694091796875,0.12567555935876915,-0.0067030057684653935,0.3524589538574219,0.18083886855782463,,,MFC,
rsa,,fine-only,raw,clip_ln_post,19,0.00708502047766113,0.00448921480229285,0.631578947368421,0.24125289916992188,0.13192462245069927,0.016139278372440724,0.008102201566988546,0.631578947368421,0.14468765258789062,0.06176801537088591,0.0010760519123845342,0.003187880510546907,0.5263157894736842,0.9217147827148438,0.7396108083244978,0.014282916184405242,0.007491256118070577,0.631578947368421,0.14468765258789062,0.07266302939845418,-0.009054257894779595,0.21011734008789062,0.24145712905182323,,,MFC,
rsa,,fine-only,raw,resnet50_avgpool,19,0.00708502047766113,0.00448921480229285,0.631578947368421,0.24125289916992188,0.13192462245069927,0.01298729061770928,0.007370474890175259,0.5789473684210527,0.104156494140625,0.09503110440531148,-1.1758567130797467e-05,0.0025602664193519584,0.5263157894736842,0.9843215942382812,0.9963860768217605,0.010172290870824646,0.006449659780561218,0.5789473684210527,0.1956329345703125,0.1321657791663689,-0.005902270140048153,0.2934989929199219,0.4255311716947577,,,MFC,
rsa,,identity+fine,centred,clip_embed,19,0.012663724211781672,0.007961324409941392,0.42105263157894735,0.3954620361328125,0.1290965152484061,0.013788026246126522,0.00822665042976566,0.5789473684210527,0.24125289916992188,0.1110169308044252,0.005331196694601474,0.005774365299074596,0.5789473684210527,0.70855712890625,0.36808698609890356,0.007536573717882099,0.006147563562299475,0.5263157894736842,0.4180412292480469,0.23601735677470229,-0.0011243020343448507,0.9529838562011719,0.5011583379086701,,,MFC,
rsa,,identity+fine,centred,clip_ln_post,19,0.012663724211781672,0.007961324409941392,0.42105263157894735,0.3954620361328125,0.1290965152484061,0.016139278372440724,0.008102201566988546,0.631578947368421,0.14468765258789062,0.06176801537088591,0.0031062674801752076,0.005626975450012756,0.5789473684210527,0.7380905151367188,0.5877160819937288,0.008520288635662194,0.00600602738953763,0.47368421052631576,0.312408447265625,0.17309200063125765,-0.0034755541606590547,0.5677604675292969,0.5686646468811494,,,MFC,
rsa,,identity+fine,centred,resnet50_avgpool,19,0.012663724211781672,0.007961324409941392,0.42105263157894735,0.3954620361328125,0.1290965152484061,0.01298729061770928,0.007370474890175259,0.5789473684210527,0.104156494140625,0.09503110440531148,0.0056976150042968125,0.005664010192808475,0.5789473684210527,0.37359619140625,0.32777991120442973,0.004688753290979886,0.004905900269859271,0.5789473684210527,0.3524589538574219,0.35186564355847294,-0.0003235664059276095,0.9217147827148438,0.5324485700776843,,,MFC,
rsa,,identity+fine,raw,clip_embed,19,0.007333966964775657,0.005501802159205387,0.5263157894736842,0.312408447265625,0.19915538738401253,0.013788026246126522,0.00822665042976566,0.5789473684210527,0.24125289916992188,0.1110169308044252,0.0021505671044561975,0.0036747124589291595,0.631578947368421,0.5677604675292969,0.5656555955907436,0.0115623738072088,0.007168106331140418,0.5263157894736842,0.2934989929199219,0.12413204537806813,-0.0064540592813508635,0.312408447265625,0.31567510726146375,,,MFC,
rsa,,identity+fine,raw,clip_ln_post,19,0.007333966964775657,0.005501802159205387,0.5263157894736842,0.312408447265625,0.19915538738401253,0.016139278372440724,0.008102201566988546,0.631578947368421,0.14468765258789062,0.06176801537088591,0.002048012314601725,0.003701595714451599,0.5263157894736842,0.6225624084472656,0.586879947402134,0.013776751194116041,0.007093547572110413,0.5789473684210527,0.104156494140625,0.06793374964149064,-0.008805311407665065,0.104156494140625,0.2936763435718288,,,MFC,
rsa,,identity+fine,raw,resnet50_avgpool,19,0.007333966964775657,0.005501802159205387,0.5263157894736842,0.312408447265625,0.19915538738401253,0.01298729061770928,0.007370474890175259,0.5789473684210527,0.104156494140625,0.09503110440531148,0.005349468936506045,0.004867983118673444,0.5263157894736842,0.4653167724609375,0.2862895792114666,0.01157917024297598,0.006949179851798487,0.5263157894736842,0.18186569213867188,0.1129671411978288,-0.005653323652933624,0.24125289916992188,0.09605847366814368,,,MFC,
rsa,,fine-only,centred,clip_embed,19,0.04837284325121718,0.022314587078601025,0.631578947368421,0.025821685791015625,0.04382823472667189,0.04953324803455034,0.01878563811255006,0.7368421052631579,0.000965118408203125,0.016750719276575916,0.029660673943589965,0.01668537863731174,0.5263157894736842,0.14468765258789062,0.09236165545267784,0.031516647392196444,0.011035177350078019,0.7368421052631579,0.00141143798828125,0.010494975678230772,-0.0011604047833331573,0.5412178039550781,0.47324194509751544,,,MTL,
rsa,,fine-only,centred,clip_ln_post,19,0.04837284325121718,0.022314587078601025,0.631578947368421,0.025821685791015625,0.04382823472667189,0.059772264845666175,0.021666299453387793,0.7894736842105263,0.000644683837890625,0.012928157646762287,0.019570220902229953,0.014126847070891726,0.5789473684210527,0.2934989929199219,0.18288286354444688,0.040933835293626306,0.012824494602699675,0.7368421052631579,0.000965118408203125,0.00505220695574889,-0.011399421594449012,0.104156494140625,0.5457577380775097,,,MTL,
