subject,session,task,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region,hemisphere,category,attr_famous,attr_face_visible,attr_child,attr_smiling,attr_emotional,attr_single_object,attr_natural,attr_indoor,attr_text_present,attr_colorful
8,2,sternberg,49,216,5,1.0763888888888888,4.422985319230692,0.0039960039960039,img_0209,2.2626188590070857,0.0019980019980019,True,0.3940446127946128,0.8834972557516139,1.569767441860465,0.9512090380549684,0.7638888888888888,hippocampus,MTL,R,animal,0.2923758,0.8822043,0.03981361,0.14316218,0.7168884,0.7686433,0.9214245,0.17070392,0.37872246,0.7026648
8,2,sternberg,52,216,5,8.668981481481481,3.0817733748442953,0.0259740259740259,img_0211,2.273326269610297,0.0099900099900099,True,0.2049274255156608,0.9804791457984936,10.377906976744184,8.251189217758986,9.60648148148148,hippocampus,MTL,R,animal,0.5555096,0.3455067,0.0034476959,0.51863474,0.19031838,0.9319155,0.71238774,0.10609218,0.2790968,0.99880457
8,2,sternberg,53,216,5,2.2453703703703702,4.23518197639082,0.0039960039960039,img_0209,3.122148110927695,0.0009990009990009,True,0.4098814229249011,0.9288273908206406,3.3430232558139537,1.972780126849894,1.898148148148148,hippocampus,MTL,R,animal,0.2923758,0.8822043,0.03981361,0.14316218,0.7168884,0.7686433,0.9214245,0.17070392,0.37872246,0.7026648
8,2,sternberg,57,216,5,3.8368055555555554,2.6375922100579343,0.0329670329670329,img_0187,1.733329006242778,0.0349650349650349,True,0.2180042613636363,0.9731925108256269,4.651162790697675,3.6371894820295982,3.125,hippocampus,MTL,R,object,0.083628364,0.617455,0.038361143,0.65418226,0.036901284,0.9287521,0.09956986,0.10906546,0.9885245,0.06307276
9,1,screening,2,324,54,1.1766975308641976,1.533230835321123,0.0119880119880119,img_0009,4.7173980452634785,0.0019980019980019,True,0.7159880834160873,0.774240532667499,3.9583333333333335,1.1242138364779874,1.2037037037037035,dACC,MFC,L,face_person,0.25387508,0.9719425,0.24441828,0.088976465,0.35700864,0.98035,0.09667996,0.5863702,0.78772616,0.66142845
9,1,screening,3,324,54,0.3279320987654321,4.3903951204798926,0.0009990009990009,img_0004,3.978902833745471,0.0009990009990009,True,0.918632075471698,0.2161491054867467,3.3333333333333335,0.2712264150943396,0.1851851851851851,dACC,MFC,L,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
9,1,screening,16,324,54,1.558641975308642,1.629457670650993,0.0109890109890109,img_0021,2.02100078312546,0.0249750249750249,True,0.6874487284659557,0.7556296296296293,4.791666666666667,1.4976415094339623,1.2962962962962965,dACC,MFC,L,face_person,0.88929474,0.94761336,0.027952947,0.09510739,0.37810647,0.62931424,0.5370376,0.8750671,0.5825991,0.9102001
9,1,screening,51,324,54,0.5787037037037037,1.454844180623269,0.0479520479520479,img_0241,2.107425374695103,0.0119880119880119,True,0.7044025157232705,0.6720430107526879,1.875,0.5542452830188679,0.5555555555555556,preSMA,MFC,R,landscape_nature,0.29984623,0.4737585,0.04071477,0.25861987,0.3513332,0.7802383,0.259193,0.030151272,0.42248604,0.9723531
9,2,sternberg,0,216,5,0.5150462962962963,28.61839544838148,0.0009990009990009,img_0004,6.091749401768694,0.0009990009990009,True,0.906648919362993,0.3632385185336655,1.9047619047619049,0.1778115821657277,0.3009259259259259,amygdala,MTL,L,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
9,2,sternberg,1,216,5,0.15625,3.042795465543678,0.0149850149850149,img_0004,2.3424252145220885,0.0009990009990009,True,0.6484971045132825,0.7073888960322692,0.3273809523809524,0.1150753526891039,0.324074074074074,amygdala,MTL,L,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
9,2,sternberg,2,216,5,1.1631944444444444,2.7291415195575985,0.0249750249750249,img_0021,2.897624557829523,0.0009990009990009,True,0.4827427094868955,0.9066517697343144,1.875,0.9698574197120708,0.9953703703703703,amygdala,MTL,L,face_person,0.88929474,0.94761336,0.027952947,0.09510739,0.37810647,0.62931424,0.5370376,0.8750671,0.5825991,0.9102001
9,2,sternberg,3,216,5,2.199074074074074,2.81137740341971,0.0269730269730269,img_0015,1.8076473454978688,0.0249750249750249,True,0.2582379862700229,0.9641824905700784,2.761627906976744,2.048470677451972,2.361111111111111,amygdala,MTL,L,face_person,0.95882034,0.98460126,0.15472765,0.08937477,0.7477498,0.9485796,0.43129504,0.5526161,0.37468162,0.8069885
9,2,sternberg,6,216,5,1.244212962962963,51.80469751974395,0.0009990009990009,img_0004,7.631659040673708,0.0009990009990009,True,0.9478857831628136,0.2880749567510069,5.267857142857143,0.2745302494101786,0.324074074074074,amygdala,MTL,L,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
9,2,sternberg,9,216,5,6.799768518518518,4.253227718010225,0.0029970029970029,img_0004,2.9268629965327024,0.0009990009990009,True,0.4263760151289544,0.9252900522279426,10.327380952380953,5.924033415186095,8.125,amygdala,MTL,L,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
9,2,sternberg,11,216,5,0.2951388888888889,24.914991680575376,0.0009990009990009,img_0004,5.534605210489632,0.0009990009990009,True,0.9255334318529465,0.326737815779536,1.1607142857142858,0.0864344094564013,0.1388888888888889,amygdala,MTL,L,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
9,2,sternberg,12,216,5,0.6712962962962963,3.2623620626158427,0.0129870129870129,img_0015,2.731844149950133,0.0019980019980019,True,0.4431792040487692,0.8913717114339192,1.0465116279069768,0.5827194376233811,0.8101851851851852,amygdala,MTL,L,face_person,0.95882034,0.98460126,0.15472765,0.08937477,0.7477498,0.9485796,0.43129504,0.5526161,0.37468162,0.8069885
9,2,sternberg,16,216,5,0.8506944444444444,3.3595921834154567,0.0139860139860139,img_0004,2.7632385067880567,0.0039960039960039,True,0.4330073995771669,0.9255000956863204,1.3095238095238095,0.7424903100775194,0.925925925925926,amygdala,MTL,L,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
9,2,sternberg,23,216,5,1.2152777777777777,3.8859599542114833,0.0059940059940059,img_0245,2.3647141554897866,0.0049950049950049,True,0.4078759800427654,0.917895279761982,1.8154761904761905,1.074987060041408,1.1111111111111112,amygdala,MTL,R,landscape_nature,0.39286533,0.17478548,0.03933349,0.11438938,0.370668,0.69384015,0.68305415,0.024447642,0.18742937,0.9640498
9,2,sternberg,24,216,5,0.3935185185185185,2.4276143675740665,0.0499500499500499,img_0015,1.7657069450949594,0.0149850149850149,True,0.4854719555806512,0.8224346000114217,0.6395348837209303,0.3290586330588858,0.324074074074074,amygdala,MTL,R,face_person,0.95882034,0.98460126,0.15472765,0.08937477,0.7477498,0.9485796,0.43129504,0.5526161,0.37468162,0.8069885
9,2,sternberg,26,216,5,1.3425925925925926,74.83781662900059,0.0009990009990009,img_0015,9.823080432783929,0.0009990009990009,True,0.906685287956191,0.3612921874005488,4.912790697674419,0.4584356492849921,0.6712962962962963,amygdala,MTL,R,face_person,0.95882034,0.98460126,0.15472765,0.08937477,0.7477498,0.9485796,0.43129504,0.5526161,0.37468162,0.8069885
10,1,screening,64,378,63,1.402116402116402,1.472498551284521,0.0139860139860139,img_0236,3.439412478763085,0.0029970029970029,True,0.6561969439728351,0.7865455627307891,3.9583333333333335,1.3608870967741935,1.3756613756613756,amygdala,MTL,R,landmark_place,0.31047872,0.3860245,0.010880408,0.33948323,0.33898684,0.44060555,0.10364739,0.0942193,0.6321587,0.9378063
10,1,screening,67,378,63,1.1607142857142858,1.412427191980964,0.0359640359640359,img_0049,1.8831579373303011,0.0329670329670329,True,0.6387096774193549,0.8084214256186147,3.125,1.1290322580645165,1.1375661375661377,amygdala,MTL,R,vehicle,0.70137686,0.61826694,0.13770247,0.15930678,0.74656475,0.91667557,0.04163446,0.08255767,0.8565901,0.90204394
10,1,screening,70,378,63,0.5423280423280423,1.5951399744209285,0.0069930069930069,img_0243,3.735448520211422,0.0009990009990009,True,0.7516129032258063,0.5996076333154988,2.0833333333333335,0.5174731182795699,0.3835978835978836,amygdala,MTL,R,landmark_place,0.17427984,0.17508224,0.042715017,0.14105132,0.2832037,0.972329,0.5368517,0.04445265,0.48425815,0.57083654
10,1,screening,71,378,63,9.186507936507937,1.4104819614532638,0.0279720279720279,img_0004,2.010759785485084,0.0199800199800199,True,0.3049155145929341,0.972087001671016,13.125,9.12298387096774,9.21957671957672,amygdala,MTL,R,face_person,0.83276165,0.9158148,0.05149042,0.12266642,0.70831114,0.97049487,0.4215695,0.4815443,0.08902286,0.6009671
10,2,sternberg,15,270,5,1.476851851851852,2.423708092891988,0.0419580419580419,img_0060,1.9858459760199505,0.0159840159840159,True,0.314566022213081,0.9504819637558646,1.9675925925925928,1.3486548174048174,0.7962962962962963,preSMA,MFC,L,face_person,0.47638693,0.99489284,0.07378407,0.9753298,0.50251436,0.95590335,0.15152809,0.5818369,0.80090195,0.33272994
10,2,sternberg,17,270,5,6.013888888888889,4.254289603097498,0.0029970029970029,img_0243,2.518067947522165,0.0039960039960039,True,0.2527112866992022,0.9595995268461888,7.522727272727272,5.621649184149184,4.351851851851852,preSMA,MFC,L,landmark_place,0.17427984,0.17508224,0.042715017,0.14105132,0.2832037,0.972329,0.5368517,0.04445265,0.48425815,0.57083654
10,2,sternberg,26,270,5,0.2083333333333333,2.5260903192047657,0.0229770229770229,img_0007,1.8583995335586363,0.0089910089910089,True,0.7393436109345201,0.6499223761638167,0.5092592592592593,0.1327416796166796,0.1481481481481481,preSMA,MFC,L,face_person,0.18674015,0.92465645,0.024490573,0.0429871,0.89371467,0.73814446,0.15959463,0.8652138,0.18438053,0.32697576
11,1,screening,6,378,63,0.5423280423280423,1.397095769269433,0.0389610389610389,img_0056,1.7922719362331496,0.0159840159840159,True,0.7756598240469208,0.5473341473341478,2.2916666666666665,0.5141129032258064,0.5687830687830688,hippocampus,MTL,L,face_person,0.70835644,0.7585662,0.08045605,0.046596162,0.8931859,0.93397325,0.3896268,0.89712405,0.08865556,0.11361492
11,1,screening,11,378,63,0.8201058201058201,3.603904923599353,0.0009990009990009,img_0056,3.02018711086129,0.0009990009990009,True,0.8827956989247312,0.4200748572521379,6.25,0.7325268817204302,0.5026455026455027,hippocampus,MTL,L,face_person,0.70835644,0.7585662,0.08045605,0.046596162,0.8931859,0.93397325,0.3896268,0.89712405,0.08865556,0.11361492
11,1,screening,12,378,63,0.2843915343915344,3.226138324704604,0.0009990009990009,img_0237,3.412969445063448,0.0009990009990009,True,0.8900293255131965,0.2755794023399658,2.2916666666666665,0.252016129032258,0.3174603174603174,hippocampus,MTL,L,landmark_place,0.5232505,0.2968059,0.048346683,0.7181637,0.2286819,0.77404374,0.15830696,0.018540591,0.75695604,0.6981024
