subset,space,scope,n,rho_mean,rho_sem,rho_median,frac_pos,rho_null_mean,p_vs_zero,p_vs_null_anchor,contrast,diff_mean,p
hippocampus,resnet50 avgpool,diff,33,0.05505707899368956,0.03661050235081508,0.044686156006692186,0.5757575757575758,-0.024654790020465663,0.15472633647732437,0.05752792255952954,,,
hippocampus,resnet50 avgpool,partial,32,0.0652416321552785,0.026432113579882476,0.06805629441051672,0.625,-0.028705729764599806,0.03248823946341872,0.0006058444269001484,,,
hippocampus,resnet50 avgpool,category,32,0.0728241903925595,0.023814495342528805,0.09418110526981113,0.6875,0.0027683729316544258,0.006894533988088369,0.0023907003924250603,,,
hippocampus,alexnet conv1,all,33,0.0579760896843002,0.021306189035734186,0.07969357365098188,0.7272727272727273,0.0024102968340456526,0.004852146143093705,0.020765442168340087,,,
hippocampus,alexnet conv1,same,23,0.04610574418967131,0.050083827059319845,0.11148611611564553,0.7391304347826086,0.0028994137545284675,0.16010499000549316,0.11142587661743164,,,
hippocampus,alexnet conv1,diff,33,0.012374308572241772,0.024645014818413014,0.014018532375471406,0.5454545454545454,-0.004591724007472147,0.5021234466694295,0.6464373976923525,,,
hippocampus,alexnet conv1,partial,32,0.04359286701440729,0.019879202212009374,0.03507894580847043,0.6875,-4.722671943558059e-06,0.03581887949258089,0.09454415086656809,,,
hippocampus,alexnet conv1,category,32,0.0728241903925595,0.023814495342528805,0.09418110526981113,0.6875,0.0027683729316544258,0.006894533988088369,0.0023907003924250603,,,
contrast,clip ln_post,,110,,,,,,,,same - diff (paired),0.06444328877909022,0.043952329480848325
contrast,clip ln_post,,110,,,,,,,,same - all (paired),-0.06835567778175972,0.01767192184234271
contrast,clip ln_post,,132,,,,,,,,partial - all (paired),-0.08203873275998608,5.967545887940093e-07
contrast,clip ln_post,,110,,,,,,,,same: face - other (MW),0.0437014365341416,0.5898389134231536
contrast,clip ln_post,,110,,,,,,,,same: amygdala - hippocampus (MW),0.12055809292904218,0.026432463506340074
contrast,clip ln_post,,87,,,,,,,,same: right - left amygdala (MW),-0.013957812003638131,0.669444636333105
contrast,clip ln_post,,132,,,,,,,,partial: face - other (MW),0.06371640472343053,0.006718267919130336
contrast,clip ln_post,,132,,,,,,,,partial: amygdala - hippocampus (MW),0.028978007556127616,0.5396790829497007
contrast,clip ln_post,,100,,,,,,,,partial: right - left amygdala (MW),0.05176843165261219,0.14725703951490446
contrast,clip ln_post,,134,,,,,,,,all: face - other (MW),0.1266293503235353,0.003186763553377664
contrast,clip ln_post,,134,,,,,,,,all: amygdala - hippocampus (MW),0.12043563621157514,0.02534429193272595
contrast,clip ln_post,,101,,,,,,,,all: right - left amygdala (MW),0.2586930100436415,1.5450264522550532e-07
contrast,clip ln_post,,132,,,,,,,,category: face - other (MW),0.11695347257493197,0.016688221964066836
contrast,clip ln_post,,132,,,,,,,,category: amygdala - hippocampus (MW),0.11058855664714126,0.05424760924880746
contrast,clip ln_post,,100,,,,,,,,category: right - left amygdala (MW),0.2945367176728133,1.8709071848214479e-07
contrast,resnet50 avgpool,,110,,,,,,,,same - diff (paired),0.05825572484206329,0.03946745352149524
contrast,resnet50 avgpool,,110,,,,,,,,same - all (paired),-0.06113725684574929,0.03049043292051503
contrast,resnet50 avgpool,,132,,,,,,,,partial - all (paired),-0.07797999115039309,8.473813555219724e-07
contrast,resnet50 avgpool,,110,,,,,,,,same: face - other (MW),0.045083658143152724,0.5294060303877461
contrast,resnet50 avgpool,,110,,,,,,,,same: amygdala - hippocampus (MW),0.07515739961925251,0.1395652090347783
contrast,resnet50 avgpool,,87,,,,,,,,same: right - left amygdala (MW),0.07303684528666461,0.17384723793426327
contrast,resnet50 avgpool,,132,,,,,,,,partial: face - other (MW),0.08032332678429882,0.005072753751798687
contrast,resnet50 avgpool,,132,,,,,,,,partial: amygdala - hippocampus (MW),0.04461274344831427,0.1941908180694517
contrast,resnet50 avgpool,,100,,,,,,,,partial: right - left amygdala (MW),0.07314418183461417,0.03645371165176982
contrast,resnet50 avgpool,,134,,,,,,,,all: face - other (MW),0.1361856994989035,0.001231480767233806
contrast,resnet50 avgpool,,134,,,,,,,,all: amygdala - hippocampus (MW),0.11533883748655091,0.03934788475702024
contrast,resnet50 avgpool,,101,,,,,,,,all: right - left amygdala (MW),0.2572116489902478,8.759681384593254e-07
contrast,resnet50 avgpool,,132,,,,,,,,category: face - other (MW),0.11695347257493197,0.016688221964066836
contrast,resnet50 avgpool,,132,,,,,,,,category: amygdala - hippocampus (MW),0.11058855664714126,0.05424760924880746
contrast,resnet50 avgpool,,100,,,,,,,,category: right - left amygdala (MW),0.2945367176728133,1.8709071848214479e-07
contrast,alexnet conv1,,110,,,,,,,,same - diff (paired),-0.030704486805799017,0.45322518856283633
contrast,alexnet conv1,,110,,,,,,,,same - all (paired),-0.09157790997576738,0.0017485023553401725
contrast,alexnet conv1,,132,,,,,,,,partial - all (paired),-0.057036614863930545,3.92655146506472e-06
contrast,alexnet conv1,,110,,,,,,,,same: face - other (MW),0.11993015701048801,0.27954247325452664
contrast,alexnet conv1,,110,,,,,,,,same: amygdala - hippocampus (MW),-0.04153302375906284,0.46456088982367494
contrast,alexnet conv1,,87,,,,,,,,same: right - left amygdala (MW),-0.05878997954254481,0.3669351928448872
contrast,alexnet conv1,,132,,,,,,,,partial: face - other (MW),0.05294718073514582,0.017110828934692998
contrast,alexnet conv1,,132,,,,,,,,partial: amygdala - hippocampus (MW),-0.01587990266805464,0.7439995970511988
contrast,alexnet conv1,,100,,,,,,,,partial: right - left amygdala (MW),-0.049637358021735085,0.06548204927351053
contrast,alexnet conv1,,134,,,,,,,,all: face - other (MW),0.12004025455822319,0.00013178206771769844
