t,rho_alexnet conv1_mean,rho_alexnet conv1_sem,rho_resnet50 avgpool_mean,rho_resnet50 avgpool_sem,rho_clip ln_post_mean,rho_clip ln_post_sem,pref_minus_nonpref_mean,pref_minus_nonpref_sem
0.35,0.06912252777667031,0.01478391216278664,0.16755034873597854,0.02004926170428082,0.17078828217233588,0.01879879527796677,7.90125377373631,0.7925442041284184
0.375,0.054748549328614095,0.014570519701776597,0.1540520085011014,0.020306912636351267,0.1538884769998217,0.01865835398261189,7.776917300290998,0.7305760287130489
0.4,0.05327663236402,0.014332362030692415,0.14426436728515032,0.01940460837927263,0.1435054685462811,0.018191799478608432,7.738521331262131,0.6749026224917328
0.425,0.06222803522832232,0.013650107538801146,0.14171876553044585,0.017964513086877378,0.13466208991882142,0.017783949406333873,7.247750141562425,0.5635208683537352
0.45,0.06784653053266503,0.013069526954469213,0.13340111246462555,0.017180184142365426,0.12040812250959876,0.017633328647070828,6.863351380650006,0.48407985925857927
0.475,0.06305553463227381,0.013029950842287969,0.11896745580061027,0.016964408128756794,0.12070982803774401,0.017814107694317124,6.507579267387953,0.4589555928127613
0.5,0.05383957908764826,0.012690219614701575,0.10314827092728285,0.015786458473242962,0.10916729916218364,0.01587421934975801,5.9174267130567495,0.47549919572724314
0.525,0.044344485394479105,0.0123942289528922,0.08813264226738125,0.015061955831240858,0.09362064529989897,0.015057524584323497,5.829529316291337,0.5005673628422971
0.55,0.04039272152221071,0.011582796821331173,0.09300086529822786,0.013042199075330338,0.09634423644916995,0.014121745851197326,5.2563453275315455,0.4893366487672013
0.575,0.04244940923499575,0.011894858123208821,0.08950353988677519,0.013606003138706956,0.09065703380022576,0.014424776052085133,5.438616412762722,0.4564917234079765
0.6,0.04311239318062114,0.010963118046822193,0.08206976721620084,0.014648703732658086,0.07759650243954776,0.015042735041210174,5.41782111959981,0.4082156249879207
0.625,0.038017900781330105,0.011561670852833784,0.06754401295252752,0.015471625162351432,0.06230256793282929,0.015295058193738588,5.054126809652287,0.402317294112165
0.65,0.038494740991139184,0.012074480039089489,0.06775174557935866,0.014873483516289927,0.06119556066452821,0.014281650386836472,5.10324594313884,0.4190137619486964
0.675,0.03715855808467681,0.012041396737555606,0.08205125337348321,0.013829847809077289,0.06961490283122457,0.01481890187229445,4.706958209560838,0.40057725129605076
0.7,0.030065220641558504,0.012058072342919057,0.07771379810376981,0.013753739991194435,0.06843074288942053,0.014430715847973032,4.297218260493032,0.39332028300283023
0.725,0.036935911658811556,0.011638907582800413,0.08970965871389056,0.012873496440313156,0.0795936866383239,0.013786463529169991,3.8698208591855088,0.39830002556201904
0.75,0.018847886438580774,0.012150642608897595,0.06548699322209414,0.0133681483031117,0.05970027151146477,0.014545293691791947,3.5853030949936864,0.3608714804785066
0.775,0.016268828262484346,0.012781457918792793,0.049011274006213384,0.013763078945794654,0.05856557296023967,0.01369480493231195,3.358424705444173,0.37846790541881503
0.8,0.028557017185141132,0.01196101526553508,0.04675995410132248,0.013741613580243797,0.06678345703784982,0.013079681784004989,3.1220570912933807,0.38352319833311616
0.825,0.02501170235493157,0.01322519103661935,0.046622605246004575,0.01444592373702834,0.058989403584773156,0.013764924878631974,2.9873381116329494,0.35343460366860785
0.85,0.0330131160882453,0.01209118383950432,0.035087957285971645,0.014428294852364321,0.05034539130399914,0.014010510254893728,2.750209694073758,0.3400708648848225
0.875,0.028786534134698352,0.01167564801849651,0.030126624424032716,0.01333101296133121,0.041599618809313836,0.013971975694389079,2.5617613393773677,0.3193727856414058
0.9,0.02111378244132016,0.012195167857821576,0.042919375463789,0.01318144200772394,0.04375525725123777,0.014061262989081096,2.819374672589578,0.32852014460270107
0.925,0.019098494876390575,0.012225710281993025,0.035155088052722355,0.012880307299174425,0.043035162325046554,0.012807608935462735,2.9581588406113077,0.35036349155106233
0.95,0.010096359498274527,0.01248627861097956,0.04418581361203598,0.012470437230456663,0.039560770660476904,0.013159099957307189,2.827830567188404,0.3591153350879525
0.975,0.016419601636070688,0.01217045856223653,0.04644164466094637,0.013480894818486886,0.04566659113112461,0.013112409614674197,2.6483490944546895,0.3557439366789516
1.0,0.029007226146790084,0.01173851202195724,0.038707547914479966,0.01240724735345819,0.04068865519761582,0.011874294256709779,2.31872060876385,0.34082688607904144
1.025,0.030883422492618075,0.011768075832053705,0.043016613955170244,0.012542222122367077,0.048387355458653865,0.012375438848995227,2.056349415430456,0.3274040674085337
1.05,0.04397872765728057,0.011414398370077189,0.05124795858563145,0.012448216376197033,0.06027789361373721,0.012652472766293471,2.2458424554040506,0.30689232798498384
1.075,0.046311999395810405,0.012074648585612231,0.059537306904357636,0.01281904243276063,0.06036909580802731,0.01313897805374988,2.222965361869896,0.3267135779340323
1.1,0.047864481719739733,0.011777853934855288,0.06450747672076819,0.013256298336502033,0.05359377824865704,0.013229352224232434,2.0030628961098342,0.32035031482000287
1.125,0.034321041804338245,0.011390399909858549,0.06294567370507295,0.012393647617903162,0.047513272198236416,0.012960783086329015,1.8879431206717479,0.3207769044509358
1.15,0.006622626315834749,0.011524218512350122,0.052541069337337834,0.01152958151642691,0.03879620727639449,0.012927828322963388,1.6713034038571595,0.32614228009972546
