subject,model,layer,view,metric,rho
2,vgg16,conv3_3,gap,euclidean,0.009155742099514438
2,vgg16,conv3_3,rp,correlation,0.034528957709729156
2,vgg16,conv3_3,rp,euclidean,0.020670789648660915
2,vgg16,conv4_3,gap,correlation,0.006662258087455665
2,vgg16,conv4_3,gap,euclidean,0.012150371193902559
2,vgg16,conv4_3,rp,correlation,0.017980136785099368
2,vgg16,conv4_3,rp,euclidean,0.024587636397124808
2,vgg16,conv5_3,gap,correlation,0.017332668396101446
2,vgg16,conv5_3,gap,euclidean,0.028067436666971066
2,vgg16,conv5_3,rp,correlation,0.027753495269957996
2,vgg16,conv5_3,rp,euclidean,0.02591973876663191
2,vgg16,fc6,gap,correlation,0.021810870063846917
2,vgg16,fc6,gap,euclidean,0.02348705257821435
2,vgg16,fc6,rp,correlation,0.019135218110005486
2,vgg16,fc6,rp,euclidean,0.024057707352716524
2,vgg16,fc7,gap,correlation,0.012516607965941853
2,vgg16,fc7,gap,euclidean,0.017734493666587567
2,vgg16,fc7,rp,correlation,0.013076833628596086
2,vgg16,fc7,rp,euclidean,0.01766625660313885
2,vgg16,logits,gap,correlation,0.017147554077184116
2,vgg16,logits,gap,euclidean,0.019967891029577134
2,vgg16,logits,rp,correlation,0.017147554077184116
2,vgg16,logits,rp,euclidean,0.019967891029577134
2,resnet50,stem,gap,correlation,0.016149167177586826
2,resnet50,stem,gap,euclidean,0.015292647773201298
2,resnet50,stem,rp,correlation,0.019987674768008487
2,resnet50,stem,rp,euclidean,0.02179716594668744
2,resnet50,layer1,gap,correlation,0.005561445517559352
2,resnet50,layer1,gap,euclidean,0.010191003013662145
2,resnet50,layer1,rp,correlation,0.018021687307480272
2,resnet50,layer1,rp,euclidean,0.018980265091849514
2,resnet50,layer2,gap,correlation,0.002325857867102095
2,resnet50,layer2,gap,euclidean,0.005054642875636247
2,resnet50,layer2,rp,correlation,0.03386505146819858
2,resnet50,layer2,rp,euclidean,0.029947932473843072
2,resnet50,layer3,gap,correlation,0.0057692061840760615
2,resnet50,layer3,gap,euclidean,0.004844161361125845
2,resnet50,layer3,rp,correlation,0.022629542456530937
2,resnet50,layer3,rp,euclidean,0.016218554439654552
2,resnet50,layer4,gap,correlation,0.027346619757636338
2,resnet50,layer4,gap,euclidean,0.011901245261085037
2,resnet50,layer4,rp,correlation,0.029984851594221682
2,resnet50,layer4,rp,euclidean,0.015662810363216102
2,resnet50,avgpool,gap,correlation,0.027346619757636338
2,resnet50,avgpool,gap,euclidean,0.011901245261085037
2,resnet50,avgpool,rp,correlation,0.027346619757636338
2,resnet50,avgpool,rp,euclidean,0.011901245261085037
2,resnet50,logits,gap,correlation,0.029951433008295586
2,resnet50,logits,gap,euclidean,0.019532134899830397
2,resnet50,logits,rp,correlation,0.029951433008295586
2,resnet50,logits,rp,euclidean,0.019532134899830397
2,convnext_tiny,stage1,gap,correlation,0.009084205866917652
2,convnext_tiny,stage1,gap,euclidean,-0.002102527635245509
2,convnext_tiny,stage1,rp,correlation,0.024605247001190565
2,convnext_tiny,stage1,rp,euclidean,0.01645600118481412
2,convnext_tiny,stage2,gap,correlation,-0.008288244258730433
2,convnext_tiny,stage2,gap,euclidean,-0.011080436785251438
2,convnext_tiny,stage2,rp,correlation,0.00958714068407293
2,convnext_tiny,stage2,rp,euclidean,-0.0008495650522311315
2,convnext_tiny,stage3,gap,correlation,0.011760653616442256
2,convnext_tiny,stage3,gap,euclidean,-0.006421426794258942
2,convnext_tiny,stage3,rp,correlation,0.008246680848970043
2,convnext_tiny,stage3,rp,euclidean,0.002669688318984912
2,convnext_tiny,stage4,gap,correlation,0.04086651666014694
2,convnext_tiny,stage4,gap,euclidean,0.029964123855243077
2,convnext_tiny,stage4,rp,correlation,0.04083463328330195
2,convnext_tiny,stage4,rp,euclidean,0.028291029479184656
2,convnext_tiny,avgpool,gap,correlation,0.04086651666014694
2,convnext_tiny,avgpool,gap,euclidean,0.029964123855243077
2,convnext_tiny,avgpool,rp,correlation,0.04086651666014694
2,convnext_tiny,avgpool,rp,euclidean,0.029964123855243077
2,convnext_tiny,logits,gap,correlation,0.04597546212016415
2,convnext_tiny,logits,gap,euclidean,0.02646056409039445
2,convnext_tiny,logits,rp,correlation,0.04597546212016415
2,convnext_tiny,logits,rp,euclidean,0.02646056409039445
3,alexnet,conv1,gap,correlation,0.011901029397478667
3,alexnet,conv1,gap,euclidean,0.024734165901865134
3,alexnet,conv1,rp,correlation,0.006849817786630205
3,alexnet,conv1,rp,euclidean,0.016214683393041853
3,alexnet,conv2,gap,correlation,0.0049491242342609085
3,alexnet,conv2,gap,euclidean,0.007628515139075317
3,alexnet,conv2,rp,correlation,-0.010137579992931014
3,alexnet,conv2,rp,euclidean,0.0016654344398772433
3,alexnet,conv3,gap,correlation,0.014229232767646966
3,alexnet,conv3,gap,euclidean,0.01025495180158735
3,alexnet,conv3,rp,correlation,0.014902184338653321
3,alexnet,conv3,rp,euclidean,0.011991771047352435
3,alexnet,conv4,gap,correlation,0.02580948884606327
3,alexnet,conv4,gap,euclidean,0.007119273560584746
3,alexnet,conv4,rp,correlation,0.03839450463323201
3,alexnet,conv4,rp,euclidean,0.011037170630476639
3,alexnet,conv5,gap,correlation,0.029829476514387592
3,alexnet,conv5,gap,euclidean,0.02065012634657973
3,alexnet,conv5,rp,correlation,0.047203484402030885
3,alexnet,conv5,rp,euclidean,0.02819526497315675
3,alexnet,fc6,gap,correlation,0.036858246841619036
3,alexnet,fc6,gap,euclidean,0.029677202460241987
3,alexnet,fc6,rp,correlation,0.0339936514062309
3,alexnet,fc6,rp,euclidean,0.028662600015408154
3,alexnet,fc7,gap,correlation,0.03382095407744702
3,alexnet,fc7,gap,euclidean,0.04104831086792455
3,alexnet,fc7,rp,correlation,0.026905096525570226
3,alexnet,fc7,rp,euclidean,0.03892230242725803
3,alexnet,logits,gap,correlation,0.034405723754329744
3,alexnet,logits,gap,euclidean,0.03993976425941501
3,alexnet,logits,rp,correlation,0.034405723754329744
3,alexnet,logits,rp,euclidean,0.03993976425941501
3,vgg16,conv1_2,gap,correlation,0.006864204934902367
3,vgg16,conv1_2,gap,euclidean,0.030165353842205953
3,vgg16,conv1_2,rp,correlation,0.007705493067659491
3,vgg16,conv1_2,rp,euclidean,0.026075458583867214
3,vgg16,conv2_2,gap,correlation,0.0013019555670476615
3,vgg16,conv2_2,gap,euclidean,0.004785035674972764
3,vgg16,conv2_2,rp,correlation,0.007740050575747545
3,vgg16,conv2_2,rp,euclidean,0.01148250530502533
3,vgg16,conv3_3,gap,correlation,0.00680633576824904
3,vgg16,conv3_3,gap,euclidean,0.004255588296372716
3,vgg16,conv3_3,rp,correlation,0.0034443664199532518
3,vgg16,conv3_3,rp,euclidean,0.004831262705184158
3,vgg16,conv4_3,gap,correlation,0.022626228789080948
3,vgg16,conv4_3,gap,euclidean,0.009415400243215783
3,vgg16,conv4_3,rp,correlation,0.03958351842832119
3,vgg16,conv4_3,rp,euclidean,0.0035983867140190235
3,vgg16,conv5_3,gap,correlation,0.04135354684009575
3,vgg16,conv5_3,gap,euclidean,0.030054021381760603
3,vgg16,conv5_3,rp,correlation,0.06793357371646791
3,vgg16,conv5_3,rp,euclidean,0.014742897939145641
3,vgg16,fc6,gap,correlation,0.047386792876897926
3,vgg16,fc6,gap,euclidean,0.033470238543074536
3,vgg16,fc6,rp,correlation,0.050083578522171726
3,vgg16,fc6,rp,euclidean,0.036945626496369746
3,vgg16,fc7,gap,correlation,0.049401765266847246
3,vgg16,fc7,gap,euclidean,0.050345804476235385
3,vgg16,fc7,rp,correlation,0.049019002041541346
3,vgg16,fc7,rp,euclidean,0.0523882914213844
3,vgg16,logits,gap,correlation,0.03907957517372123
3,vgg16,logits,gap,euclidean,0.04920088807189777
3,vgg16,logits,rp,correlation,0.03907957517372123
3,vgg16,logits,rp,euclidean,0.04920088807189777
3,resnet50,stem,gap,correlation,7.214516127743521e-05
3,resnet50,stem,gap,euclidean,-0.0030664101871951156
3,resnet50,stem,rp,correlation,0.015080922626570629
3,resnet50,stem,rp,euclidean,0.009856590014337727
3,resnet50,layer1,gap,correlation,0.03331886821641529
3,resnet50,layer1,gap,euclidean,0.033411855492164265
3,resnet50,layer1,rp,correlation,0.02592302504840049
3,resnet50,layer1,rp,euclidean,0.024544362187737832
3,resnet50,layer2,gap,correlation,0.018396371756771748
3,resnet50,layer2,gap,euclidean,0.018335557823906178
3,resnet50,layer2,rp,correlation,0.019188773226376334
3,resnet50,layer2,rp,euclidean,0.019811273928545207
3,resnet50,layer3,gap,correlation,0.01892224288756481
3,resnet50,layer3,gap,euclidean,0.016435112353591963
3,resnet50,layer3,rp,correlation,0.021903295127665864
3,resnet50,layer3,rp,euclidean,0.02165738459602976
3,resnet50,layer4,gap,correlation,0.038556492549664166
3,resnet50,layer4,gap,euclidean,0.038499939506640705
3,resnet50,layer4,rp,correlation,0.035156490933586776
3,resnet50,layer4,rp,euclidean,0.026108484104719033
3,resnet50,avgpool,gap,correlation,0.038556492549664166
3,resnet50,avgpool,gap,euclidean,0.038499939506640705
3,resnet50,avgpool,rp,correlation,0.038556492549664166
3,resnet50,avgpool,rp,euclidean,0.038499939506640705
3,resnet50,logits,gap,correlation,0.04286286034305122
3,resnet50,logits,gap,euclidean,0.0512373308360685
