image_uid,n_subjects_screening,n_subjects_sternberg,first_path,sternberg_rate,category,category_clip,category_p,p_cat_face_person,p_cat_animal,p_cat_landmark_place,p_cat_landscape_nature,p_cat_object,p_cat_vehicle,p_cat_food,p_cat_scene_with_people,p_cat_cartoon_art,attr_famous,attr_face_visible,attr_single_object,attr_indoor,attr_natural,attr_text_present,attr_colorful,attr_emotional,attr_child,attr_smiling,fine,fine_p,category_overridden,luminance,rms_contrast,michelson_contrast,colorfulness,saturation,hue_entropy,gray_entropy,edge_density,spectral_slope,high_freq_energy,edge_com_x,edge_com_y,aspect,clip_centroid_dist,clip_nn1_dist,clip_nn5_dist,clip_mean_dist,clip_cat_typicality,resnet50_centroid_dist,resnet50_nn1_dist,resnet50_nn5_dist,resnet50_mean_dist,resnet50_cat_typicality,dinov2_centroid_dist,dinov2_nn1_dist,dinov2_nn5_dist,dinov2_mean_dist,dinov2_cat_typicality,alexnet_fc7_centroid_dist,alexnet_fc7_nn1_dist,alexnet_fc7_nn5_dist,alexnet_fc7_mean_dist,alexnet_fc7_cat_typicality
img_0288,1,0,images/sub-15/ses-1/image_51.png,0.0,animal,animal,0.80448455,0.028234607,0.80448455,0.013153749,0.04307243,0.044972025,0.021753315,0.012721068,0.019835351,0.011772877,0.76951426,0.27103534,0.95840013,0.071925074,0.68640536,0.75760424,0.26705292,0.5511638,0.013149333,0.86240375,marine animal,0.9688511,False,0.548072874546051,0.2705618739128113,0.9938829988749076,22.664440155029297,0.2212688326835632,1.2519816160202026,4.9880667298764365,0.045675,-2.4395468533903877,0.049625676125288,0.4676958529686058,0.6692901196924969,1.3333333333333333,0.22837819044413943,0.1897041372247552,0.21989706597147834,0.45592571423637374,0.834059740000923,0.7975444145408406,0.7475329251226908,0.8049988697013181,0.927973363707941,0.2483986045445212,0.9897850965632466,0.8455916341756092,0.8624703267829021,1.0008735321131332,0.1230663721821258,0.7678256062862718,0.710524165008863,0.73997193529617,0.9268718197085719,0.24097754925350506
img_0289,1,0,images/sub-15/ses-1/image_52.png,0.0,scene_with_people,scene_with_people,0.5186672,0.2114919,0.084037304,0.018366948,0.007900957,0.026002327,0.08625068,0.025888013,0.5186672,0.021394724,0.8559841,0.24180745,0.37744114,0.34685752,0.37412858,0.32145998,0.12105541,0.46785265,0.010749897,0.08956045,couple,0.5407745,False,0.3528012633323669,0.2579241991043091,0.944213604084069,22.026836395263672,0.1906260848045349,3.764928817749023,5.4341893401454655,0.0800833333333333,-2.808912549999781,0.048251636326313,0.5466749926345496,0.4002580407145374,1.3333333333333333,0.37336500535923056,0.2956307249706325,0.367720021836201,0.5587076445334589,0.6694008939691609,0.49945612023400654,0.43996574677927935,0.486481454040326,0.8176061622937479,0.5026740614346654,0.7017428467743536,0.5352735282797353,0.5783891305583952,0.9428128242194991,0.24424540089419966,0.537189134574174,0.4488539825032849,0.48637154021307233,0.8513149139963541,0.5227711854814964
img_0290,1,0,images/sub-15/ses-1/image_53.png,0.0,face_person,face_person,0.42501453,0.42501453,0.15437019,0.0041995514,0.00293006,0.28415346,0.008030351,0.06883613,0.035300776,0.017164957,0.8990402,0.7637726,0.97826695,0.77368593,0.34274894,0.3101877,0.33029857,0.1889633,0.31408176,0.45791358,tv host,0.638606,False,0.7966954708099365,0.2944611608982086,0.9783237678388688,48.47629165649414,0.1765068620443344,2.217566967010498,3.6569931626624905,0.0290416666666666,-2.929930188804033,0.0329708456993103,0.3884739103322707,0.6708250411302704,1.3333333333333333,0.3264879332101588,0.279690518932701,0.3551220683540583,0.5254762368018044,0.7176720171852068,0.41603392943702955,0.2798211592372447,0.3291551270396003,0.7867190932274732,0.6525308822824423,0.586066025763667,0.572430147374863,0.6231519897395673,0.9194958347164381,0.42443574306474563,0.49309058028991526,0.38699523247410006,0.41778008697956237,0.8368681515941783,0.5876467256755527
img_0291,1,0,images/sub-15/ses-1/image_56.png,0.0,face_person,face_person,0.4758172,0.4758172,0.033157177,0.002903903,0.0015985813,0.08584928,0.005265555,0.044561896,0.33648527,0.014361173,0.64495796,0.8316817,0.8335136,0.7613369,0.6539134,0.5975859,0.7229184,0.6153886,0.02403757,0.30968875,couple,0.45472705,False,0.770949125289917,0.2471650093793869,0.9161788481690436,41.50193786621094,0.1614599376916885,3.091666460037231,4.779732998642569,0.0311,-2.6125041183298365,0.0461186952888965,0.5691071488107,0.6865237641188408,1.3333333333333333,0.3557084798055946,0.3676125619330953,0.384107060546692,0.5461908389204431,0.6708367381440745,0.34564194480507915,0.3277311335516109,0.37068051679684844,0.7606564584504684,0.7155329409936382,0.7042117696547426,0.6687833663472507,0.6894365533383001,0.9433104852753866,0.3177365309410589,0.4993930924268444,0.44374477555217906,0.4855147284923447,0.8389328654347301,0.5665505450276885
img_0292,2,1,images/sub-15/ses-1/image_57.png,0.5,vehicle,vehicle,0.97446775,0.0016880193,0.0012816178,0.00033412344,0.00015312145,0.019224517,0.97446775,0.00092095864,0.0013409406,0.0005890347,0.116569206,0.60916185,0.77989763,0.72449505,0.05218451,0.98162377,0.98596513,0.046963923,0.1532081,0.31702924,car,0.51543885,False,0.4039143919944763,0.2400588989257812,0.9233313332213472,89.69633483886719,0.3845305144786834,2.5671398639678955,5.661053662603645,0.089525,-2.326665468541736,0.098507635295391,0.4629657612464896,0.484872234681649,1.3333333333333333,0.28118128608494153,0.07732830082636644,0.21600004768932587,0.4933581117878448,0.8196091579139403,0.7323882061264291,0.28688442660213376,0.49221451247981796,0.9038492752589786,0.41957919906572727,0.9443944550073063,0.2158199025444264,0.586386381309482,0.9917241355144897,0.27433530833632025,0.8025780191952891,0.40070470515052714,0.6183788014476572,0.9382567700850084,0.29153873957816573
img_0293,2,0,images/sub-15/ses-1/image_58.png,0.0,scene_with_people,scene_with_people,0.513802,0.008781246,0.002147525,0.0010427088,0.0011464438,0.008147654,0.4558367,0.0013843372,0.513802,0.0077113817,0.8868612,0.39761534,0.90768176,0.68358827,0.19703011,0.5676291,0.7678592,0.7047725,0.10486985,0.36032373,car,0.5949957,False,0.4394319653511047,0.2562915086746216,0.9345062865097152,71.98981475830078,0.3499669730663299,3.0154662132263184,5.745015562875609,0.0586666666666666,-2.543870544911657,0.0474060773849487,0.4458392021869949,0.4698512556899883,1.3333333333333333,0.34607601134343724,0.2956307249706325,0.3874736552550614,0.5393623303926426,0.7110463729385419,0.5491866967186407,0.5372413972239843,0.6197458552440558,0.836018909980089,0.48701187557278514,0.8640873619256697,0.778797692797061,0.7901868354710428,0.9755366259508161,0.1664701420468939,0.7060025008774362,0.5345206811058802,0.5964585049371878,0.9066184638037744,0.4469298099984981
img_0294,2,0,images/sub-15/ses-1/image_59.png,0.0,vehicle,vehicle,0.9602118,0.002250804,0.014752051,0.00034233168,0.0012177919,0.018742621,0.9602118,0.00084127905,0.00065150147,0.0009898273,0.4216439,0.55951476,0.98707294,0.1701546,0.29656985,0.7635909,0.85428405,0.13064112,0.08741825,0.6177545,car,0.8416419,False,0.4509496390819549,0.2167790085077285,0.968573771835176,77.86591339111328,0.3492580950260162,2.6288468837738037,5.441829732027058,0.023225,-2.5957680775225755,0.0306888576596975,0.5162439186025523,0.5230876226520838,1.3333333333333333,0.30439493477919044,0.23444506027528234,0.2669091320190479,0.509814391784275,0.7962918259396956,0.7022224353532506,0.2889946521469956,0.3569919556551721,0.8926803975729902,0.6046735693343289,0.8879678621922711,0.6352328031375122,0.7002715024966564,0.9803502210096978,0.27471048341788695,0.7806552039166124,0.5020790854046517,0.5415053697400128,0.9310748180083872,0.47943664208396514
img_0295,1,0,images/sub-17/ses-1/image_37.png,0.0,object,object,0.84796935,0.018449582,0.0072866143,0.0011521778,0.0039425017,0.84796935,0.0023353605,0.046860736,0.054261617,0.017742045,0.58940065,0.7222149,0.5759277,0.3768739,0.24325071,0.58750963,0.18531372,0.02707838,0.008942221,0.016648447,clothing or bag,0.24786541,False,0.7372502684593201,0.3776370584964752,0.9465648758544314,7.636051654815674,0.0056702280417084,2.516945123672486,3.3881854647879823,0.2304666666666666,-2.0086588715627225,0.1039030402898788,0.4849379356405133,0.5589513269268225,1.3333333333333333,0.32380947092533485,0.09611579299515272,0.26708586224088177,0.5235774605301594,0.7773795571222089,0.7569066397299972,0.313657909097675,0.6707819654495968,0.912927226159996,0.39544181188840233,0.9748363465874035,0.07912927788852986,0.6535594801449752,0.9978603109403416,0.2520735145764284,0.8295092050211744,0.3312486430655096,0.710456349419331,0.9470794729865025,0.26236884759818235
img_0296,1,0,images/sub-17/ses-1/image_38.png,0.0,landscape_nature,landscape_nature,0.49988678,0.039163493,0.022878485,0.047294818,0.49988678,0.118860625,0.01646226,0.08912953,0.15789902,0.0084250355,0.03500096,0.112293236,0.67570275,0.020302473,0.6005028,0.46769074,0.99913675,0.18766215,0.2982338,0.54605085,flowers,0.807892,False,0.4746050834655761,0.2023082077503204,0.8792639399335547,98.73450469970705,0.5690140128135681,3.8297665119171143,5.6111937404452785,0.0476916666666666,-2.061092346105171,0.0980533808469772,0.5032485374923177,0.5854006690760588,1.3333333333333333,0.2590801420092873,0.1635195892296084,0.22474070722055747,0.47769049227913263,0.8144225114151088,0.6684487934166397,0.6320612003872086,0.6851968461751506,0.8801757054622971,0.37822295048780863,0.9341445428603481,0.44480220200150367,0.6990648114643813,0.9896580595984182,0.22964072005510533,0.7957175851528456,0.6266763461186635,0.716867684253861,0.9360092800664446,0.34006129204037117
img_0297,1,0,images/sub-17/ses-1/image_39.png,0.0,landmark_place,landmark_place,0.9046187,0.005222809,0.0034313549,0.9046187,0.011913769,0.03002196,0.008202962,0.005740807,0.030375618,0.00047200953,0.24049401,0.50674254,0.93043166,0.0227285,0.14218697,0.89324087,0.9510778,0.3515036,0.21067399,0.40246046,temple or church,0.81129557,False,0.5030357241630554,0.2398445308208465,0.9422929432984524,64.69336700439453,0.4296675324440002,3.2682154178619385,5.868593980589294,0.0620333333333333,-2.144868362370591,0.0971735119819641,0.5173297203843472,0.5408509700965768,1.3333333333333333,0.3477653086048722,0.11847222217995645,0.242807564852718,0.5405598822767744,0.747308752024926,0.6921385130632243,0.3219531436477088,0.5144684632387502,0.8889468249916973,0.5493118108543444,0.849209514627065,0.27987329187447885,0.5624132754827272,0.9725376966384549,0.3285285353401891,0.7592624302114535,0.4887705341268247,0.5466864663459983,0.9240665084649548,0.5255309076970291
img_0298,1,0,images/sub-17/ses-1/image_41.png,0.0,face_person,face_person,0.65903515,0.65903515,0.020235904,0.0015310497,0.014409194,0.22829227,0.0034822396,0.01775701,0.010850004,0.04440724,0.4527386,0.9393211,0.788982,0.62281156,0.5488681,0.8249897,0.8181473,0.16857445,0.05767141,0.018675704,clothing or bag,0.11096073,False,0.5347056984901428,0.2297538071870803,0.8518006139600591,28.285276412963867,0.2314243167638778,1.8380756378173828,5.682127483948828,0.0099666666666666,-2.59850528306178,0.0343441888689994,0.4998175347097773,0.5005210615995358,1.3333333333333333,0.2817170811125381,0.09908173940098342,0.23865607933608435,0.4937379397550443,0.6441335778480293,0.6348208438497736,0.3383253983030796,0.4994757660045973,0.8677249559566074,0.40084262381022784,0.7747527854195824,0.2154403223616228,0.4863808593759963,0.9575294455627901,0.20584283644332396,0.7138811647383445,0.3813871108195487,0.6301310379477887,0.9091995276661284,0.26886832030008273
img_0299,1,1,images/sub-18/ses-1/image_11.png,1.0,scene_with_people,scene_with_people,0.8669696,0.025813783,0.010720857,0.004692904,0.013546204,0.0114870025,0.032995492,0.002041928,0.8669696,0.031732243,0.76439565,0.40382072,0.41216502,0.044641804,0.2998947,0.27586484,0.6700237,0.21930124,0.089121915,0.30677238,fictional movie character,0.3443385,False,0.410292774438858,0.2304881364107132,0.8847178097628793,42.800907135009766,0.2855599820613861,2.7971463203430176,5.230651836203958,0.0792833333333333,-2.4260594643068045,0.0890466421842575,0.505546250646318,0.5685627490137981,1.3333333333333333,0.32934602266965984,0.30601337799203654,0.3454803638799732,0.5275023517404718,0.7181623465824598,0.6556364519398519,0.4985892921866032,0.5934403928773901,0.8754319355814829,0.4033505889042539,0.9069745610045921,0.5727357834503903,0.6980015631626553,0.9841814033746921,0.3002089300997291,0.6992473956415733,0.612327784795669,0.6580083620002027,0.9044054796838156,0.4512002562777495
img_0300,1,0,images/sub-18/ses-1/image_14.png,0.0,scene_with_people,scene_with_people,0.7103499,0.015947655,0.03067039,0.0700653,0.006465841,0.10212599,0.031762067,0.013668933,0.7103499,0.01894398,0.76394874,0.152092,0.7679041,0.9317668,0.08341579,0.9991398,0.7937268,0.38986224,0.042606506,0.17069449,stadium or arena,0.9461779,False,0.6211379766464233,0.3423318266868591,0.9898697429416652,28.639379501342773,0.1833995431661605,3.496309280395508,5.563263120297987,0.0868,-2.165564783343267,0.0623023211956024,0.4999931552465642,0.4478371621172521,1.3333333333333333,0.3741003551052924,0.28777065893790554,0.381247620911068,0.5592289379102944,0.6014931535464682,0.6958778300184226,0.6967435096536516,0.7201839925426607,0.8903313072254115,0.2890315319206365,0.9149430000854565,0.7266962430038999,0.8081715361117634,0.9857876025145106,0.08066640737352358,0.82433866616427,0.7248065385380114,0.7629011206364197,0.9453855955438221,0.16633355778325432
img_0301,1,0,images/sub-18/ses-1/image_32.png,0.0,vehicle,vehicle,0.96961516,0.0027597707,0.0022420522,0.0014230734,0.00037335616,0.0036333213,0.96961516,0.00057620875,0.017818667,0.0015583978,0.60050786,0.37606084,0.70323634,0.29345033,0.2206532,0.8622862,0.78846043,0.74747956,0.23057781,0.6256915,car,0.59266007,False,0.5950976014137268,0.2633318603038788,0.8809068654550374,12.684362411499023,0.0675398036837577,4.008452892303467,4.950245246209974,0.0932333333333333,-1.987739207819688,0.1040693148970604,0.4853713682626443,0.533758832273618,1.3333333333333333,0.2809404053062119,0.2646604374709909,0.3013348963554531,0.4931873501125587,0.7930760936594369,0.6364556813108739,0.44810898299546453,0.5268824663291859,0.8683302545838759,0.537133757152745,0.9089365551578137,0.6058601161047275,0.7083271825832521,0.984576882751425,0.24204808598246014,0.7813036592803276,0.7340434208499201,0.747145326300215,0.9312872531033705,0.35736265571465936
img_0302,1,0,images/sub-18/ses-1/image_33.png,0.0,object,object,0.9515617,0.01260101,0.0026708245,0.0047952174,0.0019158138,0.9515617,0.0044493647,0.0061475704,0.0065694666,0.00928908,0.4287243,0.9510249,0.5696446,0.46548378,0.13268127,0.9865702,0.7347111,0.029276593,0.06542546,0.14386553,watch or jewelry,0.98682016,False,0.3883488476276397,0.2874733507633209,0.9234104844863668,45.66130065917969,0.3829987347126007,3.048349142074585,5.6604376134054775,0.066275,-2.5206575475951296,0.0423445664346218,0.575849714985137,0.4740215358558108,1.3333333333333333,0.30686665416556314,0.19495049324981428,0.28537098260457994,0.5115666069069597,0.7501224350298719,0.7344197683847615,0.5195944901566971,0.662883438647978,0.9046014612563261,0.40289732671065465,0.9624080506598088,0.47482026563467183,0.7365246762081847,0.9953551379665971,0.19122072978119484,0.8330701931906388,0.7620615639043599,0.8219768281700368,0.9482460588493765,0.1849592523581844
