region,model,layer,view,rho_mean,rho_sem,rho_p,rho_partial_cat_low_mean,rho_partial_cat_low_sem,rho_partial_cat_low_p,rho_partial_cat_mean,rho_partial_cat_sem,rho_partial_cat_p,rho_cat_mean,rho_cat_sem,rho_cat_p,rho_cat_partial_model_mean,rho_cat_partial_model_sem,rho_cat_partial_model_p,beta_model_mean,beta_model_sem,beta_model_p,beta_category_mean,beta_category_sem,beta_category_p,beta_lowlevel_mean,beta_lowlevel_sem,beta_lowlevel_p,r2_mean,r2_sem,r2_p,n_sessions
MFC,vgg16,conv3_3,gap,0.0120237407016583,0.0063914908927414065,0.07621990778323917,0.009544034369013455,0.005095946048930507,0.0774212755784856,0.008633211701774987,0.005050276279624645,0.10455032438478166,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.000601144164638405,0.0052994700894380565,0.9109414837066238,0.013404598455418765,0.006658682242896205,0.05930661191423767,-0.0005014414838411446,0.006304199040363383,0.9374800664562815,-0.004177300753046045,0.003373766615847807,0.2315590283956567,0.001568331129755144,0.0004023079274000811,0.0010533171988955428,19
MFC,vgg16,fc7,gap,0.013295375518114686,0.006116754214428663,0.04332425297136687,0.010094332653903464,0.004922686317543893,0.055159300878842334,0.009863332639702606,0.004856865000725399,0.05731371347858312,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.001707400851824914,0.005378722650013485,0.7545653905929839,0.013413967258744365,0.006564315348303085,0.05592505557986571,-0.0012712513134168538,0.006853389657261106,0.8549170837796305,-0.0012831409369205291,0.003188406704582627,0.6920996177105014,0.0015480904931206457,0.00034978940457757227,0.0003263242056375791,19
MFC,vit_b_16,ln,gap,0.015220367293790303,0.008526649969549986,0.09111802289848546,0.013631012732200541,0.006594917308799114,0.053436156511635434,0.013620233456770953,0.006597350514663016,0.05368602623060484,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.0018745992488270798,0.003913307887616693,0.6376837711100507,0.016752195205339954,0.007943892328810553,0.049232196687299,-0.002098576894681491,0.004749842679451683,0.6638814441547536,-0.0016143757058525818,0.00302358149610091,0.599923720367882,0.0019769464782274896,0.0005779227877882477,0.003047921622639843,19
MTL,alexnet,conv1,gap,0.014066363716379876,0.00786520636440878,0.09055174709532068,-0.002763333172213121,0.0039996713068778484,0.49844834560031415,-0.002710697264760608,0.0041596501609323456,0.522851738096912,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.05000487712518055,0.015980016832957605,0.005796519716230247,-0.0035088307732303345,0.0047304287568183025,0.46780309952062715,0.05245372956496337,0.01668431956657798,0.005612988311444766,0.001609878877242893,0.005431098273222668,0.7703033221578325,0.008741458043319144,0.004394850112236409,0.062117409942743396,19
MTL,alexnet,conv4,gap,0.04645053297612794,0.020372204972156447,0.03500855193859969,0.021423979335884757,0.01367139444324297,0.13451050590029925,0.020586377684292823,0.013974172298378518,0.1579765680858908,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.026644476393192066,0.009062087465296301,0.008750230772322645,0.029035839684869107,0.017593792660120403,0.11621237301093942,0.032443515430170385,0.011110265619671699,0.009138829453710912,-0.004425590281881282,0.004162347990746295,0.30172835010917,0.012061912538478933,0.0065334657490687615,0.08137843543825289,19
MTL,alexnet,fc7,gap,0.043248812719877225,0.017824392624408963,0.025978687572702695,0.015835071367535012,0.009816389881981576,0.12411124991239855,0.015276598916760295,0.010235044539803034,0.15286810548971666,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.028227460658986164,0.009850942456685623,0.010283756252883863,0.022543480503330247,0.013093422328716825,0.10225657357778305,0.0353193920251036,0.012419213352483784,0.010771438669573977,-0.002305063556091204,0.004097028800190566,0.5806351593888094,0.010345763845846255,0.005247251287619592,0.06421865311262227,19
MTL,clip_vitb32,block5,cls,0.024710666407063413,0.014896460729351736,0.1144733688225934,0.009038313900541684,0.010931053045702238,0.4191500412220961,0.008642033015684883,0.01155192420945011,0.464060870904463,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.046169656274633875,0.014591290676532734,0.005368546593682366,0.00924882295986286,0.012034949832748727,0.4521576406742258,0.04883571595080051,0.015205612970288522,0.004836554994588836,-0.0015571127959054549,0.0034846773995471205,0.6603163830043679,0.010600520344691208,0.005144411706719446,0.05409613951018739,19
MTL,clip_vitb32,embed,gap,0.04953324803455034,0.01878563811255006,0.016750719276575916,0.031104063890412256,0.014293729471491415,0.043112937858258704,0.03125728074471639,0.01429602159697605,0.04223395898753534,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.036023201226920654,0.01184098317906866,0.0070099630785035155,0.03307977699105474,0.014938897247771019,0.03994927259328239,0.03859836064024286,0.012310778045917278,0.005719338230050075,0.00043174812125822804,0.004805822968032116,0.9294076313102424,0.012825465608887724,0.0071496545782423464,0.08965238192077786,19
MTL,clip_vitb32,ln_post,cls,0.059772264845666175,0.021666299453387793,0.012928157646762287,0.03712524977327662,0.015911552132755826,0.03143600714734788,0.03729732778305424,0.01604505927166044,0.031996121153615886,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.022881473183973256,0.008326835356910619,0.013230936275394992,0.04389188589946354,0.018666985961524253,0.030299417234068465,0.027616077544018215,0.009819667804445795,0.011528094809302374,-0.002371892292574839,0.004278882775028286,0.5861783051420099,0.014047790867398286,0.007844636697070279,0.0901661420241905,19
MTL,convnext_tiny,logits,gap,0.0438031086197171,0.01630197205057827,0.01506212035890581,0.01831192460301711,0.009242329985958078,0.06304272454821488,0.017569428275551146,0.009654587831620555,0.08546162281367266,0.051819966724659945,0.017244566726597188,0.007602246724286429,0.030104393934375074,0.011655828140346667,0.018766144095042757,0.02372149740935827,0.011498402836352603,0.05384037012689676,0.036013610595783674,0.014279781324216761,0.02130956851172136,-0.0009759167424808169,0.004208465815625407,0.819236465908536,0.010260266548346605,0.004938310860140599,0.052323914806022796,19
