feature,mean_sternberg,mean_rest,auc,auc_within_subject_mean,auc_within_subject_sem,p_mannwhitney,q,block
clip_mean_dist,0.5032854272258964,0.5004204842708677,0.5251838565022422,0.5308550316678395,0.03066766581487562,0.40357599895736285,0.4641123988009673,dnn_geometry
clip_cat_typicality,0.7517570463123997,0.7566584665526362,0.4734170403587444,0.4640358902181562,0.028803231047906646,0.37795915667820457,0.4641123988009673,dnn_geometry
resnet50_centroid_dist,0.5706408765142305,0.6069525153387352,0.4316322869955157,0.43934553131597476,0.02790321847459999,0.02334449074682969,0.2072762433505535,dnn_geometry
resnet50_nn1_dist,0.39210855984929993,0.40312111724001454,0.48855156950672646,0.4894968332160451,0.029922104945401814,0.7042239706534483,0.7362341511376959,dnn_geometry
resnet50_nn5_dist,0.47385634902841206,0.4899261024950982,0.4765112107623318,0.4743420126671358,0.03039484892974001,0.4359662634888666,0.4774868600116158,dnn_geometry
resnet50_mean_dist,0.8439623208013098,0.8574067063486953,0.4316322869955157,0.43934553131597476,0.02790321847459999,0.02334449074682969,0.2072762433505535,dnn_geometry
resnet50_cat_typicality,0.5209962030272797,0.49681949435664174,0.5400269058295964,0.5422273047149895,0.026749249598216614,0.1843015999798393,0.35324473329469197,dnn_geometry
dinov2_centroid_dist,0.7304400771058985,0.7602059762483934,0.4519013452914798,0.4559781843771991,0.029995647997652974,0.11062665215223945,0.35324473329469197,dnn_geometry
dinov2_nn1_dist,0.4669253670176527,0.48693710112427585,0.4649461883408072,0.458515130190007,0.02880964812634839,0.24496406412960647,0.42605773082922904,dnn_geometry
dinov2_nn5_dist,0.5796209487565881,0.6023808535470556,0.45861883408071746,0.4534271639690358,0.030764138438875658,0.1698923235689075,0.35324473329469197,dnn_geometry
dinov2_mean_dist,0.9485973280860578,0.9545972436420931,0.4519013452914798,0.4559781843771991,0.029995647997652974,0.11062665215223945,0.35324473329469197,dnn_geometry
dinov2_cat_typicality,0.32893438983548523,0.30660155561663,0.5419013452914798,0.5355629838142153,0.028703366752766975,0.1645880087838364,0.35324473329469197,dnn_geometry
alexnet_fc7_centroid_dist,0.6036810164507966,0.6424116547017483,0.4367982062780269,0.4378114004222378,0.02609698897791202,0.036048042321835394,0.2072762433505535,dnn_geometry
alexnet_fc7_nn1_dist,0.44424719616936337,0.46121405633474083,0.4664170403587444,0.4679046446164673,0.03342082751111939,0.26533217477912463,0.42605773082922904,dnn_geometry
alexnet_fc7_nn5_dist,0.5112923491223311,0.5334703459254215,0.4572914798206278,0.46392329345531313,0.031305864736512715,0.15660548016460812,0.35324473329469197,dnn_geometry
alexnet_fc7_mean_dist,0.8730977691202015,0.8857859929764618,0.4367982062780269,0.4378114004222378,0.02609698897791202,0.036048042321835394,0.2072762433505535,dnn_geometry
alexnet_fc7_cat_typicality,0.4887369948245931,0.46069943049668133,0.5445470852017937,0.5347748064743139,0.029958494182857023,0.13952292294267601,0.35324473329469197,dnn_geometry
clip_ws_centroid_dist,0.27958139088638384,0.2744296104513722,0.5327174887892376,0.53945109078114,0.028460339810710823,0.2778637374973233,0.42605773082922904,dnn_geometry
resnet50_ws_nn1_dist,0.4900930499593636,0.4980535239534091,0.4916547085201794,0.5039707952146377,0.02905964345707585,0.7820239489735163,0.7820239489735163,dnn_geometry
resnet50_ws_centroid_dist,0.5452733784208446,0.5775110489243761,0.4409596412556054,0.45213933849401833,0.030663853501715917,0.05019565371901228,0.2309000071074565,dnn_geometry
n_subjects_screening,7.34,7.25829596412556,0.4944932735426009,0.5117065446868403,0.029192441633526436,0.8544091390460361,0.8544091390460361,reuse
sternberg_rate_loso,0.09270180799592564,0.08470505137171805,0.5357769534240122,0.5288706110462406,0.03490997096506504,0.21793765142529808,0.6538129542758943,reuse
n_sternberg_other,0.55,0.5327354260089686,0.5158609865470852,0.5221692470091484,0.033384724111995306,0.5379863588783644,0.8069795383175467,reuse
