analysis,window,subject,unit,reference,value
similarity tuning,200-1000,4,44.0,resnet50 avgpool,0.5869565532112087
similarity tuning,200-1000,4,44.0,alexnet conv1,-0.0018640738568142755
similarity tuning,200-1000,4,45.0,clip ln_post,0.08668352169977073
similarity tuning,200-1000,4,45.0,resnet50 avgpool,0.004317169055376447
similarity tuning,200-1000,4,45.0,alexnet conv1,0.1283638265798597
similarity tuning,200-1000,4,46.0,clip ln_post,0.0401943736565793
similarity tuning,200-1000,4,46.0,resnet50 avgpool,0.12746116582573017
similarity tuning,200-1000,4,46.0,alexnet conv1,0.08775260202886778
RSA MTL,300-800,4,,clip ln_post,0.06481833969209526
RSA MTL,300-800,4,,resnet50 avgpool,0.07038117221387165
RSA MTL,300-800,4,,alexnet conv1,0.020173660595963462
RSA MTL,300-800,4,,category,0.08061902419882341
similarity tuning,300-800,4,8.0,clip ln_post,0.10608934905841286
similarity tuning,300-800,4,8.0,resnet50 avgpool,0.07012902688059137
similarity tuning,300-800,4,8.0,alexnet conv1,0.24488851430419648
similarity tuning,300-800,4,13.0,clip ln_post,-0.0781592657058083
similarity tuning,300-800,4,13.0,resnet50 avgpool,-0.1265350366488856
similarity tuning,300-800,4,13.0,alexnet conv1,-0.09063094408022791
similarity tuning,300-800,4,15.0,clip ln_post,0.21784322357032634
similarity tuning,300-800,4,15.0,resnet50 avgpool,0.21769052972202937
similarity tuning,300-800,4,15.0,alexnet conv1,0.10484977583057761
similarity tuning,300-800,4,25.0,clip ln_post,0.23890864825192576
similarity tuning,300-800,4,25.0,resnet50 avgpool,0.2053258972111352
similarity tuning,300-800,4,25.0,alexnet conv1,0.014385409485589962
similarity tuning,300-800,4,33.0,clip ln_post,0.18994940525270887
similarity tuning,300-800,4,33.0,resnet50 avgpool,0.3349127831236896
similarity tuning,300-800,4,33.0,alexnet conv1,0.2487462690519088
similarity tuning,300-800,4,39.0,clip ln_post,0.44006295403423623
similarity tuning,300-800,4,39.0,resnet50 avgpool,0.39744073499113686
similarity tuning,300-800,4,39.0,alexnet conv1,0.2994554615350655
similarity tuning,300-800,4,40.0,clip ln_post,0.2986799875827809
similarity tuning,300-800,4,40.0,resnet50 avgpool,0.3391608905848175
similarity tuning,300-800,4,40.0,alexnet conv1,-0.10369104576995958
similarity tuning,300-800,4,41.0,clip ln_post,0.43270307368136857
similarity tuning,300-800,4,41.0,resnet50 avgpool,0.5808665831318518
similarity tuning,300-800,4,41.0,alexnet conv1,0.34796970038915864
similarity tuning,300-800,4,43.0,clip ln_post,0.18513950881542
similarity tuning,300-800,4,43.0,resnet50 avgpool,0.14703371405308263
similarity tuning,300-800,4,43.0,alexnet conv1,0.20457194598505815
similarity tuning,300-800,4,44.0,clip ln_post,0.39287562123958913
similarity tuning,300-800,4,44.0,resnet50 avgpool,0.5528726119733264
similarity tuning,300-800,4,44.0,alexnet conv1,-0.0034261676491557634
similarity tuning,300-800,4,45.0,clip ln_post,-0.04005669251728362
similarity tuning,300-800,4,45.0,resnet50 avgpool,-0.03942349394140903
similarity tuning,300-800,4,45.0,alexnet conv1,0.1915012736427662
similarity tuning,300-800,4,46.0,clip ln_post,0.05911264169713279
similarity tuning,300-800,4,46.0,resnet50 avgpool,0.017976226554494566
similarity tuning,300-800,4,46.0,alexnet conv1,0.11912796335037362
RSA MTL,200-500,4,,clip ln_post,0.12973803862383718
RSA MTL,200-500,4,,resnet50 avgpool,0.07443244882866222
RSA MTL,200-500,4,,alexnet conv1,0.043792006574522424
RSA MTL,200-500,4,,category,0.12795014374915326
similarity tuning,200-500,4,8.0,clip ln_post,0.14795014927289615
