subject,session,task,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region,hemisphere,rho_clip,rho_resnet,rho_conv1,pref_face,ratio
7,1,screening,20,324,54,4.62962962962963,2.267489880676929,0.0009990009990009,img_0213,2.6433694859328325,0.0109890109890109,True,0.4797843665768194,0.9029141554366718,8.75,4.55188679245283,4.444444444444445,amygdala,MTL,R,0.1257453108379032,0.0942281699466549,-0.1123303226636796,0,1.8809572094909757
7,1,screening,21,324,54,2.5347222222222223,1.3869709010445197,0.0499500499500499,img_0213,4.117265746778062,0.0009990009990009,True,0.6056603773584905,0.8810206106028878,6.25,2.464622641509434,2.2685185185185186,amygdala,MTL,R,0.1539257645166818,0.0349168444772052,-0.2017642718572611,0,2.437005701673717
7,1,screening,23,324,54,1.0763888888888888,3.950812520449339,0.0009990009990009,img_0207,4.33954631504208,0.0009990009990009,True,0.8593481989708405,0.5441676104190261,6.875,0.9669811320754716,0.925925925925926,amygdala,MTL,R,0.2154407053620843,-0.0753511826635861,-0.0505742769881816,0,6.443412908930151
7,1,screening,24,324,54,0.6134259259259259,1.5495508113407623,0.0089910089910089,img_0210,1.6568480135099186,0.0339660339660339,True,0.6855345911949685,0.6200883002207507,1.875,0.589622641509434,0.4475308641975308,amygdala,MTL,R,0.1557629054498547,-0.0144914766174109,-0.0259945978871636,0,2.718878248974008
7,1,screening,25,324,54,1.219135802469136,3.1462475044287785,0.0009990009990009,img_0214,5.507211771608387,0.0009990009990009,True,0.70506454816286,0.6905097778884185,3.9583333333333335,1.167452830188679,1.0802469135802468,amygdala,MTL,R,-0.2317286602541321,0.132091827343742,-0.311770790275386,1,3.123061654881529
7,1,screening,26,324,54,3.3912037037037037,2.990966858930482,0.0009990009990009,img_0210,5.717433439282321,0.0009990009990009,True,0.6503144654088051,0.8347334850164323,9.375,3.2783018867924527,3.0246913580246915,amygdala,MTL,R,0.4931392845751927,0.1247604387767703,0.0890626204229504,0,2.7750628316112818
7,1,screening,30,324,54,9.560185185185183,4.704226030034649,0.0009990009990009,img_0209,2.3943426186408163,0.0189810189810189,True,0.526713008937438,0.8971838246123419,19.791666666666668,9.367138364779874,8.703703703703704,amygdala,MTL,R,0.2989388317954992,0.1214640771739272,0.1251766004629641,0,2.0905648469548757
8,1,screening,34,324,54,0.8410493827160493,1.468882005068999,0.0259740259740259,img_0219,4.808996599457297,0.0009990009990009,True,0.8132075471698114,0.4767465190000399,4.166666666666667,0.7783018867924527,1.4969135802469136,hippocampus,MTL,R,0.1506098223941013,-0.0499858262737326,0.1940314414654922,0,4.744002864303617
8,1,screening,37,324,54,1.6628086419753083,1.6005121356762888,0.0119880119880119,img_0219,2.4114928240798226,0.0069930069930069,True,0.6935849056603773,0.7189171407562214,5.208333333333333,1.5959119496855343,1.5740740740740742,hippocampus,MTL,R,0.2373968661353222,0.1869515515187534,0.2180291067885592,0,3.07111069905433
8,1,screening,38,324,54,0.5324074074074074,1.5320302790645088,0.0219780219780219,img_0201,2.2592862310204365,0.0029970029970029,True,0.7584905660377359,0.5392456676860348,2.0833333333333335,0.5031446540880503,0.3703703703703703,hippocampus,MTL,R,-0.0379282425405551,-0.0042371030170034,-0.0327038533836674,0,3.4541188738269035
