subject,region,n_units,model,layer,view,rho,rho_partial_cat_low,rho_partial_cat,rho_cat,rho_cat_partial_model,beta_category,beta_lowlevel,beta_model,r2
10,amygdala,24,alexnet,conv1,gap,-0.0003033012543260678,0.01232631504410652,-0.001965781920699855,0.003690996129692796,0.004170816262250602,0.0056860921042780795,-0.035148794059777826,0.015215514059931268,0.0009342916064263296
10,amygdala,24,alexnet,conv4,gap,0.004957686287006014,0.007354819089046728,0.003314465685739151,0.003690996129692796,0.00017416364028942317,0.0028481005509703337,-0.029597091280085443,0.010705811863787645,0.0008365234884578632
10,amygdala,24,alexnet,fc7,gap,0.005684168810546682,0.007554928909263634,0.004371169199028888,0.003690996129692796,-0.0006484988913744245,0.002447525867515746,-0.029388651963908944,0.011079767911101459,0.0008395047408747969
10,amygdala,24,vgg16,conv3_3,gap,-0.003355010163374083,0.0007951554734195233,-0.008067733120657491,0.003690996129692796,0.008213132745644008,0.009580885636713665,-0.028780117091857613,0.0011500444625320214,0.000783104228683662
10,amygdala,24,vgg16,fc7,gap,0.0009480342970283741,-0.0011277306831698438,-0.002432521785548437,0.003690996129692796,0.004317612972547525,0.01145109780508949,-0.02845124685290845,-0.0016179035668105212,0.0007837432325560334
10,amygdala,24,resnet50,layer2,gap,-0.01722770230112151,-0.009441440130107828,-0.022884074888201995,0.003690996129692796,0.015510476334225679,0.016092564680191695,-0.022305432346181042,-0.013329357836631726,0.0008715434927087928
10,amygdala,24,resnet50,avgpool,gap,0.01988881245813696,0.029947146819416428,0.025079641966169214,0.003690996129692796,-0.01572056684718759,-0.02070647990487512,-0.03352738153770279,0.04421854119779438,0.0016786023077937084
10,amygdala,24,convnext_tiny,logits,gap,0.005047068318344151,0.005533805521733338,0.0034677078614226103,0.003690996129692796,0.00041879861187705885,0.0054002571009234505,-0.028927262494330107,0.007469048881903475,0.0008130714930880689
10,amygdala,24,vit_b_16,ln,gap,-0.0009524997740198009,-0.0006234142974595022,-0.0038026148982075927,0.003690996129692796,0.005213051345994853,0.01073472955737228,-0.028431867586909878,-0.0007705392220186833,0.0007828607924743602
10,amygdala,24,dinov2_small,norm,gap,0.008680795448754922,0.010002619213125811,0.008782374989864238,0.003690996129692796,-0.0039239600896184505,-0.00036901175663734467,-0.028953754896345923,0.014707679191732412,0.0008824465540754334
10,amygdala,24,clip_vitb32,block5,cls,-0.03191557596263506,-0.027033340806019313,-0.03590964661233117,0.003690996129692796,0.01687586171940959,0.019387877658720805,-0.0162643493522421,-0.031846336985672866,0.0015127021342737912
10,amygdala,24,clip_vitb32,ln_post,cls,-0.001284501222458156,-0.0033069922861830876,-0.004006470710932074,0.003690996129692796,0.005293877988330681,0.012490514285277655,-0.02841986967598792,-0.003975061637330242,0.0007934000918996542
10,amygdala,24,clip_vitb32,embed,gap,0.0008385705066083004,-0.0009359036783911151,-0.0005669700955536225,0.003690996129692796,0.0036389163162068214,0.010679948552261466,-0.028518694562968246,-0.0010070509907961953,0.0007833476815076734
10,hippocampus,12,alexnet,conv1,gap,-0.009232800574220391,-0.01289768805566325,-0.015048024169522563,0.011180754699434381,0.016315700580263465,0.01787672203586216,-0.0010731546946867922,-0.01592556426645755,0.00035227863375475454
10,hippocampus,12,alexnet,conv4,gap,0.007043291182065759,-0.00034112796142873224,-0.001453231296277579,0.011180754699434381,0.008804361851848033,0.013388764421494535,-0.007975409097997084,-0.000496700417950885,0.00018607555760108418
10,hippocampus,12,alexnet,fc7,gap,0.024943788794717373,0.025550480484932393,0.024504110117518678,0.011180754699434381,-0.010161558580244466,-0.01353698743474915,-0.011012318506965093,0.03748253427422943,0.0008386648647621398
10,hippocampus,12,vgg16,conv3_3,gap,0.021329434617516883,0.02240978269749439,0.018761028467247698,0.011180754699434381,-0.004691129420253809,-0.0073559311671554835,-0.015756233896193496,0.03242125467825491,0.0006880641830928624
10,hippocampus,12,vgg16,fc7,gap,0.023144950646104907,0.02208994887681038,0.021696874720517862,0.011180754699434381,-0.007749079066041099,-0.009424008111917953,-0.009097133610450439,0.031700896217867036,0.0006738343105920919
10,hippocampus,12,resnet50,layer2,gap,0.010107014350638327,0.010703494114936232,0.0048145158833505074,0.011180754699434381,0.006785197495265797,0.006479064031042975,-0.015057441403313663,0.01511562649804624,0.0003005026928462051
10,hippocampus,12,resnet50,avgpool,gap,0.010100610933956899,0.004176580058853702,0.0028646426155017456,0.011180754699434381,0.005585272463394086,0.008716589242148976,-0.008726563256233654,0.00616878115747701,0.00020339978810368642
10,hippocampus,12,convnext_tiny,logits,gap,0.003990994286328757,-0.004143294325607177,-0.004708741674518945,0.011180754699434381,0.011456561756279444,0.016715821282851043,-0.007710465326005835,-0.005593926921911708,0.00020312290648261122
