region,scope,model,layer,n,mean,sem,p
MTL,within landmark_place,vit_b_16,ln,8.0,0.03982139017668071,0.027350219963199366,0.18873636980227118
MTL,within vehicle,alexnet,conv1,5.0,0.022538190364277316,0.06580114602790972,0.7492015359576447
MTL,within vehicle,alexnet,conv4,5.0,0.11873444873444874,0.028620725255894704,0.0142770926900156
MTL,within vehicle,clip_vitb32,ln_post,5.0,0.07917504743591701,0.032282845991632336,0.07025275173290961
MTL,within vehicle,dinov2_small,norm,5.0,0.16317584100192797,0.042152481353578186,0.017976893838719803
MTL,within vehicle,resnet50,avgpool,5.0,0.12544442240094417,0.03058277689000208,0.01483119598783262
MTL,within vehicle,resnet50,layer2,5.0,0.026204787509135324,0.0727005719344095,0.7367399781472315
MTL,within vehicle,vit_b_16,ln,5.0,0.1729255794473186,0.061123627585015765,0.04738772475260871
MTL,within-category pairs (all cats),alexnet,conv1,19.0,0.006699471603137277,0.011589908896754195,0.5703964121608824
MTL,within-category pairs (all cats),alexnet,conv4,19.0,0.008378116034413782,0.017324325317920077,0.6344974982239652
MTL,within-category pairs (all cats),clip_vitb32,ln_post,19.0,0.05935232007902696,0.02102582504067901,0.01127108217716794
MTL,within-category pairs (all cats),dinov2_small,norm,19.0,0.021579527360711736,0.018020976094050057,0.24665660085782398
MTL,within-category pairs (all cats),resnet50,avgpool,19.0,0.009961515714812064,0.01763943531413435,0.5792280988781671
MTL,within-category pairs (all cats),resnet50,layer2,19.0,0.00747475091221392,0.016251123925773058,0.6510572927472535
MTL,within-category pairs (all cats),vit_b_16,ln,19.0,0.03872506299589571,0.015774811397524905,0.024495851629038605
MTL_concept,all,alexnet,conv1,14.0,0.030790322996258966,0.012374211716233326,0.027183473714587666
MTL_concept,all,alexnet,conv4,14.0,0.06776006772879263,0.026554897379098646,0.024115027990115064
MTL_concept,all,clip_vitb32,ln_post,14.0,0.08382475305341588,0.03032871955017395,0.016105101161751012
MTL_concept,all,dinov2_small,norm,14.0,0.07118341635993566,0.023079678605013216,0.008706818245070297
MTL_concept,all,resnet50,avgpool,14.0,0.0765734807720427,0.027366034026931055,0.015083867135609297
MTL_concept,all,resnet50,layer2,14.0,0.037357168415623886,0.016604245602254483,0.04241867483050206
MTL_concept,all,vit_b_16,ln,14.0,0.072216663470111,0.027514418939468297,0.02099843650855578
MTL_concept,between-category pairs,alexnet,conv1,14.0,0.0019631345479583845,0.007030668402032186,0.7844653802248502
MTL_concept,between-category pairs,alexnet,conv4,14.0,0.03890785047015903,0.020123268015555303,0.07525240553273303
MTL_concept,between-category pairs,clip_vitb32,ln_post,14.0,0.06014549373115391,0.022039213418908698,0.017213911173871003
MTL_concept,between-category pairs,dinov2_small,norm,14.0,0.03492561874876509,0.016149250971512184,0.04978936579835126
MTL_concept,between-category pairs,resnet50,avgpool,14.0,0.04710785129014743,0.020173611478550152,0.03621595964882045
MTL_concept,between-category pairs,resnet50,layer2,14.0,0.001743146896783096,0.00784141625332582,0.8275346738098828
MTL_concept,between-category pairs,vit_b_16,ln,14.0,0.04806513406627106,0.021339328111368343,0.04221832996170087
MTL_concept,within animal,alexnet,conv1,6.0,-0.004843878365837931,0.03905991175839807,0.9061373301822099
MTL_concept,within animal,alexnet,conv4,6.0,-0.006868713694114927,0.042848048470427835,0.8789167213023029
MTL_concept,within animal,clip_vitb32,ln_post,6.0,0.11505340165678819,0.08609689965580258,0.2390289063090471
MTL_concept,within animal,dinov2_small,norm,6.0,0.056345431412355935,0.02628696736487595,0.08494318881003836
MTL_concept,within animal,resnet50,avgpool,6.0,0.039719928885226914,0.05642096685624255,0.5128627124069891
MTL_concept,within animal,resnet50,layer2,6.0,0.018470510968248314,0.032580634564713856,0.5952733518663083
